ACFE032,ACHA016,ACRR002,ACSP001,ACSP021,ECF003,EMM022,EPP025,EWW028,LPR012,OCE009,OCP002,OWA016,SEN006,SIW010,SNV009,SOD031,SST038
ACHA016,ECF003,EMM022,EWW028,LAL016,LPR012,LUN023,OCE009,OCP002,OFI028,OWA016,SFO028,SIW010,SNV009,SOD031,SPL004,SST009,SST038
ACFE032,ACHA016,ACPY002,ACRR002,EAG004,EMM022,EWW028,LMC032,LPR012,OCP002,OWA016,PHE006,SGM025,SNV001,SNV009,SOD031,SST009,SST038
ACEM025,ACFE001,ACFE032,ACRR002,EMM022,EWW028,LAL026,LMC032,LPR012,OCE009,OCP002,OWA016,SIW010,SNV001,SNV009,SOD031,SST009,SST038
ACGM047,ACHA016,ACRR002,EDO020,EMM022,EMM034,EWW028,LBB001,LCA006,LMA021,LMC029,LPR012,OCE009,OFI016,OWA016,SNV009,SOD031,SST038
ACEM024,ACHA016,ACRR002,ECF003,EMM022,EOW023,EWW028,LMC032,LPR012,OCE009,OWA016,SIW010,SNV001,SNV009,SOD011,SOD031,SST009,SST038
ACHA016,ACRR002,ECF003,EMM001,EMM022,EPP016,EWW028,LPR012,OCE009,OCP016,OWA016,SIB002,SIW010,SNV001,SNV009,SPL004,SST009,SST038
ACHA016,ECF003,EMM001,EMM022,EPP016,EWW028,LPR012,LUN023,OCE009,OCP002,OWA016,PHE004,SCC008,SIW010,SNV001,SNV009,SPL004,SST038
ACFE032,ACHA016,ACRR002,ECF003,EMM022,EPP014,EPP025,EWW028,LMC032,LPR012,OCE009,OCP002,OWA016,SIW010,SNV001,SNV009,SOD031,SST038
ACFE032,ACHA016,ACRR002,ECF003,EMM022,EPP025,ERO021,LMC032,LPR012,OCE009,OCP002,OWA016,SIW010,SNV001,SNV009,SNV022,SOD031,SST038
ACFE032,ACHA016,ACPY002,ACRR002,EMM022,EWW028,LMC032,LPR012,OCE009,OCP002,OWA016,PHE006,SGM025,SNV009,SOD031,SRR012,SST009,SST038
ACFE032,ACRR002,EMM022,ERO020,EWW028,LMC032,LPR012,OCE009,OCP002,OWA016,PHE006,SGM025,SIW010,SNV001,SNV009,SOD031,SST038,STR027
ACHA016,ACRR002,ACWS020,EAG022,EMM022,EMM034,EPP008,EWW028,LMC032,LPR012,OCE009,OFI016,OWA016,PHE004,SFR001,SNV009,SST009,SST038
ACGM047,ACHA016,ACRR002,EDO020,EMM022,EMM034,EWW028,LCA006,LMA021,LMC029,LPL023,LPR012,OCE009,OFI016,OWA016,SNV009,SOD031,SST040
ACEM024,ACHA016,ACRR002,EMM022,EPP025,LMC032,LPR012,LTT006,OCE009,OCP002,OWA016,PAN007,SIW010,SNV001,SNV009,SOD031,SST009,SST038
ACEM024,ACHA016,ACRR002,ECF003,EMM022,EOW023,EWW028,LAL015,LMC032,LPR012,OCE009,OCP002,OWA016,SNV001,SNV009,SOD031,SST009,SST038
ACHA016,ECF003,EMM022,ERO021,EWW028,LMC032,LPR012,LTT021,OCE009,OCP002,OWA016,SIW010,SNB020,SNV001,SNV009,SOD031,SST009,SST038
ACEM024,ACHA016,EMM022,EPP025,EWW028,LMC032,LPR012,OCE009,OCP002,OWA016,PAN007,PMO008,SIW010,SNV001,SNV009,SOD031,SST009,SST038
ACAL007,ACFE032,ACHA016,ACPY002,ACRR002,EMM022,EWW028,LMC032,LPR012,OCE009,OCP002,OWA016,SGM025,SNV001,SNV009,SOD031,SST009,SST038
ACHA016,ACRR002,EMM022,LMC032,LPR012,LTT004,OCE009,OCP002,ORR007,OWA016,SGM025,SIW010,SMO010,SNV001,SNV009,SOD031,SST009,SST038
ACHA016,ACRR002,EMM022,EWW028,LPR012,LTT004,OCE009,OCP002,OMA011,ORR007,OWA016,SGM025,SIW010,SNV001,SNV009,SOD031,SST009,SST038
ACEM025,ACEV010,ACFE032,ACHA016,ACRR002,EMM022,EPP025,EWW028,OCE009,OCP002,OWA016,SIW010,SNV001,SNV009,SOD031,SPI006,SST009,SST038
ACHA016,ECF003,EMM001,EMM022,EPP016,EWW028,LPR012,LPR023,LUN023,OCE009,OWA016,PHE004,SIW010,SNV001,SNV009,SPL004,SST009,SST038
ACHA016,EMM022,EWW028,LMA019,LMC032,LPR012,LTT004,LTT008,OCE009,OCP002,OWA016,SGM025,SIW010,SNV001,SNV009,SOD031,SST009,SST038
ACEM024,ACHA016,ACRR002,EMM022,EPP025,EWW028,LMC032,LPR012,OCP002,OMA004,OWA016,PAN007,SIW010,SNV001,SNV009,SOD031,SST009,SST038
ACFE032,ACHA016,ACRR002,ACSP001,ECF003,EMM022,EPP025,EWW028,LRE029,OCE009,OCP002,OWA016,SEN006,SIW010,SNV001,SNV009,SOD031,SST038
ACHA016,ACRR002,ECF003,EMM022,EPP025,EWW028,LPR012,OCE009,OCP002,OCP012,OWA016,SCO015,SIW010,SNV001,SNV009,SOD031,SST009,SST038
ACFE032,ACHA016,ACRR002,ECF003,EMM002,EMM022,EPP025,EWW028,LMA046,LPR012,OCE009,OCP002,OCP026,OWA016,SIW010,SNV009,SOD031,SST038
ACEM024,ACHA016,ACRR002,EMM022,EPP025,EWW028,LMC032,LPR012,OCE009,OWA016,PAN007,SIW010,SNV001,SNV009,SOD031,SSS020,SST009,SST038
ACEM025,ACFE032,ACHA016,ACRR002,EWW028,LAL026,LMC032,LPR012,OCE009,OCP002,OWA016,SBB005,SIW010,SNV001,SNV009,SOD031,SST009,SST038
ACFE032,ACRR002,EMM022,ERO020,EWW028,LCC002,LMC032,LPR012,OCE009,OWA016,PHE006,SGM025,SIW010,SNV001,SNV009,SOD031,SST038,STR017
ACFE032,ACHA016,ACRR002,ACSP001,ECF003,EMM022,EPP025,EWW028,LPR012,OCE009,OCP002,OCP028,OWA016,SIW010,SNV001,SNV009,SOD031,SST038
ACFE032,ACRR002,EMM022,ERO020,EWW028,LBI043,LMC032,LPR012,OCE009,OCP002,OWA016,PHE006,SGM025,SIW010,SNV001,SOD031,SST038,STR017
ECF003,EMM001,EMM022,EWW028,LMC014,LMC032,LPR012,OCE009,OCP002,OWA016,PHE012,SIW010,SNV001,SNV009,SOD031,SST009,SST038,STR012
ACHA016,ACRR002,ECF003,EMM001,EMM022,EPP016,EWW028,LDG009,OCE009,OCP002,OWA016,SIB002,SIW010,SNV001,SNV009,SPL004,SST009,SST038
ACEM024,ACHA016,ACRR002,EMM022,EPP025,EWW028,LMC032,LPR012,OCE009,OCP002,OWA016,PAN007,SNV001,SNV009,SOD031,SST009,SST038,STR002
ACEM025,ACFE032,ACHA016,ACRR002,EMM022,EWW028,LAL026,LMC032,LPR012,OCE009,OWA016,SIW010,SNV001,SNV009,SOD031,SST009,SST038,SZO009
ACHA016,ACRR002,ECF003,EOW018,EPP016,EWW028,LPR012,LUN023,OCE009,OCP002,OWA016,SFN013,SIW010,SNV001,SNV009,SPL004,SST009,SST038
ACHA016,EMM022,EWW028,LMC032,LPR012,LTT004,OCP002,OWA016,PHE006,SGM025,SIW010,SMA017,SNV001,SNV009,SNV015,SOD031,SST009,SST038
ACFE032,ACHA016,ACRR002,ECF003,EMM002,EMM022,EPP025,EWW028,LMC033,LPR012,OCE009,OCP026,OWA016,SIW010,SNV009,SOD031,SST009,SST038
ACHA016,EMM022,EWW028,LMC032,LPR012,LTT004,OCE009,OCP002,OWA016,PHE006,SGM025,SIW010,SMA017,SNV001,SNV009,SOD031,SST009,SST035
ACHA016,ACNO041,ECF003,EPP025,ERO021,EWW028,LMC032,LPR012,LTT021,OCE009,OCP002,OWA016,SIW010,SNV001,SNV009,SOD031,SST009,SST038
ACEM025,ACFE032,ACHA016,ACRR002,EMM022,EWW028,LAL026,LMC032,LPR012,OCE009,OCP002,ODE002,OWA016,SIW010,SNV001,SNV009,SOD031,SST009
ACFE032,ACHA016,ACIM014,ACRR002,ECF003,EMM022,EPP025,EWW028,LMC032,LPR012,OCE009,OCP002,OWA016,SNV001,SNV009,SNV022,SOD031,SST038
ACFE032,ACHA016,ACRR002,ECF003,EMM022,EOW018,EPP025,EWW028,LPR012,OCE009,OCP002,OWA016,SEN006,SIW010,SNV001,SNV009,SOD031,SST038
ACEM024,ACHA016,ACRR002,ECF003,EMM022,EOW023,ERO030,EWW028,LMC032,LPR012,OCE009,OCP002,OWA016,SIW010,SNV001,SNV009,SOD031,SST009
ACHA016,ACRR002,ACWS020,EAG022,EEE013,EMM022,EMM034,EPP008,EWW028,LPR012,OCE009,OFI016,ORE008,OWA016,PHE004,SNV009,SST009,SST038
ACHA016,ACRR002,ECF003,EMM001,EPP016,EWW028,LCA019,LPR012,OCE009,OCP002,OWA016,SIB002,SIW010,SNV001,SNV009,SPL004,SST009,SST038
ACFE032,ACGD011,ACHA016,ACRR002,ACSP001,ECF003,EMM022,EPP025,EWW028,LPR012,OCE009,OWA016,SEN006,SIW010,SNV001,SNV009,SOD031,SST038
ACEM024,ACHA016,ACRR002,ECF003,EMM022,EOW023,EWW028,LMC032,LPR012,OCE009,OCP002,OWA016,SIW010,SNV001,SNV009,SOD031,SST009,SST038
