Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM001, ACPH007, EHC006, ERO007, HEV008, LBB022, LBI046, LBU018, LMA017, LMC025, ODE001, ORR012, PFF020, SFO015, SFO017, SME015, SMW005, SNV029]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE031, ACFF001, ACHA003, ACNO001, ACOO016, ACWS002, ECF004, EJF009, EJP018, LCA010, LRE008, OCE026, OSH006, SEN008, SGM002, SMO006, SNB020, SWA003]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACNO004, ACPP009, ACRR002, LBB012, LCR002, LMA035, MYHI001, MYSE004, OBI010, OBI011, OFI030, ORR009, PFF028, SBB015, SMO019, SMW007, SMW009, STE006]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFF004, ACGD012, ACGM058, ACWS022, EAG004, EHH019, EOW021, EWW027, LAM026, LCR001, LDG014, LUN002, LVE029, OBI013, ODE010, ORR003, SFN017, SST018]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM030, ACOO005, ACSP025, EEE003, EES009, EPP017, ERO034, EWO019, EWW021, LAL002, LDG015, PIC017, POM015, SBB009, SEV003, SMA005, SME005, SNV021]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL035, ACGM001, EHC006, EJP024, ERO007, HEV008, LAL021, LAM023, LBI046, LBU018, LMA017, LMC025, ODE001, ORR012, PFF020, SFO015, SMA026, SNV029]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE031, ACFF001, ACHA003, ACNO001, ACWS002, ECF004, EJP018, EWW014, LMA042, LRE008, OFI029, OSH006, PCA008, SDD002, SEN008, SGM002, SMO006, SWA003]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM052, ACIM002, ACSP004, ACTA019, EAG026, EPP016, ERO030, LUN035, ODE008, OMA019, OMW002, PMO003, SEL018, SGD004, SIW002, SME015, SSC003, SSS008]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU014, ACNO004, LBI020, LMA007, LMA035, LRE028, OBI001, OBI010, OFI030, ORR009, ORR015, OSH011, SBB015, SFN026, SMO010, SMO019, SMW007, SMW009]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM052, ACIM002, ACPP020, ACSP004, ACTA019, EAG026, EPP016, ERO030, LUN035, ODE008, OMA019, OMW002, PMO003, SEL018, SGD004, SIW002, SSC003, SSS008]"
