Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0019999999, 0.099999994, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU025, EEG006, EES008, EMM029, EWW037, LBB006, LBI046, LBU041, OCE006, ODE016, OFF012, OWA011, OWA013, SBB012, SBB019, SDD020, SMA007, SPP002]"
1, 0.0, 0.007999999, 0.3, "[0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU025, EEG006, EES008, EMM029, LBB006, LBI046, LBU041, OCE006, ODE016, OFF012, OWA011, OWA013, SBB012, SBB019, SDD020, SDD027, SMA007, SPP002]"
2, 0.0, 0.044, 0.39999998, "[0.02, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0]", "[ACCU025, ACHA006, EES008, EMM029, EWW037, LBB006, LBI046, LBU041, OCE006, ODE016, OFF012, OWA011, OWA013, SBB012, SBB019, SDD020, SMA007, SPP002]"
3, 0.0, 0.12799996, 1.1, "[0.02, 0.0, 0.04, 0.0, 0.02, 0.0, 0.06, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU025, ACHA006, EES008, EMM029, EWW037, LBB006, LBI046, LBU041, OCE006, ODE016, OFF012, OWA011, OWA013, SBB012, SBB019, SDD020, SMA007, SPP002]"
4, 0.0, 0.33000004, 5.400001, "[0.1, 0.02, 0.1, 0.04, 0.08, 0.06, 0.12, 0.0, 0.04, 0.1, 0.0, 0.0, 0.04, 0.04, 0.02, 0.1, 0.12, 0.02, 0.08, 0.0]", "[ACCU025, ACHA006, EES008, EMM029, EWW037, LBB006, LBI046, LBU041, OCE006, ODE016, OFF012, OWA011, OWA013, SBB012, SBB019, SDD020, SOD016, SPP002]"
5, 0.0, 0.606, 7.5000005, "[0.1, 0.02, 0.12, 0.18, 0.08, 0.08, 0.24, 0.0, 0.04, 0.1, 0.04, 0.0, 0.04, 0.02, 0.04, 0.18, 0.1, 0.1, 0.02, 0.0]", "[ACCU025, ACHA006, EES008, EMM029, EWW037, LBB006, LBI046, LBU041, OCE006, ODE016, OFF012, OWA011, OWA013, SBB012, SBB019, SDD020, SOD016, SPP002]"
6, 0.0, 1.454, 6.999999, "[0.08, 0.04, 0.14, 0.08, 0.14, 0.18, 0.08, 0.0, 0.04, 0.08, 0.04, 0.0, 0.06, 0.06, 0.04, 0.12, 0.1, 0.06, 0.02, 0.04]", "[ACCU025, ACHA006, EES008, EMM029, EWW037, LBB006, LBI046, LBU041, OCE006, OFF012, OWA011, OWA013, PIC016, SBB012, SBB019, SDD020, SOD016, SPP002]"
7, 0.0, 3.0840003, 9.8, "[0.14, 0.02, 0.2, 0.2, 0.06, 0.18, 0.14, 0.0, 0.06, 0.12, 0.06, 0.0, 0.08, 0.14, 0.0, 0.22, 0.18, 0.08, 0.04, 0.04]", "[ACEM019, ACHA006, EES008, EMM029, EWW037, LBB006, LBI046, LBU041, OCE006, OFF012, OWA011, OWA013, PIC016, SBB012, SBB019, SDD020, SOD016, SPP002]"
8, 0.0, 5.6740007, 13.099998, "[0.14, 0.18, 0.26, 0.28, 0.2, 0.18, 0.32, 0.02, 0.04, 0.22, 0.06, 0.0, 0.06, 0.08, 0.04, 0.2, 0.16, 0.1, 0.08, 0.0]", "[ACEM019, ACHA006, ACNO028, EES008, EMM029, EWW037, LBB006, LBI046, LBU041, OCE006, OFF012, OWA011, OWA013, SBB012, SBB019, SDD020, SOD016, SPP002]"
9, 0.0, 8.081999, 21.399998, "[0.32, 0.18, 0.36, 0.26, 0.3, 0.34, 0.36, 0.16, 0.1, 0.24, 0.1, 0.0, 0.12, 0.2, 0.06, 0.42, 0.3, 0.18, 0.2, 0.08]", "[ACCU025, ACHA006, EEE010, EES008, EMM029, EWW037, LBB006, LBI046, LBU041, LUN012, ODE016, OFF012, OMA023, OWA013, SBB012, SBB019, SOD016, SSS016]"
10, 0.0, 9.047999, 20.899996, "[0.26, 0.2, 0.24, 0.32, 0.26, 0.2, 0.46, 0.06, 0.06, 0.36, 0.12, 0.02, 0.12, 0.24, 0.06, 0.38, 0.32, 0.28, 0.22, 0.0]", "[ACCU025, ACHA006, EEE010, EES008, EMM029, EWW037, LBB006, LBI046, LBU041, LUN012, ODE016, OFF012, OMA023, OWA013, SBB012, SBB019, SOD016, SSS016]"
11, 0.0, 10.885998, 25.8, "[0.34, 0.28, 0.44, 0.38, 0.38, 0.38, 0.42, 0.12, 0.08, 0.22, 0.16, 0.02, 0.18, 0.28, 0.06, 0.56, 0.3, 0.18, 0.3, 0.08]", "[ACCU025, ACEV003, ACHA006, EEE010, EES008, EMM029, EWW037, LBB006, LBI046, LUN012, ODE016, OFF012, OMA023, OWA013, SBB012, SBB019, SOD016, SSS016]"
12, 0.0, 15.693996, 33.6, "[0.46, 0.32, 0.68, 0.5, 0.32, 0.52, 0.58, 0.12, 0.2, 0.42, 0.28, 0.04, 0.18, 0.32, 0.16, 0.44, 0.44, 0.34, 0.26, 0.14]", "[ACCU025, ACHA006, EEE010, EES008, EMM029, EWW037, LBB006, LBI046, LBU041, LMA021, LUN012, OMA023, OMW006, SBB012, SBB019, SOD016, SPI017, SSS016]"
13, 0.19999999, 17.344, 31.600002, "[0.36, 0.32, 0.48, 0.5, 0.48, 0.44, 0.52, 0.16, 0.16, 0.38, 0.22, 0.1, 0.14, 0.3, 0.14, 0.54, 0.44, 0.3, 0.28, 0.06]", "[ACCU025, ACHA006, EEE010, EES008, EMM029, EWW037, LBB006, LBI046, LBU041, LMA021, LUN012, OMA023, OMW006, SBB012, SBB019, SOD016, SPI017, SSS016]"
14, 0.19999999, 20.534002, 35.300003, "[0.36, 0.3, 0.66, 0.58, 0.44, 0.46, 0.54, 0.24, 0.16, 0.44, 0.3, 0.04, 0.22, 0.36, 0.1, 0.6, 0.32, 0.38, 0.44, 0.12]", "[ACCU025, ACHA006, EES008, EMM029, EWW037, FSP003, LBB006, LBI046, LBU041, LMA021, LUN012, OMA023, OMW006, SBB012, SBB019, SOD016, SPI017, SSS016]"
15, 0.19999999, 22.061996, 49.199997, "[0.6, 0.56, 0.72, 0.64, 0.48, 0.62, 0.7, 0.34, 0.32, 0.62, 0.32, 0.1, 0.48, 0.42, 0.34, 0.64, 0.64, 0.62, 0.48, 0.2]", "[ACCU025, ACHA006, EES008, EMM029, FSP003, LBB006, LBI046, LBU041, LMA021, LPL018, LUN012, OMA023, OMW006, SBB012, SBB019, SOD016, SPI017, SSS016]"
16, 0.3, 25.625996, 51.600002, "[0.66, 0.62, 0.64, 0.56, 0.48, 0.42, 0.8, 0.44, 0.38, 0.74, 0.3, 0.26, 0.44, 0.52, 0.38, 0.7, 0.5, 0.5, 0.52, 0.46]", "[ACCU025, ACHA006, EES008, EMM029, FSP003, LBB006, LBI046, LBU008, LBU041, LMA021, LPL018, LUN012, OMA023, SBB012, SBB019, SOD016, SPI017, SSS016]"
17, 0.0, 30.107998, 57.199997, "[0.58, 0.66, 0.72, 0.64, 0.54, 0.68, 0.84, 0.44, 0.5, 0.6, 0.54, 0.22, 0.56, 0.48, 0.36, 0.6, 0.58, 0.66, 0.66, 0.58]", "[ACCU025, ACHA006, EES008, EMM029, FSP003, LAM020, LBB006, LBI046, LBU041, LMA021, LPL018, LUN012, OMA023, OMW006, SBB012, SBB019, SOD016, SSS016]"
18, 0.3, 34.218, 69.5, "[0.78, 0.8, 0.86, 0.78, 0.74, 0.7, 0.82, 0.6, 0.68, 0.84, 0.48, 0.34, 0.68, 0.6, 0.66, 0.7, 0.74, 0.78, 0.82, 0.5]", "[ACCU025, ACHA006, EES008, EMM029, FSP003, LBB006, LBI046, LBU041, LMA021, LPL018, LUN012, OMA023, SBB012, SBB019, SNV009, SOD016, SPI017, SSS016]"
19, 2.2000003, 37.162, 69.1, "[0.86, 0.7, 0.86, 0.74, 0.76, 0.74, 0.9, 0.54, 0.58, 0.86, 0.66, 0.3, 0.6, 0.5, 0.58, 0.88, 0.8, 0.78, 0.7, 0.48]", "[ACCU025, ACHA006, EES008, EMM029, FSP003, LBB006, LBI046, LBU041, LMA021, LPL018, LUN012, OMA023, SBB012, SBB019, SNV009, SOD016, SPI017, SSS016]"
20, 2.0, 43.364002, 68.0, "[0.76, 0.76, 0.8, 0.72, 0.68, 0.78, 0.82, 0.66, 0.66, 0.8, 0.52, 0.3, 0.56, 0.56, 0.6, 0.9, 0.74, 0.82, 0.74, 0.42]", "[ACCU025, ACHA006, EES008, EMM029, FSP003, LBB006, LBI046, LBU041, LMA021, LPL018, LUN012, OMA023, SBB012, SBB019, SNV009, SOD016, SPI017, SSS016]"
21, 2.2999997, 46.133995, 68.200005, "[0.74, 0.82, 0.84, 0.78, 0.8, 0.74, 0.92, 0.56, 0.6, 0.7, 0.52, 0.36, 0.64, 0.68, 0.54, 0.8, 0.64, 0.72, 0.74, 0.5]", "[ACCU025, ACHA006, EES008, EMM029, FSP003, LBB006, LBI046, LBU041, LMA021, LMA041, LPL018, LUN012, OMA023, SBB012, SBB019, SNV009, SOD016, SSS016]"
