Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 90.4, 98.240005, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACFU001, ACHA017, ACNO002, ACRR004, EOW003, EWW032, LMC027, LTT006, LTT021, ORE004, PCA022, POM014, SCO013, SDD028, SFN025, SNV001, SPL003]"
1, 93.99999, 99.26599, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACFE023, ACFU001, ACRR004, EEE009, EOW025, EWW032, FSE002, LMA054, LMC002, LRE014, LTT006, LUN005, ORE004, PCA022, SDD028, SNV044, SPL003]"
2, 96.6, 99.310036, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACFE023, ACFU001, ACRR004, ACTA006, EEE009, EWW032, FSE002, LMA054, LRE014, LTT006, LUN005, OCP015, ORE004, SCC008, SDD028, SGD007, SPL003]"
3, 95.600006, 99.40002, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACCU019, ACFU001, ACGD013, ACGM029, ACNO033, ACRR004, EEE009, EWW032, LTT006, LUN005, ORE004, PCA022, PIC018, POM014, SDD028, SFN025, SGD007, SPL003]"
4, 95.2, 99.40803, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACFU001, ACNO002, ACRR004, EEE009, EOW003, EPP011, ERO032, EWW032, LMC027, LTT006, LTT021, ORE001, ORE004, PCA022, SDD028, SFN025, SPL003]"
5, 95.4, 99.178, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACFU001, ACNO002, ACRR004, EEE009, EOW003, EPP011, EWW032, LMC027, LTT006, LTT021, ORE001, ORE004, PAN012, PCA022, SDD028, SFN025, SPL003]"
6, 98.0, 99.46402, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACFU001, ACNO002, ACRR004, EOW003, EPP011, ERO032, EWW032, LMC027, LTT006, LTT021, OFI004, ORE001, PCA022, SDD028, SFN025, SPL003, STE007]"
7, 93.99999, 99.28602, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACNO002, ACRR004, EEE009, EPP011, EWW032, LMC027, LTT021, LVE019, OBI023, OFF001, ORE001, ORE004, PCA022, SDD028, SFN025, SNV018, SPL003]"
8, 96.99999, 99.59604, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACCU019, ACFU001, ACNO033, ACPY006, ACRR004, EEE009, EWW032, LBU013, LMA003, LRE014, LTT006, LUN005, ORE004, SDD028, SFN025, SGD007, SMA029, SMO012]"
9, 93.2, 99.54001, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACFE023, ACFU001, ACNO005, ACRR004, EEE009, EOW025, EWW007, EWW032, LCC009, LTT006, LTT012, ORE004, PCA022, PIC011, SDD028, SNV044, SPL003]"
10, 96.200005, 99.512054, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACFE023, ACFU001, ACNO005, ACRR004, EEE009, EOW025, EWW007, EWW032, FLL003, LCC009, LTT006, LTT012, ORE004, PCA022, PIC011, SDD028, SPL003]"
11, 97.0, 99.52603, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACFU001, ACRR004, EOW003, ERO032, EWW032, LHY006, LMC027, LTT006, OMW018, ORE001, ORE004, PCA022, PMO020, SDD028, SFN025, SPL003, STE007]"
12, 93.2, 99.51003, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACAL039, ACFU001, ACRR004, EOW003, EPP011, EWO020, EWW032, LMC027, LTT006, ORE001, PCA022, PCA024, SDD028, SEL023, SEN011, SFN025, STE007]"
13, 97.8, 99.56602, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACEM019, ACEV002, ACFU001, ACRR004, EOW003, EPP011, ERO032, EWW032, LMC027, LTT014, ORE004, PCA022, SDD028, SEL023, SEN011, SSC005, STE007]"
14, 97.399994, 99.58602, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACFU001, ACRR004, ACWS012, EOW003, ERO032, EWW032, LHY006, LMC027, LRE013, OMW018, ORE001, ORE004, PCA022, PMO020, SDD028, SFN025, STE007]"
15, 97.399994, 99.64602, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACCU027, ACFU001, ACRR004, ERO032, EWW032, LMA031, LPR005, LTT006, LTT015, OCP009, ODE009, ORE004, PMO020, SAA002, SDD028, SFN025, SPL003, STE007]"
16, 95.8, 99.55402, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACAL037, ACRH003, ACRR004, ECF013, EEE009, EOW003, EOW019, EPP011, LMA001, LMC027, OMA034, ORE004, PCA022, SDD028, SFN025, SPL003, SST021]"
17, 94.20001, 99.61602, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACRR004, ECF013, EEE009, EES007, EOW003, EOW019, EPP011, EWW013, LMC027, OCE023, OMA010, OMA034, ORE004, PCA022, SDD028, SFN025, SST021]"
18, 97.2, 99.712036, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACFU001, ACHA014, ACTA001, ECF013, EOW003, EPP011, EWW032, LBU016, LMC027, OMA034, ORE004, ORF005, PHE001, SDD028, SFN025, SPL003, SST021]"
19, 98.4, 99.68802, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACAL039, ACEM032, ACEV018, ACFU001, ACRR004, EPP011, ERO014, EWW032, LMC027, LTT006, ORR014, PCA022, PCA024, PMO008, SDD028, SEL023, SFN025]"
20, 98.4, 99.71402, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL029, ACFU001, ACRR004, ECF013, EEE009, EOW003, EWW033, LMC027, OBI027, OMA010, OMA034, ORE004, PCA022, PFF027, SDD028, SFN025, SGM011, SPL003]"
21, 97.79999, 99.76001, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFF001, ACFU001, ACGM009, ACRR004, ECF013, EEE009, EOW003, EPP011, EWW032, LVE011, OCE004, OFI031, ORE004, PCA022, PLB005, SDD028, SFN025, SPL003]"
22, 98.600006, 99.77802, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFF001, ACFU001, ACRR004, ECF013, EEE009, EHH006, EPP011, EWW032, LTT023, LVE011, OFI031, ORE004, PCA022, PLB005, POM012, SFN025, SPL003, SST022]"
23, 95.8, 99.696014, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACRR004, ECF013, EDO004, EEE009, EOW003, EPP011, ETT001, LBI047, LMC027, OMA034, ORE004, OSH015, PCA022, SDD028, SFN025, SGM011, SPL003]"
24, 96.99999, 99.70602, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, EEE002, EEE009, EMM024, EOW003, EWW032, LVE011, OMA030, ORE004, PCA022, PHE016, SDD028, SFN025, SGD002, SPL003, SSS029, SST022, SST029]"
25, 98.4, 99.79002, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACRR004, EEE009, EMM008, EOW003, EPP011, EWW032, LAL017, LVE011, OMA030, ORE004, PCA022, SDD028, SFN025, SHN001, SPL003, SST022, SST029]"
26, 96.6, 99.73002, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACRR004, ECF013, EEE009, EPP011, EWW032, LMA036, LTT023, LVE011, OFI031, ORE004, PCA022, PLB005, POM012, SCC003, SCC006, SFN025, SST022]"
27, 97.79999, 99.66602, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACRR004, EOW003, EPP011, EWW032, LAM007, LMA006, LVE011, OMA030, ORE004, PCA022, PHE016, SCO003, SFN025, SGD002, SPL003, SST022, SST029]"
