Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.39999998, 42.392994, 86.8, "[0.96, 0.96, 0.56, 0.78, 1.0, 0.74, 1.0, 1.0, 1.0, 0.68]", "[ACFU001, ACMY003, ACWS021, EWW028, LAL013, LAL027, LDG008, LMA021, LMC025, LTT023, LUN012, ODE008, OSH001, PFF012, SBB012, SMA025, SOD016, STR013]"
1, 13.6, 55.493004, 90.80001, "[1.0, 0.96, 0.7, 0.96, 1.0, 0.9, 1.0, 1.0, 1.0, 0.56]", "[ACFU001, ACMY003, ACPP008, EES008, EES010, ERO001, EWW028, LAL002, LDG008, LRE029, ODE019, OFF008, OSH001, SBB012, SMA025, SOD016, SRR008, STE019]"
2, 22.8, 66.44803, 91.8, "[0.98, 0.96, 0.7, 0.98, 1.0, 0.82, 1.0, 1.0, 1.0, 0.74]", "[ACFE005, ACFU001, ACMO003, ACMY003, EDO003, EES008, EWW028, LDG008, LMC025, LUN012, ORF003, OSH001, SBB012, SFO019, SMA025, SOD016, SRR022, STE019]"
3, 31.0, 72.63901, 92.80001, "[0.98, 1.0, 0.9, 0.88, 1.0, 0.86, 1.0, 1.0, 1.0, 0.66]", "[ACFE005, ACFU001, ACMO003, ACMY003, ACPP007, EDO003, EES008, EMM025, EWW028, LDG008, LUN012, OSH001, SBB012, SMA025, SNV039, SOD016, SPP001, STE019]"
4, 36.2, 77.524025, 98.0, "[1.0, 1.0, 0.92, 0.96, 1.0, 0.98, 1.0, 1.0, 1.0, 0.94]", "[ACFU001, ACMO003, EDO003, EES008, EWW028, LDG008, LMC025, LUN012, ORF003, OSH001, PCA036, SBB012, SFO019, SMA025, SOD016, SRR022, SST038, STE019]"
5, 37.799995, 81.051, 98.4, "[1.0, 1.0, 0.92, 0.94, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98]", "[ACFU001, ACMO003, EDO003, EES008, EWW028, LDG008, LMC025, LUN012, ORF003, OSH001, PCA036, SBB012, SFO019, SMA025, SOD016, SRR022, SST038, STE019]"
6, 49.799995, 83.46897, 98.99999, "[1.0, 1.0, 0.94, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98]", "[ACFU001, ACMO003, EDO003, EES008, EWW028, LDG008, LMC025, LUN012, ORF003, OSH001, POM010, SBB012, SFO019, SMA025, SOD016, SRR022, SST038, STE019]"
7, 45.0, 86.022026, 98.79999, "[1.0, 1.0, 0.96, 0.94, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98]", "[ACFU001, ACMO003, EDO003, EES008, EWW028, LDG008, LMC025, LUN012, ORF003, OSH001, POM010, SBB012, SFO019, SMA025, SOD016, SRR022, SST038, STE019]"
8, 65.200005, 89.409004, 99.40001, "[1.0, 1.0, 0.96, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACMO003, EDO003, EES008, EWW028, LDG008, LMC025, LUN012, ORF003, OSH001, POM010, SBB012, SFO019, SMA025, SOD016, SRR022, SST038, STE019]"
9, 52.999996, 90.55499, 99.6, "[1.0, 1.0, 0.98, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACGD005, ACGD009, ACMO003, EDO003, EES008, EWW028, LDG008, LMC025, LUN012, ORF003, OSH001, SBB012, SFO027, SMA025, SOD016, SST038, STE019]"
10, 60.8, 91.72303, 99.40001, "[1.0, 1.0, 0.96, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACMO003, EDO003, EES008, EWW028, FSP004, LDG008, LMC025, LUN012, OSH001, POM010, SBB012, SFO019, SMA025, SOD016, SRR022, SST038, STE019]"
11, 63.0, 91.68802, 99.799995, "[1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACGD005, ACGD009, ACMO003, EDO003, EES008, EWW028, LDG008, LMC025, LUN012, OSH001, SBB012, SFO027, SMA025, SNB019, SOD016, SST038, STE019]"
12, 61.6, 91.95899, 99.799995, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98]", "[ACFU001, ACGD005, ACGD009, ACMO003, EDO003, EES008, EWW028, LAM016, LDG008, LMC025, LUN012, OSH001, SBB012, SMA025, SNB019, SOD016, SST038, STE019]"
13, 71.0, 92.118, 99.399994, "[1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 0.96]", "[ACFU001, ACGM007, ACMO003, EDO003, EES008, EWW028, FSP004, LDG008, LMC025, LUN012, OSH001, POM010, SBB012, SMA025, SOD016, SRR022, SST038, STE019]"
14, 43.199997, 92.21798, 99.59999, "[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98]", "[ACFU001, ACMO003, EES008, EWW028, LDG008, LMC025, LUN012, OSH001, OSH022, PHE031, POM010, SBB012, SFO019, SMA025, SOD016, SRR022, SST038, STE019]"
15, 66.200005, 91.863, 99.799995, "[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACMO003, EDO003, EES008, ERO006, EWW028, FSP004, LDG008, LMC025, LUN012, OSH001, POM010, SBB012, SMA025, SOD016, SRR022, SST038, STE019]"
16, 69.4, 92.619965, 99.799995, "[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACMO003, EDO003, EES008, ERO006, EWW028, FSP004, LDG008, LMC025, LUN012, OSH001, PCA007, POM010, SBB012, SMA025, SOD016, SST038, STE019]"
17, 62.0, 91.98599, 99.40001, "[1.0, 1.0, 0.94, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACMO003, EDO003, EES008, ERO006, EWW028, FSP004, LDG008, LMC025, LUN012, OSH001, PCA007, POM010, SBB012, SMA025, SOD016, SST038, STE019]"
18, 71.0, 92.39198, 99.59999, "[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98]", "[ACFU001, ACGD005, ACGD009, ACMO003, ACSP004, EES008, EWW028, LDG008, LUN012, OSH001, PAN024, PHU002, SBB012, SMA025, SNB019, SOD016, SST038, STE019]"
19, 73.6, 93.343, 99.59999, "[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98]", "[ACFU001, ACMO003, EDO003, EES008, EWW028, FSP004, LDG008, LMC025, LUN012, ORR006, OSH001, PCA007, POM010, SBB012, SMA025, SOD016, SST038, STE019]"
20, 75.399994, 93.38496, 99.6, "[1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACGD005, ACGD009, ACMO003, ACNO018, ACSP004, EES008, EWW028, LDG008, LUN012, OSH001, PAN024, SBB012, SMA025, SNB019, SOD016, SST038, STE019]"
21, 69.200005, 93.11597, 99.399994, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94]", "[ACAZ002, ACFU001, ACMO003, ACNO005, EES008, ERO006, EWW028, LCA001, LDG008, LMC025, LUN012, OSH001, PCA007, SBB012, SMA025, SOD016, SST038, STE019]"
