Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.005, 0.19999999, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0]", "[ACEV011, ACEV020, ACPP029, EHC006, EOW012, ERO021, LDG013, LPL023, ODE011, PFF007, SAA018, SFO001, SMA025, SRR007, SSS013, SST004, STE023, SZO002]"
1, 0.0, 0.0019999999, 0.19999999, "[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEV011, ACGM004, ACPP029, EHC006, EOW012, ERO021, LDG013, LPL023, ODE011, PFF007, SAA018, SFO001, SMA025, SRR007, SSS013, SST004, STE023, SZO002]"
2, 0.0, 0.030000001, 1.4000001, "[0.02, 0.0, 0.0, 0.0, 0.04, 0.0, 0.08, 0.0, 0.0, 0.0]", "[ACEV011, ACGM004, ACPP029, EHC006, EOW012, ERO021, LDG013, LMA004, LPL023, ODE011, SAA018, SFO001, SMA025, SRR007, SSS013, SST004, STE023, SZO002]"
3, 0.0, 0.10299999, 2.4, "[0.08, 0.0, 0.0, 0.0, 0.02, 0.0, 0.12, 0.0, 0.02, 0.0]", "[ACEV011, ACGM004, ACPP029, EHC006, EOW012, EPP016, ERO021, EWO018, LDG013, ODE011, SAA018, SFO001, SMA025, SRR007, SSS013, SST004, STE023, SZO002]"
4, 0.0, 0.36599994, 2.6, "[0.1, 0.0, 0.0, 0.0, 0.02, 0.0, 0.14, 0.0, 0.0, 0.0]", "[ACEV011, ACGM004, ACPP029, EHC006, EOW012, LDG013, LMA004, LPL023, SAA010, SAA018, SFO001, SMA025, SME007, SRR007, SSS013, SST004, STE023, SZO002]"
5, 0.0, 0.76499957, 3.8, "[0.04, 0.02, 0.0, 0.02, 0.02, 0.0, 0.2, 0.0, 0.08, 0.0]", "[ACEV011, ACPP029, EHC006, EOW012, EOW026, EPP016, ERO021, EWO018, LDG013, ODE011, SAA018, SFO001, SMA025, SNV024, SRR007, SSS013, SST004, SZO002]"
6, 0.0, 1.3999997, 5.9999995, "[0.2, 0.02, 0.0, 0.0, 0.1, 0.0, 0.2, 0.0, 0.08, 0.0]", "[ACEV011, ACGM004, ACPP029, EJF008, EOW011, EOW012, ERO021, LDG013, LMA004, OCP002, ODE011, SAA018, SEL015, SMA025, SRR007, SSS013, STE023, SZO002]"
7, 0.0, 2.3379996, 9.0, "[0.26, 0.0, 0.0, 0.04, 0.2, 0.0, 0.2, 0.06, 0.14, 0.0]", "[ACEV011, ACGM004, EOW012, EPP016, ERO021, EWO018, LDG013, OCE023, SAA011, SAA018, SFO001, SMA025, SNV024, SRR007, SSS005, SSS013, SST004, SZO002]"
8, 0.0, 3.3420012, 18.800001, "[0.4, 0.0, 0.0, 0.18, 0.26, 0.0, 0.38, 0.2, 0.46, 0.0]", "[ACGM004, EAG024, EOW012, EPP016, ERO021, ESS007, LDG013, LVE020, ODE011, PFF007, SAA018, SBB012, SFO001, SMA025, SRR007, SSS013, STR019, SZO002]"
9, 0.0, 5.5030003, 22.400002, "[0.42, 0.02, 0.0, 0.16, 0.34, 0.0, 0.66, 0.28, 0.34, 0.02]", "[ACGM004, EAG024, EOW012, EPP016, ERO011, ERO021, ESS007, LDG013, LVE020, ODE011, PFF007, SAA018, SBB012, SFO001, SMA025, SRR007, SSS013, STR019]"
10, 0.0, 9.141002, 35.8, "[0.6, 0.12, 0.0, 0.34, 0.56, 0.1, 0.82, 0.46, 0.52, 0.06]", "[ACGM004, EAG024, EES008, EOW012, EPP016, ERO021, ESS007, LDG013, LPL016, LVE020, ODE011, PFF007, SAA018, SBB012, SMA025, SRR007, STR019, SZO002]"
11, 0.0, 14.035999, 39.6, "[0.66, 0.06, 0.02, 0.44, 0.52, 0.16, 0.84, 0.5, 0.76, 0.0]", "[ACGM004, EAG024, EMM022, EOW012, EPP016, ERO011, ERO021, ESS007, LDG013, LVE020, ODE011, OSH006, PFF007, SBB012, SMA025, SRR007, SSS013, STR019]"
12, 0.79999995, 20.548, 44.600002, "[0.62, 0.1, 0.02, 0.52, 0.8, 0.12, 0.96, 0.46, 0.78, 0.08]", "[ACGM004, EAG024, EES008, EOW012, EPP016, ERO021, ESS007, HEV007, LDG013, LPL016, LVE020, ODE011, SAA018, SBB012, SMA025, SRR007, STR019, SZO002]"
13, 2.6, 26.954996, 49.2, "[0.68, 0.2, 0.06, 0.62, 0.74, 0.14, 0.96, 0.62, 0.82, 0.08]", "[ACGM004, ACRH005, EAG024, EES008, EOW012, EPP016, ERO021, ESS007, LDG013, LPL016, ODE011, SAA018, SBB012, SDD016, SMA025, SRR007, STR019, SZO002]"
14, 2.8000002, 31.349, 55.4, "[0.9, 0.16, 0.12, 0.7, 0.74, 0.26, 0.92, 0.74, 0.9, 0.1]", "[ACHA006, EOW012, EPP016, ERO021, LVE020, ODE011, SAA018, SAA019, SBB012, SCO017, SFO001, SMA025, SMW005, SRR007, SSS013, SST038, STR019, SZO002]"
15, 3.8000002, 33.824997, 58.600002, "[0.86, 0.2, 0.1, 0.78, 0.74, 0.24, 0.96, 0.86, 0.94, 0.18]", "[ACFU001, ACGM004, EAG024, EES008, EMM009, EPP016, ERO021, ESS007, HEV007, LPL016, LVE020, ODE011, SBB012, SFO020, SMA025, SRR007, STR019, SZO002]"
16, 1.5999999, 39.84101, 60.999996, "[0.9, 0.36, 0.06, 0.9, 0.86, 0.34, 0.96, 0.68, 0.9, 0.14]", "[ACFU001, ACGM004, EAG024, EES008, EMM009, EPP016, ERO021, ESS007, HEV007, LPL016, ODE011, SBB012, SEN007, SFO020, SMA025, SRR007, STR019, SZO002]"
17, 4.4, 41.86299, 60.4, "[0.9, 0.3, 0.08, 0.7, 0.86, 0.26, 1.0, 0.76, 0.94, 0.24]", "[ACFU001, ACGM004, EAG024, EES008, EMM009, EPP016, ERO021, ESS007, LPL016, ODE011, SBB012, SEL002, SEN007, SFO020, SMA025, SRR007, STR019, SZO002]"
18, 8.0, 44.952988, 66.399994, "[0.96, 0.3, 0.14, 0.9, 0.88, 0.34, 1.0, 0.9, 0.94, 0.28]", "[ACFU001, EAG024, EES008, EMM009, EPP016, ERO021, ESS007, LPL016, ODE011, POM021, SBB012, SDD026, SEN007, SFO020, SMA025, SRR007, STR019, SZO002]"
19, 11.4, 48.357994, 71.8, "[0.98, 0.5, 0.22, 0.92, 0.9, 0.38, 1.0, 0.92, 0.94, 0.42]", "[ACFU001, EAG024, EAM001, EES008, EMM009, EPP016, ERO021, ESS007, LPL016, ODE011, SBB012, SDD026, SEN007, SFO020, SMA025, SRR007, STR019, SZO002]"
20, 11.600001, 49.905003, 70.200005, "[0.94, 0.52, 0.18, 0.92, 0.86, 0.38, 1.0, 0.92, 0.96, 0.34]", "[ACFU001, EAG024, EES008, EMM009, EPP016, ERO021, ESS007, LPL016, ODE011, SBB012, SDD026, SEN007, SFO020, SMA025, SNV039, SRR007, STR019, SZO002]"
21, 13.399999, 52.66001, 75.200005, "[1.0, 0.62, 0.26, 0.98, 0.98, 0.48, 1.0, 0.96, 0.98, 0.26]", "[ACAL022, ACCU009, ACFU001, ACGM004, ACMY003, EAG024, EES008, EPP016, ERO021, LPL016, SBB012, SFO020, SGD017, SMA025, SOD016, SRR007, STR019, SZO009]"
22, 13.599999, 56.156998, 77.0, "[1.0, 0.64, 0.42, 0.98, 0.96, 0.56, 0.98, 0.98, 1.0, 0.18]", "[ACAL022, ACCU009, ACFU001, ACMY003, EAG024, EES008, EPP016, ERO021, LCC018, LPL016, SBB012, SFO020, SGD017, SMA025, SOD016, SRR007, STR019, SZO009]"
23, 16.2, 57.884987, 79.4, "[1.0, 0.72, 0.26, 0.96, 1.0, 0.6, 1.0, 0.96, 0.98, 0.46]", "[ACCU009, ACFU001, ACGM004, EAG024, ECF017, EDO013, EES008, EPP016, ERO021, LPL016, LTT001, SBB012, SFO020, SMA025, SOD016, SRR007, STR019, SZO009]"
24, 21.2, 60.209984, 81.6, "[0.96, 0.76, 0.34, 0.94, 1.0, 0.64, 1.0, 0.98, 1.0, 0.54]", "[ACCU009, ACFU001, ACGM004, EAG024, ECF017, EDO013, EES008, EPP016, ERO021, LTT001, SBB012, SFO020, SMA025, SMO017, SOD016, SRR007, STR019, SZO009]"
25, 25.0, 64.07398, 85.799995, "[1.0, 0.86, 0.46, 1.0, 0.98, 0.7, 1.0, 0.98, 1.0, 0.6]", "[ACFU001, EAG024, EES008, EPP016, ERO021, ESS007, SBB012, SFO020, SMA025, SMA034, SNV021, SNV037, SOD016, SPI003, SRR007, SSS009, STR019, SZO002]"
26, 25.400002, 68.17301, 90.4, "[0.98, 0.84, 0.66, 0.94, 0.98, 0.84, 1.0, 1.0, 1.0, 0.8]", "[ACFU001, EAG024, EES008, EPP016, ERO021, ESS007, SBB012, SFO020, SMA025, SMA034, SNV037, SOD016, SPI003, SRR006, SRR007, SSS009, STR019, SZO002]"
27, 24.8, 68.605, 89.200005, "[1.0, 0.88, 0.48, 0.98, 0.96, 0.88, 1.0, 1.0, 1.0, 0.74]", "[ACFU001, EAG024, EES008, EPP016, ERO021, ESS007, SBB012, SFO020, SMA025, SMA034, SNV037, SOD016, SPI003, SRR006, SRR007, SSS009, STR019, SZO002]"
28, 29.799997, 69.92401, 91.600006, "[1.0, 0.94, 0.66, 1.0, 1.0, 0.82, 1.0, 0.98, 1.0, 0.76]", "[ACFU001, EAG024, EES008, EPP016, ERO021, ESS007, SBB012, SFO020, SMA025, SMA034, SNV037, SOD016, SPI003, SRR006, SRR007, SSS009, STR019, SZO002]"
29, 29.6, 71.688, 90.4, "[0.98, 0.86, 0.7, 0.98, 1.0, 0.8, 1.0, 1.0, 1.0, 0.72]", "[ACFU001, EES008, EPP016, ERO021, SBB012, SFO020, SMA025, SMA034, SNV037, SOD016, SPI003, SPL009, SRR006, SRR007, SRR018, SSS025, STR019, SZO002]"
30, 33.6, 73.37998, 91.4, "[0.98, 0.9, 0.6, 0.98, 1.0, 0.92, 1.0, 1.0, 1.0, 0.76]", "[ACFU001, EES008, EPP016, ERO021, SBB012, SFO020, SMA025, SMA034, SNV037, SOD016, SPI003, SPL009, SRR006, SRR007, SRR018, SSS025, STR019, SZO002]"
31, 40.8, 74.113, 90.80001, "[1.0, 0.9, 0.6, 0.98, 1.0, 0.8, 1.0, 1.0, 1.0, 0.8]", "[ACFU001, EES008, EPP016, ERO021, OFI032, SBB012, SFO020, SFO026, SMA025, SMA034, SNV037, SOD016, SPL009, SRR006, SRR007, SSS025, STR019, SZO002]"
32, 36.999996, 76.58903, 91.0, "[0.98, 0.94, 0.7, 0.98, 1.0, 0.76, 1.0, 1.0, 1.0, 0.74]", "[ACFU001, EES008, EPP016, ERO021, OFI032, SBB012, SFO020, SFO026, SMA025, SMA034, SNV037, SOD016, SPL009, SRR006, SRR007, SSS025, STR019, SZO002]"
33, 47.800003, 77.52, 92.200005, "[1.0, 0.86, 0.66, 1.0, 1.0, 0.94, 1.0, 1.0, 1.0, 0.76]", "[ACFU001, EES008, EPP016, ERO021, LRE022, SBB012, SFO026, SMA025, SMA034, SNV037, SOD016, SPL009, SRR006, SRR007, SSS025, STR019, STR029, SZO002]"
34, 50.000008, 79.42197, 93.2, "[1.0, 0.92, 0.64, 0.98, 1.0, 0.98, 1.0, 0.98, 1.0, 0.82]", "[ACFU001, EES008, EPP016, ERO021, SBB012, SDD011, SEL009, SFO026, SMA025, SMA034, SNV037, SOD016, SPL009, SRR006, SRR007, SRR008, SSS025, SZO002]"
35, 51.0, 80.29099, 95.2, "[1.0, 0.98, 0.72, 1.0, 1.0, 0.96, 1.0, 1.0, 0.98, 0.88]", "[ACFU001, EES008, EPP016, ERO021, SBB012, SDD011, SEL009, SFO026, SMA025, SMA034, SNV037, SOD016, SPL009, SRR007, SRR008, SSS025, SST038, SZO002]"
36, 31.599998, 80.34104, 96.4, "[1.0, 1.0, 0.8, 1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 0.86]", "[ACFU001, EES008, EMM022, EPP016, ERO021, LAL015, SBB012, SCO010, SGM002, SMA025, SMA034, SNV009, SOD016, SPL009, SRR007, SSS025, STR019, SZO002]"
37, 41.399998, 81.270996, 95.2, "[1.0, 0.9, 0.76, 1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 0.9]", "[ACFU001, EES008, EMM022, EPP016, ERO012, ERO021, SBB012, SGM002, SMA025, SMA034, SNV009, SOD016, SPI003, SPL009, SRR007, SSS004, SSS025, STR019]"
