Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU016, ACPP029, ACRH005, ACTO004, EMM021, EOW023, EWW002, LBU009, LCA013, LMA001, LPR024, OCE020, OFF011, PFF001, SFO007, SGD018, SNV022, SSS023]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEV019, ACNO002, ACNO037, ACPY001, ACSP020, ACSP027, ACTA004, ACWS019, EMM022, FSE001, LBB009, LMA010, LPL007, OMW002, OSH012, PIC001, SCO022, SPP001]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACMY004, ACRH006, ERO029, LBB025, LBU014, LDG003, LMC016, OMA008, PAN013, PFF007, SCC005, SFR004, SGM002, SGM018, SMA015, SMO024, SSS021, STE007]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAM002, ACEM022, ACPH004, ACSP014, EAM001, EJF009, EJP008, EMM010, LBI039, LDG007, LMC003, LUN013, ORE019, OWA009, SBB016, SCO019, SGM023, SMO013]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU007, ACCU016, ACHA005, ACRR004, LDG003, LDG023, LPL021, LTT027, LUN025, MYSE002, OCE005, PEV003, PIC017, SEN019, SFO027, SMW009, SNV003, SNV038]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL036, ACEM022, ACSP027, EAG001, EEE009, EWW035, LMC027, LVE022, ODE027, OFF025, OFI010, ORF001, OSH010, OWA013, SFN023, SGM020, SOD032, SPI003]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEM006, ACEV017, ACGM012, EMM004, EOW020, ERO030, EWW016, EWW021, LBI021, LEV003, LMA019, LMA055, MYHI002, OCP011, OWA024, PMO028, SMT001, SNV019]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACHA003, ACHA015, ACTO002, EAF004, EMM016, EWW032, LMA005, LPL023, LRE018, LVE030, OFF005, OMW006, OSH022, SCC006, SDD021, SNB026, SSS007, STR006]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM058, EAF004, ESY002, LCC006, LDG018, LDG020, LMC016, LVE005, OBI024, OCP029, ORR007, OSH022, PHE020, PMO023, SFO028, SLP002, SOD005, SOD008]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEM030, ACPH005, ACTA014, LAL007, LPR010, OCP009, OWA003, OWA007, PCA019, SFO009, SGM019, SME024, SNV037, SPI024, SRR014, STE018, STE021, STR003]"
