Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.5, 9.999999, "[0.68, 0.02, 0.0, 0.04, 0.04, 0.0, 0.0, 0.12, 0.0, 0.08, 0.06, 0.06, 0.0, 0.0, 0.02, 0.0, 0.02, 0.0, 0.02, 0.84]", "[ACEV003, ACGM058, EAF001, EES008, LBI002, LCA015, LMC015, LPR012, OCE005, OCE012, OCE024, OFI031, PFF021, SDD025, SEN007, SEN019, SGM022, SMA023]"
1, 0.0, 2.4179995, 12.6, "[0.8, 0.1, 0.02, 0.02, 0.04, 0.0, 0.04, 0.2, 0.08, 0.04, 0.02, 0.04, 0.0, 0.0, 0.02, 0.02, 0.1, 0.0, 0.08, 0.9]", "[ACEV003, ACGM058, EAF001, EES008, ERO001, LBI002, LCA015, LMC015, LPR012, OCE012, OCE024, OFI031, PFF021, SDD025, SEN007, SEN019, SGM022, SMA023]"
2, 0.0, 6.8179994, 24.6, "[1.0, 0.14, 0.16, 0.26, 0.08, 0.0, 0.16, 0.36, 0.16, 0.34, 0.28, 0.14, 0.06, 0.0, 0.2, 0.04, 0.24, 0.0, 0.3, 1.0]", "[ACEV003, ACGM058, EAF001, EES008, ERO001, LBI002, LCA015, LMC015, LPR012, OCE012, OCE024, OFI031, OSH001, PFF021, SEN007, SEN019, SGM022, SMA023]"
3, 1.1, 11.399999, 26.099998, "[1.0, 0.16, 0.16, 0.24, 0.16, 0.0, 0.16, 0.44, 0.1, 0.34, 0.3, 0.32, 0.04, 0.0, 0.16, 0.06, 0.28, 0.02, 0.3, 0.98]", "[ACEV003, ACGM058, ACPY002, EAF001, EES008, ERO001, LBI002, LMC015, LPR012, OCE012, OCE024, OFI031, OSH001, PFF021, SEN007, SEN019, SGM022, SMA023]"
4, 3.0, 17.226, 41.7, "[1.0, 0.36, 0.54, 0.52, 0.42, 0.08, 0.34, 0.68, 0.36, 0.58, 0.38, 0.44, 0.22, 0.02, 0.2, 0.08, 0.44, 0.18, 0.5, 1.0]", "[ACEV003, ACGM058, ACPY002, EAF001, EES008, ERO001, LAM027, LBI002, LMC015, LPR012, OCE012, OCE024, OFI031, OSH001, PFF021, SEN007, SEN019, SMA023]"
5, 4.5, 22.806002, 42.799995, "[1.0, 0.42, 0.48, 0.28, 0.46, 0.16, 0.4, 0.7, 0.46, 0.54, 0.46, 0.44, 0.32, 0.0, 0.22, 0.18, 0.54, 0.06, 0.5, 0.94]", "[ACEV003, ACGM058, ACPY002, EAF001, EES008, ERO001, LAM027, LBI002, LMC015, LPR012, OCE012, OCE024, OFI031, OSH001, PFF021, SEN007, SEN019, STR011]"
6, 11.899998, 30.486006, 51.100002, "[1.0, 0.52, 0.52, 0.5, 0.42, 0.26, 0.46, 0.76, 0.5, 0.54, 0.48, 0.72, 0.46, 0.0, 0.44, 0.26, 0.6, 0.08, 0.7, 1.0]", "[ACGM058, ACPY002, EAF001, EES008, ERO001, LAM027, LBI002, LMC015, LPR012, OBI021, OCE012, OFI031, OSH001, PFF021, SEL010, SEN007, SEN019, SMA023]"
7, 15.299999, 37.004005, 52.599995, "[1.0, 0.5, 0.46, 0.46, 0.54, 0.26, 0.52, 0.92, 0.48, 0.7, 0.54, 0.62, 0.38, 0.0, 0.44, 0.3, 0.74, 0.12, 0.54, 1.0]", "[ACGM058, ACPY002, EAF001, EES008, ERO001, LAL005, LAM027, LBI002, LMC015, LPR012, OBI021, OCE012, OCE024, OFI031, OSH001, PFF021, SEN019, SMA023]"
8, 21.799997, 42.408005, 56.799995, "[1.0, 0.6, 0.56, 0.48, 0.54, 0.5, 0.38, 0.84, 0.6, 0.78, 0.7, 0.6, 0.38, 0.0, 0.38, 0.42, 0.7, 0.22, 0.68, 1.0]", "[ACGM058, ACPY002, EAF001, EES008, EJF008, LAM024, LAM027, LBI002, LPR012, OBI021, OCE012, OFI031, OSH001, PFF021, SEL010, SEN007, SEN019, SMA023]"
9, 24.5, 46.376003, 66.0, "[1.0, 0.8, 0.74, 0.7, 0.76, 0.3, 0.62, 0.92, 0.64, 0.88, 0.84, 0.64, 0.44, 0.0, 0.6, 0.42, 0.78, 0.24, 0.88, 1.0]", "[ACGM058, ACPY002, EES008, ERO001, LAM010, LAM027, LDG023, LMC015, LPR012, OBI021, OCE012, OFI031, OSH001, PFF021, PMO022, SEL010, SEN007, SEN019]"
