Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFF001, ACGD008, ACOO001, ACPP002, EAG024, EJP012, EMM006, EWW012, LCR006, LUN002, OCP005, OSH017, PFF015, POM020, SAA017, SFR004, SSS015, STE016]"
1, 0.0, 0.0039999997, 0.19999999, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPP036, EES008, EES020, EJP017, EOW018, EPP029, ESS002, LAL021, LPL006, LTT008, OMA006, OWA025, SCO002, SOD016, SOD022, SPI028, SSS002, SST002]"
2, 0.0, 0.007999999, 0.19999999, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPP036, EES008, EES020, EJP017, EOW018, EPP029, ESS002, LAL021, LPL006, LTT008, OMA006, OMA029, OWA025, SCO002, SOD016, SPI028, SSS002, SST002]"
3, 0.0, 0.06000001, 0.5, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPP036, EES008, EES020, EJP017, EOW018, EPP029, ESS002, LAL021, LPL006, LTT008, OMA006, OMA029, OWA025, SCO002, SOD016, SPI014, SPI028, SSS002]"
4, 0.0, 0.154, 0.79999995, "[0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPP036, EES008, EES020, EJP017, EOW018, EPP029, ESS002, LAL021, LBU044, LDG024, LPL006, LTT008, OMA006, OWA025, SOD016, SPI028, SSS002, SSS010]"
5, 0.0, 0.23199998, 0.79999995, "[0.0, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACNO037, ACPP036, EES008, EES020, EJP017, EOW018, EPP029, ESS002, LAL021, LPL006, LTT008, OMA029, OSH003, OWA025, SMO009, SOD016, SPI028, SSS002]"
6, 0.0, 0.312, 1.3, "[0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACNO037, ACPP036, EES008, EES020, EJP017, EOW018, EPP029, ESS002, LAL021, LCC008, LPL006, LTT008, OMA029, OWA025, SMO009, SOD016, SPI028, SSS002]"
7, 0.0, 0.47400004, 2.0, "[0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0]", "[ACNO037, ACPP036, EES008, EES020, EOW018, EPP029, ESS002, LAL021, LDG008, LPL006, LTT008, OMA029, OSH003, OWA025, SAA006, SMO009, SOD016, SPI028]"
8, 0.0, 0.8039999, 3.0, "[0.0, 0.0, 0.0, 0.02, 0.02, 0.0, 0.02, 0.0, 0.46, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0]", "[ACNO037, ACPP036, ACPY001, EES008, EES020, EOW018, EPP029, ESS002, LDG008, LPL006, LTT008, OMA029, OSH003, OWA025, SAA006, SMO009, SOD016, SPI028]"
9, 0.0, 1.3380002, 3.6000001, "[0.0, 0.0, 0.04, 0.02, 0.0, 0.0, 0.04, 0.02, 0.4, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0, 0.1, 0.04, 0.0, 0.0]", "[ACGM023, ACNO037, ACPP036, EES008, EES020, EOW018, EPP029, ESS002, LAL021, LDG008, LMA054, LPL006, LTT008, OSH003, SAA006, SMO009, SOD016, SPI028]"
10, 0.0, 1.8959997, 5.5999994, "[0.0, 0.0, 0.02, 0.18, 0.02, 0.0, 0.0, 0.0, 0.66, 0.02, 0.0, 0.02, 0.0, 0.0, 0.02, 0.02, 0.1, 0.06, 0.0, 0.0]", "[ACNO037, ACPP036, EES008, EES020, EJP027, EOW018, EPP025, EPP029, ESS002, LAL021, LDG008, LMA054, LPL006, LTT008, OSH003, SMO009, SOD016, SPI028]"
11, 0.0, 2.1920002, 6.6999993, "[0.0, 0.0, 0.06, 0.08, 0.02, 0.0, 0.06, 0.02, 0.72, 0.04, 0.0, 0.12, 0.0, 0.0, 0.04, 0.0, 0.12, 0.06, 0.0, 0.0]", "[ACGM023, ACNO037, ACPP036, EES008, EES020, EOW018, EPP029, ESS002, EWW029, LAL021, LDG008, LMA054, LPL006, LVE032, OSH003, SAA006, SOD016, SPI028]"
12, 0.19999999, 2.5480003, 7.0999994, "[0.0, 0.0, 0.0, 0.12, 0.02, 0.0, 0.06, 0.04, 0.72, 0.06, 0.02, 0.16, 0.06, 0.0, 0.0, 0.0, 0.08, 0.08, 0.0, 0.0]", "[ACNO037, ACPP036, ACTO006, EES008, EJP027, EOW018, EPP025, EPP029, ESS002, LAL021, LDG008, LPL006, LTT008, OSH003, SMA035, SMO009, SOD016, SPI028]"
13, 0.6, 3.9700003, 8.8, "[0.0, 0.0, 0.02, 0.22, 0.1, 0.0, 0.12, 0.02, 0.76, 0.08, 0.04, 0.06, 0.0, 0.0, 0.0, 0.0, 0.32, 0.02, 0.0, 0.0]", "[ACNO037, ACPP036, EES008, EJP027, EMM027, EOW018, EPP025, EPP029, ESS002, LAL021, LDG008, LMA054, LPL006, LTT008, OCP013, OSH003, SOD016, SPI028]"
14, 0.39999998, 5.07, 11.599999, "[0.0, 0.04, 0.1, 0.3, 0.08, 0.0, 0.12, 0.04, 0.8, 0.06, 0.0, 0.08, 0.06, 0.0, 0.08, 0.02, 0.42, 0.12, 0.0, 0.0]", "[ACNO037, ACPP036, EES008, EJP027, EMM027, EOW018, EPP025, EPP029, ESS002, LDG008, LMA054, LPL006, LTT008, OCP013, OSH003, PMO026, SOD016, SPI028]"
15, 1.3, 6.821999, 13.499999, "[0.0, 0.02, 0.14, 0.26, 0.16, 0.0, 0.14, 0.06, 0.9, 0.06, 0.04, 0.1, 0.06, 0.0, 0.08, 0.0, 0.46, 0.2, 0.02, 0.0]", "[ACFE017, ACGD013, ACNO037, ACPP036, ACTO006, EES008, EJP027, EOW018, EPP025, ESS002, LAL021, LDG008, LTT008, LVE035, OSH003, SMA035, SMO009, SOD016]"
