Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 15.4, 63.280003, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM018, EPP006, EPP009, EPP010, EPP014, EPP016, EPP018, EPP019, LTT011, LTT012, LTT026, PHE001, PHE003, PHE004, PHE010, PHE011, PHE017, PHE018]"
1, 56.199997, 86.431984, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM018, EPP006, EPP009, EPP010, EPP014, EPP016, EPP018, LTT011, LTT012, LTT026, PHE001, PHE003, PHE004, PHE010, PHE011, PHE017, PHE018, SOD003]"
2, 67.8, 96.78801, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM018, EPP006, EPP009, EPP010, EPP014, EPP016, EPP018, LPL018, LTT011, LTT012, LTT026, PHE001, PHE004, PHE010, PHE011, PHE017, PHE018, SOD003]"
3, 85.399994, 99.14802, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM018, EAG017, EPP006, EPP009, EPP014, EPP018, EPP019, LRE005, LTT011, LTT012, LTT026, PHE001, PHE004, PHE010, PHE011, PHE017, PHE018, SAA018]"
4, 93.2, 99.59401, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM018, ACIM014, EPP006, EPP009, EPP010, EPP014, EPP016, EPP018, LPL018, LTT011, LTT012, OSH009, PHE004, PHE010, PHE011, PHE017, PHE018, SOD003]"
5, 93.4, 99.57, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM018, EPP006, EPP009, EPP014, EPP016, EPP018, EPP019, LPL013, LTT012, LTT026, MYHI003, PHE001, PHE003, PHE004, PHE010, PHE011, PHE017, SPI004]"
6, 91.0, 99.47202, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACPP031, EPP006, EPP009, EPP010, EPP014, EPP016, EPP018, HEV006, LTT011, LTT026, OMA007, PHE001, PHE003, PHE010, PHE011, PHE017, PHE018, SAS020]"
7, 93.0, 99.56203, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM018, ACHA013, ACMY002, EHH002, EMM034, EPP009, EPP010, EPP014, EPP016, LTT011, PHE001, PHE003, PHE010, PHE017, PHE018, SMA005, SOD003, SSS003]"
8, 95.600006, 99.62803, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM018, ACGM024, ACHA013, ACMY002, EMM034, EPP010, EPP014, EPP016, LHY006, LTT011, LTT026, PHE001, PHE003, PHE010, PHE017, PHE018, SOD003, SSS003]"
9, 93.2, 99.66802, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM018, ACEV015, ACFE001, ACGM019, EPP006, EPP009, EPP010, EPP014, EPP016, EPP018, EPP019, LPL002, LTT012, LTT026, PFF024, PHE011, PHE018, SDD023]"
