Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 8.0, 45.591988, 99.799995, "[1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAZ003, EMM022, EOW010, LMC032, LRE001, LUN029, MYHI001, OCE020, OMA004, OSH001, SBB017, SCO027, SEN009, SMA004, SMA025, SNV020, STR030, SZO007]"
1, 29.000002, 70.11601, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAZ003, ACGM055, EMM022, EOW010, LMC032, LRE001, LUN029, MYHI001, OCE020, OSH001, SBB017, SCO027, SEN009, SMA004, SMA025, SNV020, STR030, SZO007]"
2, 29.000002, 86.76399, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAZ003, ACFE010, EMM022, LMC032, LRE001, MYHI001, OCE020, OMA004, OSH001, SBB017, SCO027, SEN009, SIW010, SMA004, SMA025, SNV020, STR030, SZO007]"
3, 73.4, 97.330025, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAM007, ACAZ003, ACNO037, EMM022, LEV001, LMC032, LRE001, LUN029, OCE020, OMA004, OSH001, SBB017, SCO027, SEN009, SMA004, SMA025, SNV020, STR030]"
4, 87.799995, 99.168015, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAM007, ACAZ003, ACNO037, EMM022, LEV001, LMC032, LRE001, LUN029, OFI028, OMA004, OSH001, SBB017, SCO027, SEN009, SMA004, SMA025, SNV020, STR030]"
5, 86.0, 99.33801, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[EAM002, EMM022, LMC030, LMC032, LRE001, LUN029, MYHI001, OFI039, OMA004, OSH001, SBB017, SCO027, SEN009, SMA004, SMA025, SMA033, STR030, SZO007]"
6, 70.0, 99.55601, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAZ003, ACCU033, ACFE010, EMM022, LMC032, LRE001, OCE020, OMA031, OSH001, PAN022, SBB017, SCO027, SEN009, SIW010, SMA004, SMA025, SNV020, STR030]"
7, 81.6, 99.55201, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAZ003, ACFE010, ACMO002, LCC015, LMC032, LRE001, OMA004, OSH001, PAN022, SBB017, SCO006, SEN009, SIW010, SMA004, SMA025, SNB025, SNV020, SZO007]"
8, 81.8, 99.52801, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAZ003, ACFE010, ACMO002, ACTA008, LBB003, LCC015, LMC032, LRE001, MYHI001, OCE020, OMA004, SBB017, SCO006, SIW010, SMA004, SMA025, SNV020, SZO007]"
9, 77.8, 99.582, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFF004, ACGD009, EMM022, ESS010, FSC001, LMC032, LRE001, LUN029, OCE020, OMA004, OSH001, SBB017, SFO023, SMA004, SMA025, SMA033, SNV005, SZO007]"
