Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 1.8, 59.280006, 92.399994, "[0.98, 1.0, 0.58, 0.92, 1.0, 0.94, 1.0, 1.0, 1.0, 0.82]", "[EES008, EJP021, EMM022, EWW028, FSC003, LMA004, LMA032, LUN021, OCE023, OCP002, SBB012, SEL020, SEN021, SMA025, SNV017, SOD016, STE004, STE019]"
1, 11.599999, 69.046974, 93.0, "[0.94, 0.94, 0.78, 0.9, 1.0, 0.96, 0.98, 1.0, 1.0, 0.8]", "[EES008, EJP021, EMM022, EWW028, FSC003, LMA032, LUN021, OCE023, OCP002, OMA015, SBB012, SEL020, SIW008, SMA025, SNV017, SOD016, STE004, STE019]"
2, 33.199997, 74.429016, 94.399994, "[0.98, 0.98, 0.74, 0.98, 1.0, 0.92, 0.98, 1.0, 1.0, 0.86]", "[EEE011, EES008, EJP021, EMM022, EWW028, FSC003, LCC014, LMA032, LUN021, OCE023, OCP002, OMA015, PFF008, SBB012, SEL020, SMA025, SOD016, STE019]"
3, 37.4, 79.850006, 94.80001, "[1.0, 0.96, 0.82, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8]", "[EES008, EMM022, EWW028, FSC003, LMA004, LMA012, LMA032, LUN021, OCE023, OCP002, OMW009, PCA018, SBB012, SMA025, SNV017, SOD016, STE004, STE019]"
4, 46.8, 82.223015, 98.399994, "[0.98, 1.0, 0.92, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94]", "[ACGM015, EES008, EJP021, EMM022, EMM034, EWW028, FSC003, LMA017, LUN021, OCE023, OCP002, OMA015, SBB012, SIW008, SMA025, SNV017, SOD016, STE019]"
5, 46.8, 85.20402, 98.99999, "[1.0, 1.0, 0.92, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98]", "[ACGM015, EES008, EJP021, EMM022, EMM034, EWW028, FSC003, LMA017, LUN021, OCE023, OCP002, OMA015, SBB012, SIW008, SMA025, SNV017, SOD016, STE019]"
6, 56.6, 88.12704, 98.0, "[1.0, 1.0, 0.88, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.92]", "[ACGM015, EDO017, EES008, EJP021, EMM022, EMM034, EWW028, FSC003, LMA017, LUN021, OCP002, OMA015, SBB012, SIW008, SMA025, SNV017, SOD016, STE019]"
7, 57.0, 88.11698, 98.200005, "[1.0, 0.96, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96]", "[ACGM015, EES008, EJP021, EMM022, EMM034, ERO015, EWW015, EWW028, FSC003, LUN021, OCE023, OCP002, OMA015, SBB012, SMA025, SNV017, SOD016, STE019]"
8, 46.399998, 88.67699, 98.59999, "[1.0, 0.98, 0.98, 1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 0.94]", "[ACAL016, EES008, EJP021, EMM022, EMM034, EWW028, LMA017, LUN021, OCE003, OCE023, OCP002, ODE024, OMA015, SBB012, SIW008, SMA025, SOD016, STE019]"
9, 58.399998, 90.87701, 98.8, "[0.98, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.92]", "[ACAL016, EES008, EJP021, EMM022, EMM034, EWW028, LMA017, LUN020, OBI006, OCE023, OCP002, ODE024, OMA015, SBB012, SIW008, SMA025, SOD016, STE019]"
