Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 13.399999, 40.156002, 73.8, "[0.76, 0.4, 0.46, 0.92, 0.9, 0.72, 0.72, 0.8, 0.98, 0.72]", "[ACAL001, ACEM018, ECF018, EES008, EJP027, EMM025, LBI046, LMA021, LPR012, OCE009, OCP002, OCP028, PFF012, SBB012, SMA025, SMW008, SOD016, STE019]"
1, 21.399998, 44.662994, 72.40001, "[0.62, 0.34, 0.46, 0.9, 0.9, 0.7, 0.76, 0.82, 0.98, 0.76]", "[ACEM024, ACOO009, ECF018, EES008, EES010, EHH008, EHH014, EJP027, LPR012, OCP002, PFF012, SBB005, SBB012, SEL020, SMA025, SOD016, SRR002, STE019]"
2, 17.4, 48.311012, 85.399994, "[0.68, 0.68, 0.86, 0.94, 0.94, 0.88, 0.78, 0.92, 1.0, 0.86]", "[ACAL006, ACEM024, ACOO009, ECF018, EES008, EES010, EHH008, EHH014, EJP027, LPR012, OCP002, PFF012, SBB005, SBB012, SEL020, SMA025, SOD016, STE019]"
3, 21.399998, 54.284008, 90.8, "[0.86, 0.8, 0.86, 0.96, 0.98, 0.96, 0.8, 1.0, 1.0, 0.86]", "[ACAL006, ACEM024, ACOO009, ECF018, EES008, EHH008, EHH014, EJP027, LDG004, LPR012, OCP002, PFF012, SBB005, SBB012, SEL020, SMA025, SOD016, STE019]"
4, 27.199999, 60.067005, 91.4, "[0.74, 0.74, 0.9, 0.98, 1.0, 1.0, 0.86, 0.98, 1.0, 0.94]", "[ACAL006, ACEM024, ACOO009, ECF018, EES008, EHH008, EHH014, EJP027, LDG004, LPR012, OCP002, PFF012, SBB005, SBB012, SEL020, SMA025, SOD016, STE019]"
5, 28.2, 66.721985, 92.59999, "[0.88, 0.82, 0.86, 1.0, 0.96, 0.98, 0.86, 0.96, 1.0, 0.94]", "[ACAL006, ACOO009, ECF018, EEG014, EES008, EHH008, EHH014, EJP027, LDG004, LPR012, OCP002, PFF012, SBB005, SBB012, SEL020, SMA025, SOD016, STE019]"
6, 31.0, 72.37202, 96.0, "[0.94, 0.82, 0.96, 1.0, 1.0, 0.98, 0.96, 0.98, 1.0, 0.96]", "[ACAL006, ACOO009, ECF018, EES008, EHH008, EHH014, EJP027, LDG004, LPR012, OCP002, OFF010, PFF012, SBB005, SBB012, SEL020, SMA025, SOD016, STE019]"
7, 32.600002, 75.69099, 95.8, "[0.82, 0.88, 0.98, 1.0, 1.0, 1.0, 0.94, 0.96, 1.0, 1.0]", "[ACAL006, ECF018, EES008, EHH008, EHH014, EJP027, LAL003, LDG004, LPR012, LTT005, OCP002, OMA013, PFF012, SBB012, SEL020, SMA025, SOD016, STE019]"
8, 39.799995, 79.51904, 97.399994, "[0.92, 0.94, 0.92, 1.0, 1.0, 1.0, 0.96, 1.0, 1.0, 1.0]", "[ACAL006, ACCU009, ACOO009, ECF018, EES008, EHH008, EWW024, LUN018, OCP002, PFF012, PMO021, SBB005, SBB012, SEL020, SMA025, SOD016, STE019, SWA012]"
9, 51.199997, 83.28204, 98.600006, "[0.98, 0.94, 0.98, 1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 0.98]", "[ACAL003, ACAL006, ACCU009, ACOO009, ECF018, EES008, EHH008, LMA004, LUN018, OCP002, PFF012, SBB005, SBB012, SEL020, SMA025, SSS005, SST029, STE019]"
10, 39.399998, 82.88396, 99.40001, "[0.98, 0.98, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 1.0]", "[ACAL006, ECF018, EES008, EHH008, EHH014, EJP027, LDG004, LPR012, OCP002, OFF010, PFF016, POM016, SBB012, SEL001, SEL020, SMA025, SOD016, STE019]"
11, 39.2, 85.163994, 99.6, "[0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ECF018, EES008, EHH008, EHH014, EJP027, ERO005, LDG004, LPR012, OCP002, OFF010, PFF016, POM016, SBB012, SEL001, SEL020, SMA025, SOD016, STE019]"
12, 51.8, 88.70498, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL006, ACOO008, ECF018, EES008, EHH008, EJP027, LDG004, OCP002, OFF010, POM002, POM016, SBB012, SEL001, SEL020, SMA025, SOD016, STE019, SWA012]"
13, 60.2, 91.30203, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACOO008, ECF018, EES008, EHH008, EJP027, LDG004, OCP002, OFF010, ORR006, POM002, POM016, SBB012, SEL001, SEL020, SMA025, SOD016, STE019, SWA012]"
14, 61.0, 93.69406, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL006, ACOO008, ECF018, EES008, EHH008, ESY002, LDG004, MYPA003, OCP002, OFF010, PAN025, SBB012, SEL001, SEL020, SMA025, SOD016, SST038, STE019]"
15, 68.399994, 94.527016, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL006, ACOO008, ACPP033, ECF018, EES008, EHH008, EWW025, LDG004, OCP002, PAN025, POM016, SBB012, SEL020, SMA025, SOD016, SST038, STE019, SWA012]"
16, 61.0, 95.17101, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[EES008, EHH008, EHH014, EJP027, LCA020, LDG004, LPR012, OCE005, OCP002, PFF016, SBB012, SEL001, SEL019, SEL020, SMA025, SOD005, SOD016, STE019]"
17, 58.799995, 95.54502, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL006, ACOO008, EAG006, EES008, EHH008, LDG004, LPR012, OCP002, OFF010, POM016, SBB012, SEL001, SEL020, SEL022, SMA025, SOD016, STE019, STR005]"
18, 70.8, 95.996025, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[EES008, EHH008, EHH014, EJP027, LCA020, LDG004, LMA020, OCE005, OCP002, PFF016, SBB012, SEL001, SEL019, SEL020, SMA025, SOD005, SOD016, STE019]"
19, 77.4, 96.050026, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ECF008, EES008, EHH014, EPP010, ERO012, LCA010, LDG004, LPR012, OCP002, OFF010, PFF016, SBB012, SEL001, SEL020, SMA025, SNV017, SOD016, STE019]"
20, 70.6, 95.07698, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ECF008, EHH014, ERO012, LCA010, LDG004, LPR012, OCP002, OCP022, OFF010, OMW015, PFF016, SBB012, SEL001, SEL020, SMA025, SNV017, SOD016, STE019]"
21, 74.799995, 95.19298, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ECF008, EES008, EHH014, LCA010, LDG004, LPR012, OCP002, OCP022, OFF010, PFF016, SBB012, SEL001, SEL020, SIW001, SMA025, SNV017, SOD016, STE019]"
22, 69.99999, 95.76199, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEV005, EES008, EHH014, EPP023, LCA010, LDG004, LPR012, OCP002, OFF010, PFF016, SBB012, SEL001, SEL020, SMA025, SNV017, SOD016, SPI001, STE019]"
