Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE005, ACGM013, ACMU003, ACPH010, ACPP026, EHH009, EJP025, LCC013, LMC008, ODE012, PAN006, PMO009, SAA013, SCO016, SEL001, SMA014, SWA006, SWA026]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL035, EDO011, EHC007, EJP005, ERO017, EWW014, LBB006, LVE014, ODE008, OFI039, ORR004, ORR006, PHE022, SCC003, SCO025, SCO027, SMA029, SNV030]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM019, ACMU009, EMM023, EOW002, EPP014, ERO004, ERO010, ERO016, LMC013, LUN007, PHE010, PIC012, SGD001, SGM032, SIW008, SMA017, SNV012, SNV020]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU023, ACNO040, EEG004, EJP017, EMM024, ESY002, LAM010, LBI037, LMC005, OFF004, OSH001, PCA002, PFF017, SAS012, SDD016, SMO006, SNV006, SST008]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL002, ACIM001, EJF006, EJP014, ERO017, LBI001, LCA004, LCC017, LMA009, LMA053, LPR004, LVE025, ORR019, SBB001, SEL017, SNV004, SNV041, SSC002]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL015, ACEV003, ACGM009, ACMU001, ACNO032, ACNO039, EES011, EHH004, EPP019, EWO004, LBB031, LTT012, OCP008, OCP010, OMA025, PHE031, SBB016, SSS001]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAZ006, ACCU033, ACGM037, ACNO005, ACWS020, EDO014, EMM013, EWO017, FPA007, LMA007, LRE017, OFI021, OSH013, OSH020, SMA029, SPI028, SSC002, SWA004]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACHA007, ACWS008, ERO035, LBI005, LBI037, LCA011, LDG010, LRE001, LVE033, OCP013, ODE028, POM021, SFN025, SME018, SMO018, SOD009, SRR002, SZO006]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACMO002, EDO004, EEE021, LBB011, LBB025, LBU003, LMC029, LVE033, LVE035, OBI005, OCE006, OWA006, PFF012, POM011, SFN002, SMO003, SNV021, SSS003]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACHA007, ACMO002, EDO004, EEE021, LBB011, LBB025, LBU003, LMC029, LVE033, LVE035, OBI005, OCE006, OWA006, PFF012, POM011, SFN002, SMO003, SSS003]"
10, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU025, ACEV015, ACMY002, ACNO032, EBT005, FPA002, LDG007, LTT026, LVE033, OFI033, ORR016, SCO002, SMW011, SNB001, SNV036, SOD019, STE010, STR030]"
11, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACSP023, EEG008, EJP016, EOW010, ERO035, LAM005, LCA011, LDG010, LRE001, LRE014, LRE025, OCP013, POM021, SAA009, SGD006, SME018, SRR014, SRR016]"
12, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEM018, EAM002, EES020, EOW010, HEV001, LAM005, LBI005, LBI037, LDG010, LRE001, LUN036, OCP013, ODE005, PHE031, POM005, POM021, SMO018, SOD009]"
13, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU025, ACPP016, EAG008, EAG022, FPA002, LBB024, LTT026, LVE033, MYHI002, OFI033, SCO002, SME010, SMW011, SNV036, SOD019, STE010, STR030, SWA028]"
14, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU025, ACEV015, ACMY002, ACNO032, EBT005, FPA002, LTT026, LVE033, OFI033, ORR016, SCO002, SMW011, SNV036, SOD011, SOD019, SPP003, STE010, STR030]"
