Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL035, ACGM037, ACNO032, ACPP032, EDO001, EES021, LAL012, LCA004, LPL018, LPL027, LPL035, LUN029, PIC005, SAA020, SGD018, SMO023, SSS010, SZO003]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEM031, EAF004, ECF017, EWW032, LAM009, LAM022, LBI002, LBU008, LPL005, LPR020, ORE012, PAN019, PIC004, SCO011, SDD021, SEL001, SFO014, SST024]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM023, ACGM044, ACSP009, ACSP023, EDO001, EJP012, LAL027, LCC014, LDG017, LPL035, LPR026, ODE018, OFF009, PHE008, SIW001, SMA002, SMA029, STR023]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU006, ACEM018, ACOO005, ACOO014, ACSP008, EBT004, EEE007, EJP005, LBB006, LPR026, OMA011, OSH006, PAN021, PHE006, SFO015, SME021, SOD014, STE026]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL015, ACAZ002, ACCU025, ACGD005, ACPP020, EHH010, EJP011, LBU010, LHY001, LMA018, OSH007, SAA002, SFN025, SMA020, SMO011, SMT008, SOD014, STE009]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACOO017, EJP017, EMM023, EOW009, EOW018, EOW024, EPP028, ERO003, EWW035, LBI013, LCA010, ORE020, OSH007, PAN014, SDD006, SNV024, SSC007, SWA007]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE010, EWW001, LMA023, OCP008, OMA006, OMA009, OMA012, OMA014, OSH018, SBB015, SCO004, SFO006, SFO017, SIW008, SRR004, SSS005, SST001, SWA001]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL002, ECF008, ERO014, LAM023, LDG008, LRE019, MYSP001, ORF002, OSH022, PAN012, PAN016, SBB011, SGM021, SMA020, SNB025, SPI004, SSS018, SST006]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEV020, ACFE019, ACGD003, ACGD005, ACGD008, ACTO001, EAG004, ERO020, ERO042, ESY009, LCA009, LVE025, OBI014, SME019, SMO023, SMO028, SSS012, SST010]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL034, ACCU034, ACEM002, ACFE014, ACPP019, EEE007, EES008, ESS008, OCP013, PMO010, SEL005, SEV003, SMO002, SNV027, SOD009, SOD019, SSS011, SWA004]"
10, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL031, ACFE009, ACMU006, ACNO041, ACTA005, EJP018, EOW014, EWO008, LCA006, LPR008, OEV007, ORR006, PAN019, PCA020, POM008, SNB006, SNV001, SSS030]"
11, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE009, ACGM047, ACTO001, EJP017, EWW036, LAL026, LDG007, LDG024, OBI010, OMA029, OMW003, PAN017, SAA006, SMA036, SME005, SMO004, SNV041, SST037]"
12, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACNO042, ACPP035, ESY009, FPA001, LBU033, LMA015, LPL015, LRE025, OFI030, ORF002, OWA014, PFF015, PHE027, SCO023, SGD001, SMA033, SOD020, SWA021]"
13, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[EEE002, EHC007, EJF003, ERO027, LMC008, LVE018, OCP014, OCP022, PFF002, PFF004, SAS010, SFN010, SFN020, SMA012, SPI005, SRR003, SSC006, STE026]"
14, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAM001, ACAM002, ACCU034, EPP006, LBB026, LBU020, LCA015, LCA032, OCP010, OFI021, OMW010, PIC011, SAS025, SGD003, SIW007, SMO011, SMO023, SNB015]"
15, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL034, ACGM047, ACOO018, ECF017, EES016, LAL030, LCA016, LTT009, LVE004, OFI031, PMO017, PMO028, POM007, POM021, SEL014, SFN013, SMO004, SZO005]"
16, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE011, ACIM002, ACTA005, ECF017, EEG008, EEG026, EES016, LAL012, LBI030, LPL005, ODE012, OEV007, OSH013, PAN010, POM009, SDD014, STE020, SWA003]"
17, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAZ005, EEG006, EMM024, EWW040, LAL010, LAM022, LAM026, LBI034, LMC002, LUN016, ODE023, OEV003, OMA032, PHE015, PHE029, PMO004, SIW002, SZO004]"
