Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 10.2666645, 55.40268, 85.333336, "[1.0, 1.0, 0.92, 1.0, 1.0, 0.94, 1.0, 0.98, 0.64, 0.86, 0.92, 0.7, 0.7, 0.72, 0.42]", "[EEE020, EES008, EJP027, ELT008, EMM022, EWW036, LAL020, LCC017, LDG008, LPL032, LVE032, OCE009, OCP002, PFF012, SMA025, SMA036, SOD016, STE019]"
1, 24.933332, 60.276, 86.66667, "[1.0, 1.0, 0.9, 1.0, 1.0, 0.94, 1.0, 0.86, 0.74, 0.94, 0.86, 0.76, 0.68, 0.68, 0.64]", "[ACNO028, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LDG008, LVE032, OBI006, OCE009, OCP002, PFF012, SCO009, SMA025, SMA036, SOD016, STE019]"
2, 20.799997, 65.31598, 87.73334, "[1.0, 1.0, 0.96, 1.0, 1.0, 0.9, 1.0, 0.88, 0.84, 0.9, 0.96, 0.68, 0.7, 0.88, 0.46]", "[ACAL003, EES008, EJP027, ELT008, EWW036, FLL002, LAL020, LCC017, LDG008, LPL032, LVE032, OCP002, OCP013, PFF012, SMA025, SMA036, SOD016, STE019]"
3, 25.733334, 68.76667, 89.86667, "[1.0, 0.98, 0.98, 1.0, 0.98, 0.96, 1.0, 0.98, 0.64, 0.98, 0.9, 0.72, 0.8, 0.88, 0.68]", "[ACAL003, EES008, EJP027, ELT008, EWW036, FLL002, LAL020, LCC017, LDG008, LPL032, LVE032, OCP002, OCP013, PFF012, SMA025, SMA036, SOD016, STE019]"
4, 33.06666, 70.797325, 94.13334, "[1.0, 1.0, 0.98, 1.0, 1.0, 0.98, 1.0, 0.98, 0.86, 0.98, 0.98, 0.8, 0.84, 0.94, 0.78]", "[ACGD002, ACNO028, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LDG008, LVE032, OCE009, OCP002, PFF012, SCO009, SMA025, SMA036, SOD016, STE019]"
5, 27.199995, 69.09866, 95.46665, "[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 0.98, 0.94, 1.0, 0.98, 0.72, 0.92, 0.94, 0.86]", "[ACGD002, ACNO028, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LDG008, LVE032, OCE009, OCP002, PFF012, SCO009, SMA025, SMA036, SOD016, STE019]"
6, 29.866663, 72.73334, 96.0, "[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96, 1.0, 0.98, 0.9, 0.84, 0.98, 0.76]", "[ACGD002, ACNO028, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LDG008, LVE032, OCE009, OCP002, PFF012, SCO009, SMA025, SMA036, SOD016, STE019]"
7, 26.933332, 71.39731, 96.399994, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94, 1.0, 1.0, 0.92, 0.9, 0.94, 0.76]", "[ACGD002, ACNO028, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LDG008, LVE032, OCE009, OCP002, PFF012, SCO009, SMA025, SMA036, SOD016, STE019]"
8, 25.999996, 73.72667, 95.066666, "[1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 0.98, 0.92, 0.96, 1.0, 0.86, 0.84, 0.96, 0.76]", "[ACGD002, ACNO028, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LDG008, LVE032, OCE009, OCP002, PFF012, SCO009, SMA025, SMA036, SOD016, STE019]"
9, 38.8, 76.58001, 95.19999, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94, 0.94, 1.0, 0.94, 0.84, 0.94, 0.94, 0.74]", "[ACGD002, ACNO028, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LDG008, LVE032, OCE009, OCP002, PFF012, SCO009, SMA025, SMA036, SOD016, STE019]"
10, 31.33333, 74.23334, 94.4, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.74, 1.0, 1.0, 0.88, 0.9, 0.92, 0.72]", "[ACGD002, ACNO028, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LDG008, LVE032, OCE009, OCP002, PFF012, SMA025, SMA036, SOD016, SSS031, STE019]"
11, 44.0, 77.22799, 96.26666, "[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94, 0.98, 0.9, 0.96, 0.92, 0.98, 0.78]", "[ACGD002, ACNO028, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LDG008, LVE032, OCE009, OCP002, OCP013, PFF012, SCO009, SMA025, SOD016, STE019]"
12, 29.466665, 77.388, 95.99999, "[1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 0.92, 0.94, 0.96, 0.8, 0.96, 0.98, 0.86]", "[ACGD002, ACNO028, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LDG008, LVE032, OCE009, OCP002, OCP013, PFF012, SCO009, SMA025, SOD016, STE019]"
13, 27.599998, 78.55599, 96.666664, "[1.0, 1.0, 0.98, 1.0, 1.0, 0.96, 1.0, 1.0, 0.96, 0.96, 1.0, 0.9, 0.92, 0.98, 0.84]", "[ACGD002, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LAM020, LDG008, LVE032, OCE009, OCP002, OCP013, PFF012, SCO009, SMA025, SOD016, STE019]"
14, 45.86667, 78.97865, 96.666664, "[1.0, 1.0, 0.96, 1.0, 1.0, 0.98, 1.0, 1.0, 0.92, 1.0, 0.96, 0.92, 0.94, 0.98, 0.84]", "[ACGD002, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LAM020, LDG008, LVE032, OCE009, OCP002, OCP013, PFF012, SCO009, SMA025, SOD016, STE019]"
15, 34.8, 79.658676, 96.79999, "[1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 0.86, 0.98, 1.0, 0.94, 0.92, 0.94, 0.92]", "[ACGD002, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LAM020, LDG008, LVE032, OCE009, OCP002, OCP013, PFF012, SCO009, SMA025, SOD016, STE019]"
16, 35.06666, 80.73601, 97.86667, "[1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 0.98, 1.0, 0.98, 0.96, 0.92, 0.94, 0.92]", "[ACGD002, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LAM020, LDG008, LVE032, OCE009, OCP002, OCP013, PCA013, PFF012, SMA025, SOD016, STE019]"
17, 43.333332, 81.52402, 97.066666, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96, 1.0, 1.0, 0.88, 0.9, 0.98, 0.84]", "[ACGD002, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LAM020, LDG008, LVE032, OCE009, OCP002, OCP013, PCA013, PFF012, SMA025, SOD016, STE019]"
18, 36.399998, 81.1, 97.06667, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96, 1.0, 1.0, 0.88, 0.88, 0.98, 0.86]", "[ACGD002, EES008, ELT008, EMM022, EWW036, LAL020, LAM004, LAM020, LDG008, LVE032, OCE009, OCP002, OCP013, PCA013, PFF012, SMA025, SOD016, STE019]"
