Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACOO012, ACPP025, EEE008, ELT011, LAL009, LEV002, LVE017, ODE008, ORE001, OWA012, PAN022, PIC016, POM011, POM023, SCO001, SEL017, SMA007, STR017]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEV007, ACGM004, ACNO022, ACTA001, EEG021, EHH016, EMM022, EPP020, LUN007, OMA002, ORR006, PAN016, PFF001, PMO023, SAS020, SFR009, SNV042, SPI004]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACIM014, ACPY002, EEG009, EES010, EMM006, ERO011, FSC001, LAM014, LPR022, LTT020, OMW018, ORF004, PAN019, PLB004, POM008, SAS015, SFO007, SFO008]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL036, ACCU033, ACFE014, ACPP013, ACWS008, EEG010, EHC005, ESS019, EWO001, LCC017, OMA001, PIC016, SBB009, SBB014, SBB018, SEV005, SMA021, SPL009]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACOO012, ACPP025, EAG001, EEE008, ELT011, LAL009, LBI025, LBU005, LVE017, ODE008, PAN022, PIC016, POM011, POM023, SCO001, SEL017, SMA007, STR017]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAZ008, ACGM037, EEG015, EHC004, LAM011, LBI009, LCC016, ODE016, OMA019, OMA022, PHE001, SAS011, SEL014, SME001, SME004, SMW003, STE011, STE020]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM037, EEE021, LAM027, LCR002, LMA032, LRE029, LVE004, OBI016, ODE010, OMA025, ORE004, PCA003, PCA020, SAS003, SFN009, SFN019, SOD027, SWA017]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEM027, ACGM037, EEE021, LAM027, LRE029, LVE004, ODE010, OMA025, SAS003, SDD030, SFN009, SFO013, SMO002, SOD027, SPI028, SPP001, SST007, SZO004]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU012, ACFE014, EWW020, LAL007, LBU025, LMA038, LMA048, LTT022, OMA030, PCA012, PHE006, POM023, SAS003, SEL002, SEL004, SFO011, SGD003, SME007]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAZ008, ACGM037, EEG015, EHC004, ERO020, LBI009, LCC016, LTT026, ODE016, OMA019, OMA022, SAS011, SEL014, SME001, SME004, SNV003, STE011, STE020]"
10, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU014, ACCU018, ACCU023, ACEV006, ACOO010, ACPH014, LBI009, LBI025, LMA033, LUN029, LVE014, SAS003, SAS025, SFO003, SGM029, STE006, STE009, STE010]"
11, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL004, ACAZ002, ACCU004, ACNO013, LBU007, LCA015, LUN013, LVE005, OFI001, ORR006, PIC004, SFO013, SFO026, SMA012, SME011, SOD032, SSS013, SST001]"
