Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 21.599998, 61.627995, 82.8, "[1.0, 0.92, 1.0, 0.98, 1.0, 0.98, 0.88, 0.98, 0.94, 0.88, 0.18, 0.42, 0.86, 0.74, 0.66]", "[EMM022, EMM034, FPA001, LDG008, LPR020, LVE032, OSH001, PCA022, PFF012, PHE011, SAA001, SEL020, SMA005, SMA025, SNV009, SOD016, SST029, STE019]"
1, 24.133331, 64.473335, 83.46666, "[1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 0.8, 0.98, 0.98, 0.88, 0.22, 0.44, 0.84, 0.7, 0.7]", "[EMM022, EMM034, FPA001, LDG008, LUN027, LVE032, OCE009, OSH001, PCA022, PHE011, SEL020, SMA005, SMA025, SNV009, SOD016, SST029, STE019, STE026]"
2, 18.666666, 64.04934, 82.4, "[1.0, 0.98, 1.0, 0.98, 1.0, 1.0, 0.86, 1.0, 1.0, 0.92, 0.24, 0.32, 0.8, 0.62, 0.64]", "[EMM022, EMM034, LDG008, LUN027, LVE032, OCE009, OSH001, OSH023, PCA022, PHE011, SEL020, SMA005, SMA025, SNV009, SOD016, SST029, STE019, STE026]"
3, 24.133331, 66.90666, 86.13335, "[1.0, 0.96, 1.0, 0.96, 1.0, 1.0, 0.86, 0.96, 0.98, 0.94, 0.24, 0.56, 0.98, 0.68, 0.8]", "[EMM022, EMM034, FPA001, LDG008, LVE032, ORF003, OSH001, PCA022, PFF012, PHE011, PHE031, SCC003, SEL011, SMA025, SNV009, SOD016, STE019, SWA015]"
4, 23.600002, 69.060005, 86.13332, "[1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 0.86, 1.0, 1.0, 0.94, 0.2, 0.44, 0.9, 0.76, 0.84]", "[EMM022, EMM034, FPA001, LDG008, LVE032, ORF003, OSH001, PCA022, PFF012, PHE011, PHE031, SCC003, SEL011, SEV002, SMA025, SNV009, SOD016, STE019]"
5, 30.4, 71.29866, 87.59998, "[1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 0.9, 0.96, 0.98, 1.0, 0.28, 0.54, 0.9, 0.78, 0.82]", "[EMM022, EMM034, FPA001, LDG008, LVE032, ORF003, OSH001, PCA022, PFF012, PHE011, PHE031, SCC003, SEL011, SIW010, SMA025, SNV009, SOD016, STE019]"
6, 28.0, 71.31733, 87.19999, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96, 1.0, 1.0, 0.94, 0.32, 0.5, 0.88, 0.78, 0.7]", "[EEG004, EMM022, EMM034, FPA001, LDG008, LVE032, ORF003, OSH001, PCA022, PFF012, PHE011, PHE031, SEL011, SIW010, SMA025, SNV009, SOD016, STE019]"
7, 31.066666, 70.68, 87.99999, "[1.0, 0.98, 1.0, 1.0, 1.0, 0.96, 0.94, 1.0, 1.0, 0.94, 0.4, 0.5, 0.92, 0.78, 0.78]", "[EEG004, EMM022, EMM034, FPA001, LDG008, LVE032, ORF003, OSH001, PCA022, PFF012, PHE011, PHE031, SEL011, SIW010, SMA025, SNV009, SOD016, STE019]"
8, 32.133327, 69.948006, 86.799995, "[1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 0.92, 1.0, 0.98, 0.92, 0.28, 0.5, 0.88, 0.78, 0.78]", "[EEG004, EMM022, EMM034, FPA001, LDG008, LVE032, ORF003, OSH001, PCA022, PFF012, PHE011, PHE031, SEL011, SIW010, SMA025, SNV009, SOD016, STE019]"
9, 34.266666, 70.734665, 86.533325, "[1.0, 0.98, 1.0, 0.98, 1.0, 1.0, 0.9, 0.98, 0.98, 0.96, 0.28, 0.48, 0.9, 0.74, 0.8]", "[EEG004, EMM022, EMM034, FPA001, LBU030, LDG008, LVE032, ORF003, OSH001, PCA022, PFF012, PHE011, SEL011, SIW010, SMA025, SNV009, SOD016, STE019]"
10, 24.799997, 71.26935, 88.93332, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96, 0.98, 0.96, 0.94, 0.34, 0.58, 0.94, 0.82, 0.82]", "[EMM022, EMM034, LAM026, LDG008, LVE032, OCE009, ORF003, OSH001, PAN024, PFF012, PHE011, PHE031, SCC003, SEL011, SIW010, SMA025, SOD016, STE019]"
11, 25.866667, 71.208015, 89.46667, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 0.98, 0.92, 0.5, 0.46, 0.88, 0.82, 0.88]", "[EMM022, EMM034, LAM026, LDG008, LVE032, OCE009, ORF003, OSH001, PAN024, PFF012, PHE011, PHE031, SCC003, SEL011, SIW010, SMA025, SOD016, STE019]"
12, 33.6, 72.42799, 90.53333, "[1.0, 0.96, 1.0, 0.98, 1.0, 1.0, 0.94, 1.0, 1.0, 0.98, 0.48, 0.7, 0.96, 0.82, 0.76]", "[ACGM057, EMM022, EMM034, FPA001, LDG008, LPR012, LVE032, ORF003, OSH001, PFF012, PHE011, POM001, SFO025, SMA025, SNV009, SOD016, SSS030, STE019]"
13, 37.066666, 73.75198, 90.4, "[1.0, 0.96, 1.0, 1.0, 1.0, 1.0, 0.96, 0.96, 1.0, 0.96, 0.46, 0.66, 0.92, 0.8, 0.88]", "[EJF008, EMM022, EMM034, FPA001, LDG008, LVE032, OCE009, ORF003, OSH001, PFF012, PHE011, PHE031, SAS001, SGM007, SMA025, SNV009, SOD016, STE019]"
14, 26.266665, 73.70003, 90.26667, "[1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 0.92, 1.0, 0.98, 0.96, 0.44, 0.6, 1.0, 0.84, 0.82]", "[EMM022, EMM034, LAM026, LDG008, LPR028, LVE032, OCE009, ORF003, OSH001, OSH003, PAN024, PFF012, PHE011, SEL011, SIW010, SMA025, SOD016, STE019]"
15, 33.333336, 74.58534, 89.06666, "[1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 0.96, 1.0, 0.98, 0.98, 0.34, 0.58, 0.94, 0.78, 0.82]", "[EEG011, EJF008, EMM022, EMM034, FPA001, LDG008, LVE032, OCE009, ORF003, OSH001, PFF012, PHE011, PHE031, SGM007, SMA025, SNV009, SOD016, STE019]"
16, 29.599997, 74.52398, 89.86666, "[1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 0.94, 1.0, 0.96, 0.98, 0.34, 0.7, 0.86, 0.9, 0.82]", "[EEG011, EJF008, EMM022, EMM034, FPA001, LDG008, LVE032, OCE009, ORF003, OSH001, PFF012, PHE011, PHE031, SGM007, SMA025, SNV009, SOD016, STE019]"
17, 38.399998, 76.03733, 88.53333, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 0.98, 0.96, 0.46, 0.4, 0.88, 0.8, 0.82]", "[EEG011, EJF008, EMM022, EMM034, FPA001, LDG008, LVE032, OCE009, ORF003, OSH001, PFF012, PHE011, PHE031, SGM007, SMA025, SNV009, SOD016, STE019]"
18, 41.333332, 75.17734, 92.13333, "[1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 0.88, 1.0, 0.98, 1.0, 0.48, 0.68, 0.94, 0.9, 0.98]", "[EMM022, EMM034, FPA001, LDG008, LPL018, LPR012, LVE023, LVE032, OSH001, PFF012, PHE011, POM001, SFO025, SMA025, SNV009, SOD016, SSS030, STE019]"
