FPA001,LDG008,LPR020,LVE032,OSH001,PAN024,PCA022,PFF012,PHE011,SAA001,SEL020,SMA004,SMA005,SMA025,SNV009,SOD016,SSS015,STE019
EMM019,EMM022,EMM034,FPA001,LDG008,LPR020,OSH001,OWA024,PCA022,PFF012,PHE011,SCO004,SEL020,SMA005,SMA025,SNV009,SOD016,SST029
EMM022,EMM034,ERO008,LDG008,LPR020,LVE032,OMW015,OSH001,PFF012,PHE011,SAA001,SEL020,SFO014,SMA025,SNV009,SOD016,SST029,STE019
EMM034,FPA001,LDG008,LPR020,LVE032,OSH001,OSH021,PFF012,PHE011,SEL020,SGD016,SMA005,SMA025,SNV009,SNV016,SOD016,SST029,STE019
ACOO017,EMM022,EMM034,FPA001,LDG008,LPR020,LVE032,OCE018,OSH001,PCA022,PFF012,PHE011,SAA001,SEL020,SMA005,SMA025,SNV009,STE019
EMM022,EMM034,FPA001,LDG008,LMA060,LPR020,LRE027,LVE032,OBI010,OWA016,PCA022,PHE011,PMO013,SEL020,SMA025,SOD016,SST029,STE019
ACPP026,EMM022,EMM034,FPA001,LPR020,LVE032,OSH001,PCA022,PFF012,PHE011,SAA001,SEL020,SMA005,SNV009,SOD016,SSC004,SST029,STE019
EMM022,EMM034,LDG008,LPR020,LVE032,OSH001,PCA022,PFF012,PHE011,PIC005,SAA001,SEL020,SMA005,SMA025,SNV009,SOD016,SST029,STE019
EMM034,FPA001,LDG008,LPR020,LRE021,LVE032,OSH001,OSH021,PCA022,PFF012,PHE011,SCO004,SEL020,SGD011,SMA025,SNV009,SOD016,STE019
EJP021,EMM022,EMM034,FHI006,FPA001,LTT001,LVE032,OSH001,PCA022,PFF012,SAA001,SEL020,SMA005,SMA025,SNV009,SOD016,SST029,STE019
EMM022,EMM034,FPA001,LDG008,LTT001,LVE032,OSH001,PCA022,PFF012,SAA001,SEL020,SMA004,SMA005,SMA025,SNV009,SOD016,SST029,STE019
EMM022,EMM034,FPA001,LDG008,LPR020,LVE032,ORF003,OSH001,PCA022,PFF012,PHE011,SMA005,SMA025,SNV009,SOD016,SST029,STE019,SWA015
EMM034,FPA001,LDG008,LPR020,OSH001,OSH021,PCA022,PFF012,PHE011,SAA008,SEL020,SMA005,SMA025,SNV009,SNV016,SOD016,SST029,STE019
EMM022,EMM034,FPA001,LDG008,LPR020,LRE027,LVE032,PCA022,PHE011,PMO013,SEL020,SFO008,SGD003,SMA025,SMO006,SOD016,SST029,STE019
ACMU009,EMM022,EMM034,LBU005,LDG008,LPR020,LVE032,OFI001,OSH001,PCA022,PFF012,PHE011,SAA012,SEL020,SMA025,SNV009,SOD016,STE019
EMM019,EMM022,EMM034,FPA001,LPR020,OFF016,OSH001,PCA022,PFF012,PHE011,SCO004,SEL020,SMA005,SMA025,SNV009,SOD016,SST029,STE019
ACEV015,EAG004,EES009,EMM022,EMM034,FPA001,LDG008,LPR020,LUN012,OSH001,PFF012,PHE011,PMO013,SEL020,SMA025,SOD016,SST029,STE019
ACOO006,EMM034,FPA001,LDG008,LPR020,OSH001,OSH021,PCA022,PFF012,PHE011,SCO004,SEL020,SMA005,SMA025,SMW001,SNV009,SOD016,STE019
EMM022,EMM034,FPA001,LDG008,LRE027,LVE032,PAN010,PCA022,PFF012,PHE011,PMO013,SEL020,SGD003,SMA025,SMO006,SOD016,SST029,STE019
EMM022,EMM034,ERO026,FPA001,LDG006,LDG008,LPR020,LRE026,LVE032,OSH001,PFF012,SEL020,SMA005,SMA025,SNV009,SOD016,SST029,STE019
EDO001,EMM022,EMM034,FPA001,LBI004,LDG008,LPR020,LRE027,LVE032,PCA022,PFF012,PMO013,SEL020,SMA025,SMO006,SOD016,SST029,STE019
EMM022,ERO026,FPA001,LDG008,LPR020,LRE026,LVE032,OSH001,PFF012,PHE011,SAS021,SEL020,SMA005,SMA025,SNV009,SOD016,SST029,STE019
EMM022,EMM034,FPA001,LDG008,LPL024,LPR020,OCE018,OSH001,PCA022,PFF012,PHE011,SAA001,SEL020,SMA005,SMA025,SNV009,SOD016,STE019
ACSP006,EMM022,EMM034,FPA001,LDG008,LPL031,LPR020,LVE032,OSH001,PFF012,PHE011,SEL020,SMA025,SMA033,SNV009,SOD016,SST029,STE019
EMM022,EMM034,FPA001,LDG008,LPR020,LVE032,OMA024,OSH001,PCA022,PFF012,PHE011,SAA001,SEL020,SMA005,SMA025,SNV009,SOD016,STE019
EMM022,EMM034,LDG008,LPR020,LVE032,OSH001,PCA022,PFF012,PHE011,SAA001,SEL020,SFO014,SMA005,SMA025,SNB015,SOD016,SST029,STE019
ACEM006,EMM022,FPA001,LDG008,LPR020,LVE032,OSH001,PAN024,PFF012,PHE011,SAA001,SEL020,SMA004,SMA005,SMA025,SNV009,SOD016,STE019
EMM022,EMM034,ERO026,FPA001,LDG008,LPR020,ORR021,OSH001,OSH020,PCA002,PCA022,PFF012,SEL020,SMA005,SMA025,SNB019,SNV009,SOD016
EMM022,EMM034,LBU005,LDG008,LPR020,LVE032,OBI015,OBI023,OSH012,PCA022,PFF012,PHE011,SEL020,SMA025,SNV009,SOD016,SOD023,STE019
EMM034,FPA001,LDG008,LPR020,LVE032,OSH001,PCA022,PFF012,PHE011,PIC009,SCO004,SMA005,SMA025,SNV009,SOD016,SSS023,SST029,STE019
EMM034,FPA001,LDG008,LPR020,LVE032,OSH001,PCA022,PFF012,PHE011,PIC009,SCO004,SEL020,SMA005,SMA025,SNV009,SOD016,STE019,SWA014
EDO001,EMM022,EMM034,ERO026,FPA001,HEV008,LDG008,LPR020,LVE032,OSH001,PCA022,PFF012,PHE011,SEN009,SME005,SOD016,SST029,STE019
ECF016,EMM022,EMM034,FPA001,LDG008,LPR020,LVE032,OSH001,PCA022,PHE011,SAA001,SEL020,SMA005,SMA025,SNV009,SOD016,SST029,STE019
EMM022,EMM034,FPA001,LDG008,LPR020,LVE032,OSH001,PCA022,PHE008,PHE011,SAA001,SEL020,SMA005,SMA025,SNV009,SOD016,SST029,STE019
EJF018,EMM022,EMM034,HEV002,LBU018,LDG008,LVE032,OBI023,OSH001,PFF012,PHE011,SEL020,SMA025,SNB016,SNV009,SNV010,SOD016,STE019
