Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU016, ACEM018, ACFE010, ACFU006, ACNO025, EDO003, EEE022, ERO006, EWO012, EWW017, LBU024, LCC020, LDG017, PFF020, SFO002, SFO010, SIB003, SWA003]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL024, ACFU002, ACGM027, ACHA006, ACPY003, EJP016, ELT010, EOW013, LAL004, OWA020, PLB005, PMO013, SAS001, SDD001, SDD016, SFN009, SFR007, SWA028]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL006, ACGM032, ACGM042, ACPP030, ACWS017, EAG006, EAG015, EES022, EOW022, FHI007, FPA007, LCA003, LUN028, OCE022, POM003, SCC003, SHN001, SMT001]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEM024, ACGM007, ACSP013, EAG028, EMM028, EPP006, LAM012, LPL018, LUN017, LVE010, OBI016, ODE032, OFI033, PMO024, POM007, SAS021, SDD016, SEN008]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL006, ACGM042, ACPP030, EAG006, EAG015, EES022, EOW009, EOW022, FHI007, FPA007, LCA003, LCA012, OCE022, ODE014, OMA019, POM003, SCC003, SHN001]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL005, ACGD014, ACGM003, ACOO012, EAG006, EDO009, HEV006, LBU044, LCA027, LMC023, PMO010, POM008, SCO013, SEL007, SEN021, SNB024, SPI004, SRR003]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL028, ACCU005, ACGM010, EAF001, EAG029, EHH011, EHH019, EMM022, LBI006, LCA027, LCC004, LDG003, LVE001, OCE021, SAS019, SCO006, SMA034, SOD009]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL016, ACEV009, ACFF003, ACHA003, ACHA017, ACOO001, ACTA001, EAG032, ESY008, EWO009, LAL020, LDG004, LMA046, OSH012, OSH023, SFO022, SMA010, SME003]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU007, ACEM024, ECF018, EOW009, LAM023, LBU023, LBU029, LCC017, LMA044, LMC009, LVE035, OCE021, ODE022, PHU004, SFO027, SGM013, SIW016, STR024]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE026, ACNO038, EJF016, FPA008, LCA009, LMC005, LPL013, LVE034, OBI014, OWA019, PCA002, PCA016, PHE027, PHE031, SCC001, SEL004, SIB010, SNV024]"
