Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 4.0, 46.677998, 78.6, "[0.76, 1.0, 1.0, 0.54, 1.0, 1.0, 0.98, 0.14, 1.0, 0.44]", "[ACEM028, ACMY001, ACRR004, EES019, EHH013, EWO010, LAL022, LBI013, LVE023, OBI019, PFF014, PMO022, POM001, SEL011, SGM029, SME007, SNB012, SPI010]"
1, 38.6, 66.96199, 80.4, "[0.84, 1.0, 1.0, 0.58, 1.0, 1.0, 1.0, 0.12, 0.98, 0.52]", "[ACEM028, ACHA010, ACMY001, ACRR004, EES019, EHH013, EWO010, LAL022, LBI013, LVE023, OBI019, PMO022, POM001, SEL011, SGM029, SME007, SNB012, SPI010]"
2, 59.399998, 74.00001, 84.2, "[0.96, 1.0, 0.98, 0.74, 1.0, 1.0, 1.0, 0.26, 0.98, 0.5]", "[ACEM028, ACHA010, ACMY001, ACPP013, ACRR004, EES019, EWO010, LAL022, LBI013, LVE023, OBI019, PMO022, POM001, SEL011, SGM029, SME007, SNB012, SPI010]"
3, 58.0, 77.87, 89.600006, "[1.0, 1.0, 1.0, 0.82, 1.0, 1.0, 1.0, 0.44, 1.0, 0.7]", "[ACEM028, ACHA010, ACMY001, ACPP013, ACRR004, EES019, EWO010, LAL022, LBI013, LVE023, OBI019, PMO022, POM001, SEL011, SFN025, SGM029, SNB012, SPI010]"
4, 59.599995, 80.48399, 89.600006, "[0.94, 1.0, 1.0, 0.86, 1.0, 1.0, 1.0, 0.36, 1.0, 0.8]", "[ACEM028, ACHA010, ACMY001, ACPP013, ACRR004, EES019, EWO010, LAL022, LBI013, LVE023, OBI019, PMO022, POM001, SEL011, SFN025, SGM029, SNB012, SPI010]"
5, 75.0, 83.85001, 93.79999, "[1.0, 1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 0.52, 1.0, 0.9]", "[ACCU026, ACEM028, ACHA010, ACMY001, ACPP013, ACRR004, EES019, LAL022, LBI013, LVE023, OBI019, PLB003, PMO022, POM001, SEL011, SFN025, SGM029, SPI010]"
6, 75.4, 86.47602, 98.2, "[1.0, 1.0, 1.0, 0.94, 1.0, 1.0, 1.0, 0.9, 1.0, 0.98]", "[ACFU001, ACHA010, ACMY001, ACPP013, ACRR004, EES019, EJP012, EWO010, LAL022, LBI013, LVE023, OBI019, PMO022, POM001, POM007, SFN025, SGM029, SNB012]"
7, 82.200005, 89.00199, 98.99999, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96, 1.0, 0.94]", "[ACEM029, ACFU001, ACHA010, ACMY001, ACPP013, ACRR004, EES019, EJP012, EWO010, LAL022, LBI013, LVE023, OBI019, PMO022, POM001, POM007, SFN025, SGM029]"
8, 81.6, 92.381996, 99.40001, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94, 1.0, 1.0]", "[ACFU001, ACHA010, ACMY001, ACPP013, ACRR004, EEG009, EJP012, EWO010, LAL022, LBI013, LVE023, OBI019, PMO022, POM001, POM007, SFN025, SGM029, SNB012]"
9, 78.0, 95.29601, 98.99999, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.92, 1.0, 0.98]", "[ACFU001, ACMY001, ACPP013, ACRR004, EES019, EJP012, EWO010, LAL022, LBI013, LVE023, MYHI002, OBI019, OMW019, PMO022, POM007, SFN025, SGM029, SIW009]"
