ACAL002,ACFU001,ECF019,EES008,ESS005,LPL019,LPR012,LRE029,LUN012,LVE031,OCP002,OCP013,ODE008,SBB012,SFN008,SMA025,SNV009,STE019
ACFU001,ACPH006,ECF019,EES008,ESS005,LAL020,LPR012,LUN012,LUN042,OCP002,ODE008,PFF012,SBB012,SMA025,SME010,SNB006,SOD016,STE019
ACFU001,ACGM057,ECF019,ELT008,LAL020,LDG013,LPR012,LUN012,OCP002,OCP013,ODE008,ORR021,OSH016,PFF012,SBB012,SMA025,SNV009,STE019
ACFU001,ACGM057,EES008,ELT008,LAL020,LDG013,LPR012,LUN012,OCP002,OCP013,ODE008,OMA023,ORR021,PFF012,SBB012,SMA025,SNV009,STE019
ACPH011,EES008,ELT008,ESS005,LCC017,LPR012,LUN012,OCP002,OCP013,ODE015,PFF012,SBB009,SBB012,SMA025,SME012,SNV009,SST014,STE019
ACAL027,ACFU001,EES008,EOW024,LPR012,LUN012,OCP002,OCP013,ODE008,ODE015,PFF012,SBB012,SGM007,SMA025,SNV009,SST015,SST029,STE009
ACEV012,ACFU001,EEG002,EES008,ESS005,LAL020,LMA018,LPR012,LUN012,LVE012,OCP002,OCP013,ODE008,PFF012,SBB012,SCO028,SMA025,SNV009
ACFU001,EES008,ELT008,ESS005,LAL020,LBB011,LMA018,LPR012,LUN012,LVE012,OCP013,OFF005,PFF012,SBB012,SMA025,SNV009,SST014,STE019
ACFU001,ECF019,EES008,ESS005,LAL020,LPR012,LUN012,OCP002,OCP013,ODE008,OMA013,SBB012,SEN015,SME010,SNB006,SNV009,SOD016,STE019
ACFU001,EES008,ELT008,ESS005,LAL016,LAL020,LPL027,LPR012,LUN012,LVE012,OCP013,ODE008,OFI039,PFF012,SBB012,SMA025,SST014,STE019
ACAL023,ACFU001,EEE019,EES008,ESS005,LAL020,LPR012,LPR022,LUN012,OCP013,ODE008,ODE015,PFF012,SBB012,SIW011,SMA025,SNV009,STE019
ACFU001,ECF019,EES008,ESS005,LAL020,LBI046,LDG011,LMA017,LPR012,LUN012,OCP013,ODE008,PFF012,SBB012,SMA002,SMA025,SME010,SNV009
ACFU001,ACPH006,ECF019,EDO016,EES008,ESS005,LAL020,LPR012,LUN012,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,SNB006,SOD016,STE019
ECF019,ESS005,LAL020,LMC028,LPR012,LUN012,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,SME010,SNB006,SNV009,SOD016,STE015,STE019
