Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE030, ACFE032, ACGD007, ACGM058, ACMU004, ACSP010, LBI005, LCA010, LUN006, MYPA003, ODE026, PAN022, PCA036, SIB008, SIW006, SMO019, SWA020, SZO013]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL031, ACFE027, ACFE032, ACGM018, ACWS014, EAG030, EMM022, EWW006, LBU006, LMA024, LMA040, OEV005, ORE004, ORR016, PLB001, SCO028, SDD003, SPL003]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE010, ACSP028, EAG030, LBB010, LCA006, LDG025, LPL011, LTT006, ODE023, OWA017, OWA018, SEL004, SFN006, SIB002, SIB006, SME009, SMO010, SPI005]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL034, ACCU012, ACHA011, ACMU004, EAG021, EJP009, EOW025, LBI024, LUN015, OBI008, PAN020, PFF019, PIC014, SCO012, SCO020, SFR006, SIW012, SNV024]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU021, ACEV013, ACFE009, EMM016, ESY002, LMA038, LVE016, OFI008, OFI017, OFI021, PCA001, SCC005, SDD023, SGM006, SHN003, SOD012, SOD015, SZO010]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM030, ACIM012, ACRH001, ERO004, EWW003, FSP002, LAL031, LAM002, LEV003, LPL030, LVE017, OCP026, OWA003, SBB004, SMA013, SME009, SNB012, SNV027]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM046, ACNO006, ACWS007, EOW005, EOW021, LAL020, LBB013, LCA025, LHY003, LMA001, LMC003, LUN012, LVE008, OWA002, PAN010, PCA026, SGM023, SMA034]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE010, ACGM019, ACNO033, ACSP013, ACWS021, LBU016, LTT006, ODE011, OMA001, OMA027, OMA032, OWA019, SME007, SNB016, SNV028, SPI012, SPL005, SRR015]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU034, ACGM004, ACPP015, EEE002, EHH019, EOW018, LBI007, LCA002, LDG016, LRE002, ODE020, PCA026, PIC006, SAS023, SGD015, SMA020, SSC003, SZO001]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAM002, ACFE010, ACGM019, ACGM053, ACMO001, EEE016, LBU016, ODE011, OMA001, OMA032, OSH003, OWA019, SCC005, SME007, SNB016, SNV028, SRR015, SUM001]"
