Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0039999997, 0.19999999, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACNO013, ACNO019, EBT006, EMM015, EMM034, LMA014, LPR025, LRE006, LTT015, OCE020, ODE003, PMO005, SBB012, SFN011, SGM018, SMO023, SPI030, SZO008]"
1, 0.0, 0.02, 0.9, "[0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACNO004, ACNO013, ACNO019, EBT006, EMM015, EMM034, LMA014, LPR025, LRE006, LTT015, OCE020, ODE003, PMO005, SBB012, SFN011, SGM018, SMO023, SZO008]"
2, 0.0, 0.13999999, 1.4000001, "[0.0, 0.0, 0.06, 0.0, 0.0, 0.04, 0.18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACNO004, ACNO013, ACNO019, EBT006, EMM015, EMM034, LMA014, LRE006, LTT015, OCE017, OCE020, ODE003, PMO005, SBB012, SFN011, SGM018, SMO023, SZO008]"
3, 0.0, 0.57799995, 3.6999996, "[0.02, 0.02, 0.2, 0.0, 0.0, 0.02, 0.38, 0.0, 0.02, 0.0, 0.0, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0]", "[ACFE039, ACNO004, ACNO013, ACNO019, EBT006, EMM015, EMM034, LMA014, LTT015, OCE017, OCE020, ODE003, PMO005, SBB012, SFN011, SGM018, SMO023, SZO008]"
4, 0.0, 1.3419999, 3.5, "[0.02, 0.02, 0.16, 0.0, 0.0, 0.0, 0.46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0]", "[ACEV015, ACFE039, ACNO004, ACNO013, ACNO019, EBT006, EMM015, EMM034, LMA014, LTT015, OCE017, OCE020, ODE003, PMO005, SBB012, SGM018, SMO023, SZO008]"
5, 0.0, 2.5260005, 5.3999996, "[0.02, 0.04, 0.24, 0.02, 0.02, 0.06, 0.54, 0.02, 0.0, 0.0, 0.0, 0.02, 0.0, 0.02, 0.0, 0.0, 0.02, 0.06, 0.0, 0.0]", "[ACAM005, ACFE039, ACNO004, ACNO013, ACNO019, EMM034, LMA014, LTT008, LTT015, OCE017, OCE020, ODE003, PMO005, SBB012, SFN011, SGM018, SMO023, SZO008]"
6, 0.0, 3.7459998, 17.099998, "[0.12, 0.22, 0.68, 0.14, 0.02, 0.24, 0.74, 0.2, 0.02, 0.0, 0.0, 0.18, 0.24, 0.18, 0.04, 0.06, 0.12, 0.14, 0.02, 0.06]", "[ACAL007, ACFE039, ACNO004, ACNO013, ACNO019, EBT006, EMM034, LMA014, LTT015, OCE017, OCE020, OCP002, ODE003, PMO005, SBB012, SFN011, SGM018, SMO023]"
7, 0.0, 5.3939986, 34.199993, "[0.44, 0.44, 0.9, 0.4, 0.08, 0.54, 0.96, 0.5, 0.16, 0.08, 0.08, 0.4, 0.4, 0.18, 0.08, 0.2, 0.26, 0.52, 0.12, 0.1]", "[ACAL007, ACFE039, ACMO003, ACNO004, ACNO013, ACNO019, EMM034, LMA014, LTT015, OCE017, OCE020, OCP002, ODE003, PMO005, SBB012, SFN011, SGM018, SMO023]"
8, 0.0, 9.7560005, 36.999996, "[0.46, 0.48, 0.9, 0.38, 0.08, 0.7, 0.96, 0.32, 0.12, 0.14, 0.14, 0.48, 0.46, 0.36, 0.06, 0.3, 0.16, 0.58, 0.26, 0.06]", "[ACAL007, ACFE039, ACMO003, ACNO004, ACNO013, ACNO019, EDO001, EMM034, LMA014, LTT015, OCE017, OCE020, OCP002, PMO005, SBB012, SFN011, SGM018, SMO023]"
9, 0.0, 17.047997, 47.6, "[0.58, 0.58, 0.94, 0.52, 0.16, 0.72, 1.0, 0.52, 0.34, 0.16, 0.24, 0.68, 0.66, 0.42, 0.24, 0.3, 0.38, 0.54, 0.32, 0.22]", "[ACFE039, ACMO003, ACNO004, ACNO013, ACNO019, ACPP017, EMM034, LMA014, LTT015, OCE017, OCE020, OCP002, ODE003, PMO005, SBB012, SFN011, SGM018, SMA036]"
10, 0.79999995, 26.020002, 57.100002, "[0.72, 0.66, 0.94, 0.66, 0.18, 0.92, 1.0, 0.78, 0.28, 0.2, 0.38, 0.5, 0.58, 0.66, 0.38, 0.36, 0.6, 0.8, 0.42, 0.4]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO013, ACNO019, ACPP017, EMM034, LMA014, LTT015, OCE017, OCE020, OCP002, ODE003, PMO005, SBB012, SGM018, SMA036]"
11, 1.0, 29.765997, 60.4, "[0.8, 0.8, 1.0, 0.74, 0.18, 0.9, 1.0, 0.72, 0.32, 0.32, 0.36, 0.64, 0.72, 0.58, 0.36, 0.5, 0.6, 0.76, 0.46, 0.32]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO013, ACNO019, ACPP017, ACTO004, EMM034, LMA014, LTT015, OCE017, OCE020, OCP002, ODE003, SBB012, SGM018, SMA036]"
12, 3.6, 34.323997, 61.9, "[0.9, 0.78, 1.0, 0.74, 0.14, 0.94, 0.96, 0.8, 0.3, 0.32, 0.34, 0.76, 0.7, 0.54, 0.46, 0.54, 0.58, 0.84, 0.34, 0.4]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO013, ACNO019, ACPP017, ACTO004, EMM034, LMA014, LTT015, OCE017, OCE020, OCP002, ODE003, SBB012, SGM018, SMA036]"
13, 0.0, 36.396, 59.79999, "[0.84, 0.76, 0.98, 0.66, 0.2, 0.84, 1.0, 0.68, 0.46, 0.18, 0.32, 0.58, 0.8, 0.66, 0.36, 0.48, 0.54, 0.84, 0.38, 0.4]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO013, ACNO019, ACPP017, EMM018, EMM034, LMA014, LTT015, OCE017, OCE020, OCP002, ODE003, SBB012, SGM018, SMA036]"
14, 5.799999, 44.58, 71.0, "[0.76, 0.86, 1.0, 0.8, 0.34, 0.94, 1.0, 0.76, 0.52, 0.42, 0.46, 0.78, 0.84, 0.82, 0.56, 0.64, 0.8, 0.88, 0.52, 0.5]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO013, ACNO019, ACPP017, ACTO004, EMM034, LDG008, LMA014, OCE017, OCE020, OCP002, ODE003, SBB012, SGM018, SMA036]"
15, 3.8, 43.757996, 72.1, "[0.92, 0.92, 1.0, 0.84, 0.36, 0.96, 1.0, 0.72, 0.44, 0.44, 0.54, 0.86, 0.76, 0.72, 0.64, 0.62, 0.76, 0.9, 0.52, 0.5]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO013, ACNO019, ACPP017, ACTO004, EMM034, LDG008, LMA014, OCE017, OCE020, OCP002, ODE003, SBB012, SGM018, SMA036]"
16, 9.299998, 47.45, 73.2, "[0.9, 0.92, 1.0, 0.82, 0.36, 0.98, 1.0, 0.84, 0.48, 0.46, 0.7, 0.8, 0.78, 0.7, 0.38, 0.78, 0.66, 0.88, 0.7, 0.5]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO013, ACNO019, ACPP017, ACTO004, EMM034, LDG008, LMA014, OCE017, OCE020, OCP002, ODE003, SBB012, SGM018, SMA036]"
17, 5.2, 50.53999, 77.100006, "[0.86, 0.8, 0.98, 0.88, 0.3, 0.98, 1.0, 0.92, 0.64, 0.46, 0.64, 0.92, 0.9, 0.9, 0.68, 0.58, 0.76, 0.92, 0.62, 0.68]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO013, ACNO019, ACPP017, ACTO004, EMM034, LDG008, LMA014, OCE017, OCE020, OCP002, SBB012, SGM018, SMA036, SME007]"
18, 4.3, 56.54601, 79.5, "[0.98, 0.96, 1.0, 0.88, 0.4, 0.96, 1.0, 0.84, 0.68, 0.58, 0.72, 0.88, 0.9, 0.9, 0.56, 0.74, 0.74, 0.96, 0.66, 0.56]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO013, ACNO019, ACPP017, ACTO004, EMM034, LDG008, LMA014, OCE017, OCE020, OCP002, SBB012, SGM018, SMA036, SME007]"
19, 10.099999, 59.091995, 79.299995, "[0.94, 0.9, 0.98, 0.86, 0.44, 0.92, 1.0, 0.98, 0.66, 0.58, 0.52, 0.88, 0.88, 0.86, 0.66, 0.76, 0.82, 0.9, 0.7, 0.62]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO013, ACNO019, ACPP017, ACPP035, ACTO004, EMM034, LDG008, LMA014, OCE017, OCE020, OCP002, SBB012, SMA036, SME007]"
20, 3.6, 59.943985, 79.399994, "[0.96, 0.92, 1.0, 0.88, 0.54, 0.94, 1.0, 0.88, 0.54, 0.6, 0.62, 0.86, 0.96, 0.86, 0.6, 0.76, 0.82, 0.9, 0.62, 0.62]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO019, ACPP017, ACTO004, EMM034, LDG008, LMA014, LMA046, OCE020, OCP002, SBB012, SGM018, SMA036, SME007, SSS028]"
21, 6.899999, 63.36, 81.3, "[0.96, 0.94, 1.0, 0.86, 0.5, 1.0, 1.0, 0.88, 0.7, 0.58, 0.68, 0.92, 0.88, 0.82, 0.78, 0.8, 0.76, 0.94, 0.66, 0.6]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO019, ACTO004, EMM034, EWO001, LDG008, LMA014, LTT011, OCE017, OCE020, OCP002, SBB012, SGM018, SMA036, SME007]"
22, 11.799998, 61.977993, 82.7, "[0.94, 0.96, 1.0, 0.92, 0.4, 1.0, 1.0, 0.96, 0.74, 0.6, 0.6, 0.92, 0.86, 0.94, 0.66, 0.8, 0.88, 0.98, 0.7, 0.68]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO019, ACTO004, EMM034, EWO001, LDG008, LMA014, LTT011, OCE017, OCE020, OCP002, SBB012, SGM018, SMA036, SME007]"
23, 15.199998, 62.621994, 84.59999, "[0.98, 1.0, 1.0, 0.9, 0.42, 1.0, 1.0, 0.98, 0.72, 0.56, 0.74, 0.96, 0.96, 0.82, 0.82, 0.84, 0.88, 0.94, 0.68, 0.72]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO019, ACPP017, ACTO004, EMM034, LDG008, LMA014, LMA046, LMC025, OCP002, SBB012, SGM018, SMA036, SME007, SSS028]"
24, 10.899999, 62.277996, 86.49999, "[0.98, 0.92, 1.0, 0.94, 0.5, 1.0, 1.0, 0.96, 0.76, 0.72, 0.82, 0.98, 0.84, 0.88, 0.76, 0.9, 0.88, 0.96, 0.76, 0.74]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO019, ACPP017, ACTO004, EMM034, LDG008, LMA014, LMA046, LMC025, OCP002, SBB012, SGM018, SMA036, SME007, SSS028]"
25, 13.0, 67.036, 85.200005, "[0.94, 0.94, 1.0, 0.88, 0.6, 0.94, 1.0, 0.98, 0.8, 0.68, 0.76, 0.94, 0.92, 0.92, 0.74, 0.84, 0.84, 0.92, 0.72, 0.68]", "[ACFE039, ACHA006, ACMO003, ACNO004, ACNO019, ACPP017, ACTO004, EMM034, ERO008, LDG008, LMA014, LMC025, OCP002, SBB012, SGM018, SMA036, SME007, SSS028]"
26, 12.999998, 67.528, 86.7, "[0.96, 0.92, 1.0, 0.94, 0.5, 0.98, 1.0, 0.92, 0.78, 0.68, 0.76, 0.94, 0.9, 0.9, 0.78, 0.96, 0.92, 1.0, 0.74, 0.76]", "[ACHA006, ACMO003, ACNO004, ACNO019, ACPP017, ACSP027, ACTO004, EMM034, EOW021, LDG008, LMA046, LMC025, OCP002, SBB012, SGM018, SMA036, SME007, SSS028]"
