Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.32, 7.6999993, "[0.04, 0.04, 0.08, 0.06, 0.08, 0.0, 0.0, 0.0, 0.04, 0.06, 0.96, 0.02, 0.02, 0.0, 0.06, 0.02, 0.02, 0.02, 0.02, 0.0]", "[ACAL036, ACFE034, ACGM016, EAG009, EJF021, EWO013, FHI001, HEV006, LAL024, LBI007, LMA031, OCP025, SBB012, SGM018, SME007, SME015, SOD013, SPP005]"
1, 0.0, 1.216, 9.099998, "[0.02, 0.02, 0.1, 0.02, 0.04, 0.0, 0.14, 0.0, 0.06, 0.14, 0.96, 0.06, 0.0, 0.04, 0.06, 0.0, 0.02, 0.06, 0.04, 0.04]", "[ACAL036, ACFE034, EAG009, EEE009, EJF021, EWO013, FHI001, HEV006, LAL024, LBI007, LMA031, OCP025, SBB012, SGM018, SME007, SME015, SOD013, SPP005]"
2, 0.099999994, 4.3879995, 12.299999, "[0.0, 0.08, 0.08, 0.08, 0.06, 0.08, 0.12, 0.0, 0.16, 0.02, 1.0, 0.04, 0.08, 0.04, 0.02, 0.04, 0.16, 0.12, 0.22, 0.06]", "[ACAL036, ACFE034, EAG009, EEE009, EJF021, EWO013, FHI001, HEV006, LAL016, LAL024, LBI007, LMA031, SBB012, SGM018, SME007, SME015, SOD013, SPP005]"
3, 0.099999994, 8.562, 25.8, "[0.16, 0.18, 0.26, 0.22, 0.24, 0.2, 0.44, 0.08, 0.3, 0.22, 1.0, 0.28, 0.12, 0.2, 0.2, 0.08, 0.28, 0.2, 0.26, 0.24]", "[ACAL036, ACFE034, ACGM016, EAG009, EJF021, EWO013, FHI001, LAL024, LBI007, LCC012, LVE032, OCP025, SBB012, SGM018, SME007, SME015, SOD013, SPP005]"
4, 0.19999999, 11.701998, 31.3, "[0.24, 0.26, 0.28, 0.22, 0.46, 0.18, 0.44, 0.08, 0.26, 0.3, 1.0, 0.26, 0.18, 0.28, 0.24, 0.2, 0.38, 0.38, 0.38, 0.24]", "[ACAL036, ACFE034, ACGM016, EAG009, EJF021, EWO013, FHI001, LAL024, LBI007, LCC012, LVE032, OCP025, SBB012, SGM018, SME007, SME015, SNV022, SPP005]"
5, 0.5, 16.845997, 30.299997, "[0.3, 0.32, 0.36, 0.06, 0.46, 0.22, 0.42, 0.2, 0.28, 0.3, 1.0, 0.2, 0.2, 0.22, 0.24, 0.08, 0.3, 0.36, 0.28, 0.26]", "[ACAL036, ACFE034, ACGM016, EAG009, EJF021, EWO013, FHI001, LAL024, LBI007, LCC012, LVE032, OCP025, SBB012, SGM018, SME007, SME015, SNV022, SPP005]"
6, 0.3, 21.033993, 43.599995, "[0.36, 0.28, 0.5, 0.28, 0.52, 0.38, 0.66, 0.22, 0.56, 0.48, 1.0, 0.34, 0.36, 0.34, 0.38, 0.2, 0.46, 0.48, 0.52, 0.4]", "[ACAL006, ACFE034, ACGM016, EAG009, EJF021, EWO013, FHI001, LAL024, LBI007, LVE032, OCP025, PFF005, SBB012, SGM018, SME007, SME015, SNV022, SPP005]"
7, 0.6, 27.284002, 46.900005, "[0.48, 0.42, 0.5, 0.4, 0.62, 0.44, 0.54, 0.24, 0.54, 0.36, 1.0, 0.36, 0.36, 0.52, 0.48, 0.3, 0.44, 0.42, 0.46, 0.5]", "[ACAL006, ACFE034, ACGM016, EAG009, EJF021, EWO013, FHI001, LAL024, LBI007, LBU001, LVE032, OCP025, PFF005, SBB012, SGM018, SME007, SME015, SPP005]"
8, 0.6, 35.143997, 57.499992, "[0.5, 0.64, 0.52, 0.64, 0.58, 0.54, 0.58, 0.3, 0.66, 0.62, 1.0, 0.4, 0.46, 0.64, 0.44, 0.5, 0.66, 0.74, 0.6, 0.48]", "[ACAL006, ACFE034, ACGM016, ACOO009, EJF021, EWO013, LAL024, LBI007, LVE032, OCP025, PFF005, SBB012, SGM018, SME007, SME015, SNV022, SPP005, SWA022]"
9, 2.2, 40.797997, 58.100002, "[0.74, 0.62, 0.52, 0.42, 0.68, 0.4, 0.82, 0.34, 0.66, 0.6, 1.0, 0.46, 0.38, 0.46, 0.46, 0.42, 0.72, 0.66, 0.58, 0.68]", "[ACFE034, ACMU001, EAG009, ECF010, EJF021, FHI001, LAL024, LBI007, LCC012, LDG002, LVE032, OCP025, SBB012, SGM018, SME007, SNB011, SNV022, SPP005]"
10, 3.6000001, 45.73601, 68.600006, "[0.74, 0.6, 0.68, 0.74, 0.68, 0.56, 0.82, 0.46, 0.76, 0.64, 1.0, 0.58, 0.58, 0.74, 0.64, 0.6, 0.7, 0.72, 0.68, 0.8]", "[ACFE034, ACMU001, EAG009, EAM002, ECF010, EJF021, FHI001, LAL024, LBI007, LCC012, LVE032, OCP025, SBB012, SGM018, SME007, SNB011, SNV022, SPP005]"
11, 30.300001, 54.186012, 69.40001, "[0.66, 0.74, 0.72, 0.64, 0.78, 0.72, 0.8, 0.58, 0.76, 0.64, 1.0, 0.6, 0.52, 0.62, 0.56, 0.54, 0.82, 0.8, 0.74, 0.64]", "[ACFE034, ACMU001, EAG009, EAM002, ECF010, EJF021, FHI001, LAL024, LCC012, LVE032, OCP025, SBB012, SGM018, SIB007, SME007, SNB011, SNV022, SPP005]"
12, 4.5999994, 57.946003, 73.40001, "[0.74, 0.78, 0.64, 0.64, 0.78, 0.62, 0.9, 0.5, 0.84, 0.64, 1.0, 0.58, 0.56, 0.8, 0.8, 0.56, 0.9, 0.8, 0.8, 0.8]", "[ACFE034, ACMU001, EAM002, ECF010, FHI001, LAL024, LBI007, LCC012, LVE012, LVE032, OCP025, PFF004, SBB012, SGM018, SME007, SNB011, SNV022, SPP005]"
13, 4.7, 63.25601, 87.39999, "[0.92, 0.86, 0.88, 0.86, 0.94, 0.88, 0.94, 0.76, 0.98, 0.82, 1.0, 0.84, 0.74, 0.94, 0.8, 0.74, 0.9, 0.9, 0.98, 0.8]", "[ACFE034, ACMU001, EAM002, ECF010, EES008, FHI001, LAL024, LBI007, LCC012, LVE012, LVE032, PFF004, SBB012, SGM018, SME007, SNB011, SNV022, SPP005]"
14, 6.999999, 65.035995, 88.0, "[0.82, 0.9, 0.9, 0.9, 0.98, 0.92, 1.0, 0.7, 0.94, 0.78, 1.0, 0.8, 0.82, 0.94, 0.76, 0.76, 0.92, 0.92, 0.9, 0.94]", "[ACFE034, ACMU001, EAM002, ECF010, EES008, FHI001, LAL024, LBI007, LCC012, LVE012, LVE032, PFF004, SBB012, SGM018, SME007, SNB011, SNV022, SPP005]"
15, 58.000004, 77.748, 89.9, "[0.92, 0.8, 0.96, 0.82, 0.94, 0.84, 0.9, 0.82, 0.96, 0.9, 1.0, 0.88, 0.8, 0.88, 0.9, 0.76, 1.0, 0.98, 1.0, 0.92]", "[ACFE034, ACMU001, EAM002, EES008, FHI001, FSE001, LAL024, LAM014, LBI007, LCC012, LVE012, LVE032, SBB012, SGM018, SME007, SNB011, SNV022, SPP005]"
16, 14.699999, 79.95601, 92.399994, "[0.92, 0.98, 0.9, 0.92, 1.0, 0.92, 0.96, 0.82, 0.96, 0.96, 1.0, 0.8, 0.88, 0.94, 0.92, 0.9, 0.92, 0.92, 0.98, 0.88]", "[ACFE034, ACMU001, EAM002, ECF010, EES008, FHI001, FHI005, LBI007, LCC012, LVE012, LVE032, PFF004, SBB012, SGM018, SME007, SNV022, SPP005, SST019]"
17, 22.499998, 84.86398, 98.399994, "[0.96, 1.0, 1.0, 0.94, 1.0, 0.96, 1.0, 0.96, 1.0, 1.0, 1.0, 1.0, 0.96, 0.96, 1.0, 0.98, 1.0, 0.98, 0.98, 1.0]", "[ACGM039, ACGM045, EAM002, ECF010, EES008, EJP009, FHI001, LAL024, LBI007, LCC012, LDG008, LVE032, PFF004, SBB012, SME007, SNB011, SNV022, SPP005]"
18, 20.1, 87.934, 98.69999, "[1.0, 1.0, 1.0, 0.98, 1.0, 0.98, 1.0, 0.94, 1.0, 0.98, 1.0, 1.0, 0.94, 1.0, 0.96, 1.0, 0.98, 1.0, 1.0, 0.98]", "[ACGM039, ACGM045, EAM002, ECF010, EES008, EJP009, FHI001, LAL024, LCC012, LDG008, LVE032, PFF004, SBB012, SME007, SNB011, SNV022, SPP005, SST022]"
19, 20.299997, 86.52598, 98.600006, "[1.0, 0.98, 0.98, 0.98, 1.0, 0.98, 1.0, 0.9, 0.98, 1.0, 1.0, 0.98, 0.98, 1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 1.0]", "[ACGM039, ACGM045, EAM002, ECF010, EES008, EJP009, FHI001, LAL024, LCC012, LDG008, LVE032, PFF004, SBB012, SME007, SNB011, SNV022, SPP005, SST022]"
20, 26.799997, 91.055984, 98.99999, "[1.0, 0.98, 0.98, 1.0, 1.0, 1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 0.98, 0.98, 1.0, 0.98, 1.0, 0.98, 0.98, 1.0, 0.98]", "[ACGM039, ACGM045, EAM002, EES008, EJP009, FHI001, LAL024, LCC012, LDG008, LVE032, ORE004, PFF004, SBB012, SME007, SNB011, SNV022, SPP005, SST022]"
21, 43.600002, 91.234, 99.3, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 0.96]", "[ACGM039, ACGM045, EAM002, EES008, EJP009, ESY009, LAL024, LCC012, LDG008, LVE032, ORE004, PFF004, SBB012, SME007, SNB011, SNV022, SPP005, SST022]"
22, 46.5, 95.18601, 99.799995, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 0.98]", "[ACAM003, ACGM039, ACGM045, EES008, EJP009, LAL024, LBI007, LCC012, LDG008, LVE032, PFF004, SBB012, SDD018, SEL008, SME007, SNB011, SOD016, SPP005]"
23, 79.399994, 96.478, 99.799995, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0]", "[ACGD012, ACGM039, ACGM045, ACSP008, EAM002, EES008, EJP009, FHI001, LDG008, LVE032, ORE004, SBB012, SMA033, SME007, SNB011, SNV022, SPP005, SST022]"
24, 38.700005, 96.302, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACGM039, ACGM045, EES008, EJP009, LAL024, LAM013, LBI007, LCA009, LCC012, LDG008, LVE032, PFF004, SBB012, SDD018, SEL008, SME007, SOD016, SPP005]"
25, 72.7, 97.612, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACGM039, ACGM045, EES008, LAL024, LAM013, LBI004, LBI007, LCA009, LCC012, LDG008, LVE032, PFF004, SBB012, SDD018, SEL008, SME007, SOD016, SPP005]"
26, 65.8, 96.37401, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFF002, ACGM045, EES008, LAL024, LAM013, LBI004, LBI007, LCA009, LCC012, LDG008, LVE032, PFF004, SBB012, SDD018, SEL008, SME007, SOD016, SPP005]"
27, 96.99998, 99.26401, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFF002, ACGM045, EES008, LAM013, LBI004, LBI007, LCA009, LCC012, LDG008, LVE032, OFF002, PFF004, SBB012, SDD018, SEL008, SME007, SOD016, SPP005]"
28, 76.600006, 97.54201, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFF002, ACGM045, EES008, LAM013, LBI004, LBI007, LCA009, LCC012, LDG008, LMA059, LVE032, OFF002, PFF004, SBB012, SDD018, SME007, SOD016, SPP005]"
29, 72.200005, 98.67401, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACCU007, ACGM039, ACGM045, EES008, LAL005, LAM013, LBI004, LBI007, LCA005, LCA009, LDG008, LVE032, OFI020, PFF004, SBB012, SDD018, SME007, SOD016]"
30, 86.79999, 99.25201, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACGM039, ACGM045, EES008, EJP023, LAL005, LAM013, LBI004, LCA005, LCA009, LDG008, LMA019, LVE032, PFF004, SBB012, SDD018, SME007, SOD016, SPP005]"
31, 85.7, 98.89802, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFF002, ACGM045, EES008, LAM013, LBI004, LBI007, LDG008, LMA059, LVE032, OFF002, PFF004, SBB012, SDD018, SFO018, SME007, SOD016, SPP005, STR012]"
32, 98.4, 99.69002, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACGM045, ACMO005, EES008, LAL005, LAM013, LBI007, LCA005, LCA009, LDG008, LVE032, OFI020, PFF004, SBB012, SDD018, SME007, SOD016, SPI011, SPP005]"
33, 74.4, 97.97, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACGM039, ACGM045, ACMO005, EWW014, LAL005, LAM013, LBI007, LCA009, LDG008, LVE032, OCE009, OFI020, SBB012, SDD018, SME007, SOD016, SSS032, SST037]"
34, 76.00001, 98.834015, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEV010, ACGM039, ACGM040, ACGM045, ACNO019, EJP009, ESS002, LAM012, LDG008, LVE032, SBB001, SBB012, SDD018, SME007, SOD016, SPP005, STE019, SWA008]"
35, 76.00001, 97.91001, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACGM039, ACGM040, ACGM045, ACNO019, EJP009, ESS002, LAM012, LDG008, LVE008, LVE032, OSH008, POM002, SBB012, SDD018, SME007, SOD016, SPP005, STE019]"
36, 82.7, 99.39001, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACGM039, ACGM045, ACMO005, EAG017, EWW014, LAM013, LAM028, LBI007, LCA009, LDG008, LVE032, OCE009, OFI020, SBB012, SDD018, SME007, SOD016, SZO005]"
37, 82.09999, 98.66602, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACGM039, ACGM045, ACMO005, EAG017, EWW014, LAM013, LBI007, LCA009, LDG008, LDG013, LVE032, OCE009, SBB012, SDD018, SME007, SOD016, SST037, SZO005]"
