Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL010, ACWS009, EDO001, EJF009, ESY002, FHI005, LAL009, LCA011, LCC009, OCP017, OWA024, PFF022, SAS002, SMO009, SNV030, SNV038, STR019, STR033]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM025, ACTO006, EAG001, EAG025, ESS007, EWW009, FSP003, LAM026, LMA026, LRE001, OFF018, OSH005, SEL018, SMA017, SNV023, SNV043, SPI013, SST029]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE012, ACFE026, ACGM004, ACGM026, ACPH009, EMM017, LAL014, LCC007, LEV006, OBI020, OCE003, OFI033, SDD015, SGM002, SPI026, SPP006, SRR020, STE005]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPH003, EHH002, EJF021, EWW040, LBU004, LHY003, LPR011, LVE031, ORR007, PHE006, PHE018, SCC007, SGD003, SMO001, SNB022, SPI004, SPI015, SWA008]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU033, ACEM013, ACFE001, EMM023, FSC003, LAL014, LCC006, LMA036, LMA045, LRE010, OBI003, OBI006, OMA029, SCO017, SEN004, SEN010, SMW006, SSS024]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPH014, EJF021, EWW040, LBU004, LMA002, LMC010, LPR011, LUN011, LVE031, ORR007, PHE006, PHE018, SCC007, SGD003, SMO001, SNB009, SPI004, SWA008]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE030, ACGM030, ACGM051, ACTA004, EHH014, EPP009, LBI016, LRE002, LUN036, OBI016, ODE008, OFI027, OSH003, SBB003, SDD030, SGM026, SMA026, SST003]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[EAM001, ECF018, EMM004, EOW002, FPA005, LAL023, LAM028, LBU007, LMC008, LMC029, OCE020, OFF008, OMA025, ORR008, PCA030, PMO004, SMA001, SST013]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAZ003, EHH002, EJF021, EWW040, LBU004, LMA002, LMC010, LPR011, LUN011, LVE031, ORR007, SAS010, SCC007, SGM002, SMO001, SNB009, SPI004, SWA008]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFU004, ACHA014, ACSP014, EAG023, EAG032, EWO004, EWO005, FPA003, LDG004, LRE007, PAN015, SCO022, SFR002, SNV027, SOD015, SPI015, SPI016, SPL007]"
10, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACOO005, ECF006, ECF018, EMM010, EMM031, EWW014, LBB023, LBU018, LCA022, LCR002, LMA027, LPR022, MYSC001, SAA023, SNV012, SPI009, SST013, SWA027]"
11, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEV001, ACFE012, ACPP033, ERO028, ESS007, FLL005, LBI040, LEV003, LTT008, PAN025, PHE015, PHE031, SFN025, SGM021, SNV012, STE014, STR026, SZO003]"
12, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEV020, ACGM019, ACNO006, ACNO009, ACSP015, EES002, FSC001, LBB020, LBI022, LCR007, LPL023, OFI032, OWA021, PAN029, PHE001, PLB004, SEN019, SMT010]"
13, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACMU005, ACMY002, ACNO014, ACPH004, EJF013, EJP004, ERO031, FPA007, LBU043, LUN040, OMA018, SDD017, SGM007, SIB003, SNB014, SOD011, SSC003, SWA014]"
14, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACNO011, ACPH007, ACPP032, ACRH001, ACTA014, ECF004, EHH002, EMM035, ERO041, LBU039, LUN041, MYSC001, PHE001, PMO006, SCC002, SEN011, SMW002, SPI017]"
15, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEV001, ACEV002, ACPH001, EEE007, EEG006, EOW019, ERO007, ESS016, LAM003, LBB015, OCE018, OCP014, ORR010, OSH016, SBB004, SFO009, SNB015, SSS014]"
16, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEV001, ACGM010, ACOO006, ACPP009, ACPP033, ERO028, ESS007, FLL005, LEV003, LTT008, PHE015, PHE031, SFN025, SGM021, SNV012, STE014, STR026, SZO003]"
17, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL003, ACGM014, ACGM021, ACGM041, ACGM046, EOW025, EPP009, EPP014, LBI016, LEV002, LUN038, OBI016, ODE008, OFI027, OMA006, OWA011, POM023, SST003]"
18, 0.0, 0.0013333332, 0.39999998, "[0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEM030, ACMY003, ACNO005, ACPP029, ECF012, LAM016, LBB009, LDG025, LMA020, LPL027, OMA016, ORR005, PFF004, PIC003, SDD014, SGM021, SMA025, SMW011]"
19, 0.0, 0.0026666664, 0.39999998, "[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.02, 0.0]", "[ACEM030, ACMY003, ACNO005, ACPP029, ECF012, LAM016, LBB009, LDG025, LMA020, LPL027, OMA016, ORR005, PFF004, SDD014, SGM021, SMA025, SMT003, SMW011]"
20, 0.0, 0.004666667, 0.39999998, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0]", "[ACEM030, ACMY003, ACNO005, ACPP029, ECF012, LAM016, LBB009, LDG025, LMA020, LMC031, LPL027, OMA016, OMW003, ORR005, PFF004, SDD014, SMA025, SMW011]"
21, 0.0, 0.010000001, 0.6, "[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.04, 0.0]", "[ACEM030, ACMY003, ACNO005, ACPP029, LAM016, LBB009, LDG025, LMA020, LPL027, OMA016, PFF004, PIC003, SDD014, SGM021, SIB003, SIB005, SMA025, SMW011]"
22, 0.0, 0.019333335, 0.6, "[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.02, 0.0, 0.02, 0.0]", "[ACEM030, ACGM044, ACMY003, ACNO005, ACPP029, ECF012, LAM016, LBB009, LCC018, LDG025, LMA020, LPL027, OMA016, ORR005, SDD014, SGM021, SMA025, STE007]"
23, 0.0, 0.043999996, 4.8, "[0.06, 0.02, 0.0, 0.0, 0.24, 0.0, 0.0, 0.02, 0.12, 0.02]", "[ACPP029, ECF012, LAM016, LBB009, LDG024, LDG025, LMA020, LPL018, LPL027, LVE026, ODE008, OMA016, ORR005, PFF004, PIC003, SGM021, SMA025, SMW011]"
24, 0.0, 0.12866671, 3.4, "[0.0, 0.0, 0.0, 0.0, 0.22, 0.0, 0.0, 0.0, 0.08, 0.04]", "[ACPP029, ECF012, LAM016, LBB009, LDG024, LDG025, LMA020, LMC031, LPL018, LVE026, ODE008, OMA016, ORR005, PFF004, PIC003, SGM021, SMA025, SMW011]"
25, 0.0, 0.42533305, 6.3999996, "[0.04, 0.0, 0.0, 0.0, 0.22, 0.0, 0.12, 0.08, 0.16, 0.02]", "[ACGM028, ACPP029, ECF012, LAM016, LBB009, LDG024, LDG025, LMA020, LPL018, LPL027, LVE026, ODE008, ORR005, PFF004, PHE024, PIC003, SGM021, SMA025]"
26, 0.0, 1.1653334, 7.2000003, "[0.02, 0.0, 0.0, 0.0, 0.44, 0.0, 0.08, 0.04, 0.12, 0.02]", "[ACPH010, ACPP029, ECF012, LAM016, LBB009, LDG024, LDG025, LMA020, LPL018, LPL027, LVE026, ODE008, OMA016, ORR005, PHE014, PHE024, SGM021, SMA025]"
27, 0.0, 2.8079991, 8.4, "[0.06, 0.0, 0.0, 0.02, 0.22, 0.0, 0.14, 0.04, 0.32, 0.04]", "[ACPP029, ECF012, EES008, LAM016, LBB009, LDG024, LMC031, LPL018, LVE003, LVE026, ODE008, OMA016, PFF004, PIC003, SGM021, SMA025, SMW011, SPL001]"
28, 0.0, 3.7746649, 13.399999, "[0.04, 0.02, 0.0, 0.02, 0.42, 0.0, 0.16, 0.1, 0.52, 0.06]", "[ACFE016, ACPP029, ECF012, LBB009, LBB019, LDG024, LDG025, LMC031, LPL018, LVE026, OCP002, OMA016, OSH001, PFF004, PIC003, SGM021, SMA025, SMW011]"
29, 0.0, 4.731333, 16.4, "[0.12, 0.02, 0.0, 0.1, 0.58, 0.0, 0.26, 0.12, 0.34, 0.1]", "[ACPH010, ACPP029, ECF012, LBB009, LCC005, LDG024, LPL018, LPL027, LVE026, ODE008, OMA016, ORR005, PHE014, PHE024, SGM021, SMA025, SOD016, SST032]"
30, 0.0, 6.240666, 17.4, "[0.18, 0.04, 0.0, 0.04, 0.6, 0.0, 0.34, 0.12, 0.36, 0.06]", "[ACPH010, ACPP029, ECF012, LBB009, LCC005, LDG024, LPL018, LPL027, LUN031, LVE026, ODE008, OMA016, PHE014, PHE024, SGM021, SMA025, SOD016, SST032]"
