Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 9.999999E-4, 0.19999999, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0]", "[ACCU022, ACFU002, ACPP023, ACTO004, EPP009, LAL006, LMC034, LPR012, LUN004, OCP028, OMA027, PAN024, PFF023, SBB012, SFN019, SFO024, SGM030, STR009]"
1, 0.0, 0.0039999997, 0.79999995, "[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.06, 0.0]", "[ACCU022, ACFU002, ACPP023, ACTO004, EPP009, LAL006, LMC034, LPR012, LUN004, OCP028, OMA027, PAN024, PFF023, SBB012, SFN019, SFO024, SGM030, STR009]"
2, 0.0, 0.0019999999, 0.19999999, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0]", "[ACCU022, ACPP023, ACTO004, EPP009, LAL006, LMC034, LPR012, LUN004, OCP028, OMA027, PAN024, PFF023, SBB012, SFN019, SFO024, SGM030, SMW017, STR009]"
3, 0.0, 0.0069999993, 0.6, "[0.0, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU022, ACFU002, ACPP023, ACTO004, EPP009, LAL006, LAL008, LMC034, LPR012, LUN004, OMA027, PAN024, PFF023, SBB012, SFN019, SFO024, SGM030, STR009]"
4, 0.0, 0.007999999, 0.39999998, "[0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPP023, ACTO004, ECF018, EPP009, LAL006, LMC034, LPR012, LUN004, OCP028, OMA027, PAN024, PFF023, SBB012, SFN019, SFO024, SGM030, SMO021, STR009]"
5, 0.0, 0.033999998, 0.79999995, "[0.0, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPP023, ACTO004, ECF018, EPP009, LAL006, LCA026, LMC034, LPR012, LUN004, OCP028, OMA027, PAN024, PFF023, SBB012, SFN019, SFO024, SGM030, STR009]"
6, 0.0, 0.06699999, 1.2, "[0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.02, 0.0, 0.06, 0.0]", "[ACCU022, ACFU002, EOW019, EPP009, EPP012, EPP019, EWW028, LAL006, LMC034, LPR012, LUN004, OCP028, PAN024, PFF023, SBB012, SFO024, SGM030, STR009]"
7, 0.0, 0.15800005, 1.8, "[0.02, 0.0, 0.0, 0.0, 0.06, 0.0, 0.04, 0.0, 0.06, 0.0]", "[ACCU022, ACFU002, EOW019, EPP007, EPP009, EPP012, EPP019, EWW028, LAL006, LMC034, LPR012, LUN004, OCP028, PAN024, PFF023, SBB012, SGM030, STR009]"
8, 0.0, 0.35399982, 2.9999998, "[0.02, 0.04, 0.0, 0.0, 0.12, 0.0, 0.02, 0.02, 0.08, 0.0]", "[ACCU022, ACFU002, ACGM027, EOW019, EPP007, EPP009, EPP012, EPP019, EWW028, LAL006, LMC034, LPR012, LUN004, OCP028, PAN024, SBB012, SGM030, STR009]"
9, 0.0, 0.65599954, 8.0, "[0.04, 0.08, 0.0, 0.0, 0.22, 0.0, 0.16, 0.12, 0.18, 0.0]", "[ACGD009, ACPH002, ACPP023, ACTO004, ECF018, EJF008, EPP009, LAL006, LPR012, OCP028, OMA027, PAN024, PCA005, PFF023, SBB012, SFN019, SGM030, STR009]"
10, 0.0, 1.3490002, 8.599999, "[0.06, 0.04, 0.0, 0.0, 0.32, 0.0, 0.12, 0.06, 0.22, 0.04]", "[ACGD009, ACPH002, ACPH005, ACPP023, ACTO004, ECF018, EJF008, EPP009, LAL006, LPR012, OCP028, OMA027, PAN024, PCA005, PFF023, SBB012, SFN019, STR009]"
11, 0.0, 2.6600013, 12.6, "[0.18, 0.02, 0.0, 0.02, 0.26, 0.0, 0.2, 0.16, 0.42, 0.0]", "[ACGD009, ACPH002, ACPP023, ACTO004, ECF018, EPP009, EPP014, EWW035, LMC023, LPR012, LUN004, OCP028, OMA027, PAN024, PFF023, SBB012, SFN019, STR009]"
12, 0.0, 4.6489997, 14.400001, "[0.14, 0.12, 0.0, 0.04, 0.44, 0.0, 0.28, 0.08, 0.34, 0.0]", "[ACFU002, ACGD009, ACPH002, ACPP023, ACTO004, ECF018, EJF008, EPP009, LAL006, LAL020, LPR012, OCE019, OMA027, PAN024, PCA005, SBB012, SFN019, STR009]"
