Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 13.400001, 46.36201, 83.200005, "[0.78, 0.72, 0.54, 0.88, 0.98, 0.8, 0.96, 0.96, 1.0, 0.7]", "[ACEV004, ACFU001, EEE012, LAL020, LAM018, LUN012, OCP002, OCP013, OFI027, PFF012, SAS024, SBB012, SBB019, SMA025, SNV009, SST031, STE019, STE022]"
1, 8.0, 53.595985, 85.399994, "[0.78, 0.84, 0.54, 0.82, 1.0, 0.84, 0.98, 0.98, 1.0, 0.76]", "[ACEV004, ACFU001, LAL020, LAM018, LUN012, OCP002, OCP013, OFI027, OFI040, PFF012, SAS024, SBB012, SBB019, SMA025, SNV009, SST031, STE019, STE022]"
2, 11.799999, 60.70301, 85.200005, "[0.78, 0.76, 0.52, 0.98, 1.0, 0.72, 1.0, 1.0, 1.0, 0.76]", "[ACEV004, ACFU001, ACSP025, EPP014, LAL020, LHY006, LPL022, LUN012, OCP002, ODE015, OFF026, PFF012, SAS024, SBB012, SEL020, SMA025, SNV009, STE019]"
3, 17.6, 63.393, 87.200005, "[0.94, 0.78, 0.54, 0.86, 1.0, 0.8, 1.0, 1.0, 1.0, 0.8]", "[ACEV004, ACFU001, ACSP025, EDO015, LAL020, LBI010, LHY006, LUN012, MYSE003, OCP002, ODE015, PFF012, SBB012, SEL020, SIW012, SMA025, SNV009, STE019]"
4, 15.000001, 66.75603, 88.4, "[0.9, 0.9, 0.66, 0.86, 1.0, 0.78, 1.0, 0.98, 0.98, 0.78]", "[ACEV004, ACFU001, EPP014, LAL020, LHY006, LPL022, LUN012, OCP002, ODE015, OFF026, PFF012, SAS024, SBB012, SEL020, SMA004, SMA025, SNV009, STE019]"
5, 16.2, 68.75802, 89.600006, "[0.76, 0.92, 0.62, 0.92, 1.0, 0.88, 1.0, 1.0, 1.0, 0.86]", "[ACEV004, ACFU001, ACSP025, LAL020, LHY006, LUN012, MYSE003, OCP002, ODE008, ODE015, PFF012, SAS024, SBB012, SEL020, SMA025, SNV009, SSS020, STE019]"
6, 26.799997, 70.385994, 90.80001, "[0.94, 0.84, 0.7, 0.9, 1.0, 0.9, 1.0, 1.0, 1.0, 0.8]", "[ACEV004, ACFU001, ACSP025, LAL020, LHY006, LUN012, MYSE003, OCP002, ODE008, ODE015, PFF012, SAS024, SBB012, SEL020, SMA025, SNV009, SSS020, STE019]"
7, 30.399996, 71.33903, 91.4, "[1.0, 0.8, 0.68, 0.94, 1.0, 0.88, 1.0, 1.0, 1.0, 0.84]", "[ACEV004, ACFU001, ACSP025, LAL020, LHY006, LUN012, MYSE003, OCE017, OCP002, ODE008, ODE015, PFF012, SAS024, SBB012, SEL020, SMA025, SNV009, STE019]"
8, 29.4, 72.458984, 90.00001, "[0.92, 0.86, 0.74, 0.88, 1.0, 0.82, 0.98, 1.0, 1.0, 0.8]", "[ACEV004, ACFU001, ACSP025, LAL020, LHY006, LUN012, MYSE003, OCE017, OCP002, ODE008, ODE015, PFF012, SAS024, SBB012, SEL020, SMA025, SNV009, STE019]"
9, 31.599995, 73.363014, 90.0, "[0.92, 0.86, 0.7, 0.94, 0.98, 0.84, 1.0, 1.0, 1.0, 0.76]", "[ACFU001, EAM001, EEE010, ERO039, FPA004, LAL020, LVE032, OCP002, ODE015, OFF012, PFF012, SAS024, SBB012, SEL020, SMA025, SNV009, STE019, SWA017]"
