Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 3.3999999, 48.828014, 82.200005, "[0.6, 0.9, 0.66, 0.68, 0.94, 0.68, 0.94, 1.0, 1.0, 0.82]", "[ACFU001, ECF011, EES008, EMM022, ERO021, LMC025, LUN012, SBB012, SGM018, SMA025, SMA034, SME012, SME021, SOD016, SPL009, SRR007, SSS025, STE019]"
1, 4.5999994, 57.99199, 82.600006, "[0.68, 0.9, 0.64, 0.8, 0.92, 0.64, 0.92, 0.98, 0.96, 0.82]", "[ACFU001, ECF011, EES008, EMM022, ERO021, LMC025, LUN012, SBB012, SGM018, SMA025, SMA034, SME012, SME021, SOD016, SPL009, SRR007, SSS025, STE019]"
2, 13.799999, 62.987995, 86.2, "[0.78, 0.92, 0.8, 0.82, 0.9, 0.68, 0.94, 0.98, 0.94, 0.86]", "[ACFU001, ECF011, EES008, EMM022, EPP016, LDG017, LUN012, OMA019, SBB012, SGM018, SMA025, SMA034, SOD016, SPL009, SRR007, SSS025, SST035, STE019]"
3, 19.6, 66.68099, 90.200005, "[0.84, 0.96, 0.86, 0.86, 0.98, 0.84, 0.88, 1.0, 0.98, 0.82]", "[ACEV017, ACFU001, ECF011, EES008, EMM022, EPP016, ERO021, LCC014, OCP002, PHE029, SBB012, SDD015, SMA025, SNB026, SOD016, SPL009, SRR007, STE019]"
4, 21.199999, 68.606026, 93.6, "[0.86, 0.96, 0.78, 0.94, 1.0, 0.94, 0.96, 1.0, 0.98, 0.94]", "[ACEV017, ACFU001, ECF011, EES008, EMM022, EPP016, ERO021, LCC014, LUN014, OCP002, PHE029, SBB012, SDD015, SMA025, SOD016, SPL009, SRR007, STE019]"
5, 22.999998, 70.88103, 95.0, "[0.9, 0.98, 0.88, 0.94, 0.98, 0.92, 0.98, 0.98, 1.0, 0.94]", "[ACCU018, ACFU001, ECF011, EES008, EMM022, EPP016, ERO021, ETT006, LBB020, LDG017, LRE027, LUN012, OFI022, SBB012, SMA025, SOD016, SPL009, STE019]"
6, 24.199999, 75.153015, 96.0, "[0.88, 0.98, 0.92, 0.88, 1.0, 0.98, 0.98, 1.0, 1.0, 0.98]", "[ACEV017, ACFU001, ECF011, EEG023, EES008, EMM022, EPP016, LCC014, LMC008, LUN014, OCP002, PHE029, SBB012, SMA025, SOD016, SPL009, SRR007, STE019]"
7, 19.2, 80.28601, 97.0, "[0.94, 0.98, 0.94, 1.0, 0.98, 0.96, 0.96, 1.0, 1.0, 0.94]", "[ACAZ008, ACEV017, ACFU001, EES008, EMM022, ERO021, FSP006, LCC014, LUN014, OCP002, OSH007, PHE029, SBB012, SDD015, SMA025, SOD016, SPL009, STE019]"
8, 38.4, 82.90899, 97.00001, "[0.94, 1.0, 0.94, 0.94, 1.0, 0.9, 1.0, 1.0, 1.0, 0.98]", "[ACFU001, ACGD009, ACWS011, ACWS021, EES008, EMM022, ERO021, LBB030, LMC025, LUN012, SBB012, SFO002, SMA025, SME021, SOD016, SPL009, SSS025, STE019]"
9, 39.399998, 87.117004, 97.399994, "[0.98, 1.0, 0.96, 0.96, 1.0, 0.92, 1.0, 1.0, 1.0, 0.92]", "[ACEV017, ACFU001, EES008, EMM022, ERO004, LCC014, LMC008, LUN014, OCP002, OCP006, OMA003, PHE029, SBB012, SMA025, SOD016, SPL009, SRR007, STE019]"
10, 38.2, 87.23301, 99.399994, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94]", "[ACFU001, ACGD009, ACMY003, ACWS011, ACWS021, EES008, ERO021, EWW028, LBB030, LMC025, LUN012, SBB012, SMA007, SMA025, SME021, SOD016, SSS025, STE019]"
11, 35.600002, 87.44898, 98.4, "[0.94, 0.98, 0.98, 1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 0.96]", "[ACFU001, ACGD009, ACGM052, ACMY003, ACWS021, EES008, ERO021, EWW028, LBB030, LMC025, LUN012, SBB012, SMA007, SMA025, SME021, SOD016, SSS025, STE019]"
12, 45.4, 89.68205, 99.799995, "[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACGD009, ACMY003, ACWS021, EES008, ERO021, EWW028, LBB030, LMC025, LRE017, LUN012, SBB012, SMA007, SMA025, SME021, SOD016, SSS025, STE019]"
13, 63.4, 92.73201, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACGD009, ACMY003, ACWS021, EES008, ERO021, EWW028, LBB031, LMC025, LRE017, LUN012, SBB012, SMA007, SMA025, SME021, SOD016, SSS025, STE019]"
14, 55.4, 94.71303, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACGD009, ACGM052, ACMY003, ACWS021, EES008, ERO021, ETT005, EWW028, LBB030, LEV004, LMC025, LUN012, SBB012, SMA025, SOD016, SSS025, STE019]"
15, 75.80001, 96.617065, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACGD009, ACMY003, ACWS011, EES008, EOW015, ERO021, EWW028, LBB030, LMC025, LTT024, LUN012, LVE018, SBB012, SMA007, SMA025, SOD016, STE019]"
16, 68.99999, 96.22901, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFE003, ACFU001, ACGD009, ACMY003, ACWS011, ACWS021, EES008, EWW028, LBB030, LMC025, LMC027, LUN012, SBB012, SMA025, SOD016, SSS025, STE019, SWA010]"
17, 77.0, 97.17502, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACGD009, ACMY003, ACWS021, EES008, EWW028, LBB031, LBI002, LMC025, LRE017, LUN012, SBB012, SFO021, SMA025, SOD009, SOD016, SSS025, STE019]"
18, 79.8, 97.33006, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFF006, ACFU001, ACGD009, ACMY003, ACWS011, ACWS021, EES008, EWW028, LBB030, LMC025, LMC027, LUN012, MYSE002, SBB012, SMA025, SOD016, STE019, SWA010]"
19, 76.2, 97.31902, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACGD009, ACMY003, ACTA021, ACWS011, ACWS021, EBT002, EES008, EWW028, LMC025, LMC027, LUN012, SBB012, SMA025, SOD016, SSS025, STE019, SWA010]"
20, 83.00001, 97.10101, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFF006, ACFU001, ACGD009, ACGM047, ACMY003, ACWS021, EMM029, EWW028, LBB030, LMC025, LMC027, LPR012, LUN012, SBB012, SMA025, SOD016, STE019, SWA010]"
21, 77.2, 97.56502, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL013, ACFU001, ACGD009, ACGM052, ACMY003, ACWS021, EES008, ERO021, EWW028, LMC025, LUN012, LVE012, PHE003, PHE031, SBB012, SMA025, SOD016, STE019]"
22, 86.6, 97.58004, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFE003, ACFU001, ACGD009, ACMY003, ACWS021, EES008, ERO009, EWW028, LBB006, LDG009, LMC025, LUN012, OSH001, SBB012, SMA025, SOD016, SSS025, STE019]"
