Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.8377777, 19.466665, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06, 0.08, 0.94, 1.0, 0.84]", "[ACAZ003, ACPH004, EDO004, EOW024, LPR001, LTT004, OFI039, OMA019, ORR007, OWA008, SAA009, SMA025, SNV021, SOD023, SRR017, STE005, STE019, STR029]"
1, 0.0, 2.8364425, 18.533333, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.86, 0.9, 0.82]", "[ACAZ003, ACPH004, EDO004, EOW024, LPR001, LTT004, OFI039, OMA019, ORR007, OWA008, SAA009, SMA025, SNV021, SOD023, SRR017, STE005, STE019, STR029]"
2, 0.0, 7.5688868, 22.000002, "[0.0, 0.06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18, 0.2, 0.98, 1.0, 0.88]", "[ACAZ003, ACPH004, EDO004, EOW024, LTT004, OFI039, OMA019, ORR007, OWA008, PHE012, SBB007, SMA025, SNV021, SOD023, SRR017, STE005, STE019, STR029]"
3, 0.0, 13.136001, 24.0, "[0.0, 0.08, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36, 0.18, 0.96, 0.96, 0.98]", "[ACAZ003, ACPH004, EDO004, EOW024, LTT004, LVE026, OMA019, ORR007, OWA008, PHE012, SBB007, SMA025, SNV021, SOD023, SRR017, STE005, STE019, STR029]"
4, 2.3999999, 18.78, 29.333336, "[0.0, 0.24, 0.1, 0.0, 0.0, 0.04, 0.0, 0.0, 0.02, 0.0, 0.54, 0.5, 1.0, 0.98, 0.98]", "[ACAZ003, LPR020, LTT004, ODE015, OEV003, OFI039, OMA019, ORR007, OWA008, SAA009, SCO021, SMA025, SNV021, SOD023, SRR017, STE005, STE019, STR029]"
5, 3.4666665, 21.10578, 31.066666, "[0.0, 0.26, 0.18, 0.0, 0.0, 0.02, 0.0, 0.04, 0.0, 0.02, 0.64, 0.52, 1.0, 1.0, 0.98]", "[ACAZ003, ACHA007, ACPH004, ECF003, EOW024, ESY002, LTT004, ODE015, OFI039, ORR007, OSH012, OWA008, SAA009, SMA025, SNV021, SRR017, STE019, STR029]"
6, 4.4000006, 23.861792, 32.933334, "[0.0, 0.24, 0.18, 0.0, 0.02, 0.1, 0.0, 0.1, 0.02, 0.0, 0.64, 0.68, 1.0, 1.0, 0.96]", "[ACAZ003, ACPH004, EDO004, OCP013, ODE015, OFI039, ORE012, ORR007, OSH012, OWA008, SGM030, SGM033, SMA025, SNV021, SOD023, SRR017, STE019, STR029]"
7, 6.666667, 26.551115, 35.600002, "[0.02, 0.36, 0.28, 0.0, 0.04, 0.06, 0.0, 0.04, 0.04, 0.02, 0.76, 0.72, 1.0, 1.0, 1.0]", "[ACAZ003, EDO004, LPL004, LTT004, LVE026, OMA019, ORE012, OWA008, PHE012, SBB007, SEL020, SMA025, SNV021, SOD023, SRR017, STE005, STE019, STR029]"
8, 8.266666, 28.535131, 39.86667, "[0.0, 0.56, 0.3, 0.1, 0.06, 0.1, 0.04, 0.08, 0.08, 0.02, 0.84, 0.8, 1.0, 1.0, 1.0]", "[ACAZ003, ACOO016, LPL012, LPR020, ODE015, OEV003, OFI039, ORR007, SAA009, SCO021, SMA025, SNV021, SOD016, SOD023, SRR017, STE005, STE019, STR029]"
9, 10.4, 30.203125, 46.666664, "[0.02, 0.68, 0.46, 0.18, 0.24, 0.28, 0.06, 0.2, 0.08, 0.06, 0.84, 0.9, 1.0, 1.0, 1.0]", "[ACPH004, EDO004, EJP027, LAL024, LBU027, OCP013, ODE015, OFI039, OSH012, OWA008, SAA009, SGM030, SMA025, SNV021, SOD016, SOD023, SRR017, STE019]"
