Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACOO011, ACWS007, EHH009, EJP017, EOW026, LAL027, LRE004, LVE007, OWA007, PAN011, PAN020, SBB013, SFO009, SME019, SNB018, SOD009, SPI017, SWA022]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPP022, ACPP035, ACPY002, EHH004, EMM006, EMM017, ERO024, FSP007, LAM005, LBU020, LMA053, LPL013, LRE014, LVE012, SME001, SNV016, SOD014, SPI016]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL015, ACEV004, ACNO039, EDO001, EOW006, ERO035, FSP003, LCA004, LMA002, LMC012, LPL004, LPR012, OMA016, SEV005, SFO019, SIW018, SMO015, SNB023]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEV003, ACEV004, ACTO002, EES003, EJF019, EMM006, LMC020, LPR001, LTT006, MYHI002, OMA023, OMW014, SFN011, SMW008, SNV007, SNV008, SNV041, SRR002]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACTA001, EEE002, EHH008, ERO016, EWW009, HEV003, LMA036, LMA060, LPL035, OMA004, ORR003, OSH003, SCC003, SFO014, SMA014, SMA029, SME021, SNV004]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM010, ACPH010, ACPP031, ECF014, ELT008, EOW009, EWW019, LDG014, LEV005, LMA033, LPR008, OFF015, OWA013, PAN012, PMO010, SFO018, SOD010, STR005]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAZ002, ACAZ006, EHH009, EOW026, HEV006, LBU039, LPR020, LTT021, LVE035, ODE016, OFF015, OFI013, POM007, SEL020, SMT008, SNV010, SPP001, SST015]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE012, ACGM004, EEG021, EES019, EWO014, LAL008, LMC020, LPL015, LUN007, MYSE001, OFF004, ORE005, PMO014, POM003, SEN012, SME017, SPI016, SSS005]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU033, ACGM050, EAG009, EES007, EES021, EJP018, EWW014, FHI006, LMC034, ORR010, ORR019, PHE011, SBB003, SFN013, SGM017, SMO019, SNB020, SWA017]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE022, EDO008, EMM034, FLL002, LMA002, LMA037, LMC023, LPR028, LTT007, LTT012, OEV001, OFI001, PMO011, PMO017, SMO003, SPI008, SRR017, STE020]"
