Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL005, ACAL034, ACNO032, ACWS018, EEE008, ESS019, LAM010, LUN026, OBI023, OFI022, OMA009, OSH012, SGD006, SGD009, SMW018, SNV036, SSS012, STR029]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL005, ACAL034, ACNO032, ACWS018, EEE008, ESS019, LAM010, LUN026, OBI023, OFI022, OMA009, OSH012, SGD006, SGD009, SGM010, SMW018, SNV036, STR029]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU006, ACCU033, ACIM001, HEV004, LAL002, LCC007, LMC004, LTT012, OCE003, OCE020, SEV001, SGD008, SMA006, SMA021, SOD005, SPI008, SSC007, SWA001]"
3, 0.0, 0.0013333333, 0.13333333, "[0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFF005, ACOO018, EEE004, EMM009, FPA001, LBB006, LDG022, LPR028, LRE008, LVE032, MYLO002, MYSE004, SBB017, SGM007, SMA025, SMO011, SNV041, SWA028]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEM018, ACGD014, ACGM013, ACGM035, EEG009, EPP026, FHI006, FSE003, LCA007, LPL002, LUN016, OCE008, PHE028, SBB001, SBB016, SFO010, SGD009, SWA009]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFF005, ACHA013, EDO011, EEE004, EEE010, EMM009, FPA001, LBB006, LPR028, LVE032, MYLO002, SBB017, SGM007, SMA029, SMO011, SNV043, SOD032, SWA028]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACMU006, ACSP001, EAG010, ECF003, EEG011, EJP024, EMM019, EWW032, LCA006, LCA014, OFI010, OMA027, PHE018, SGM018, SNV004, SNV020, SPI028, SST012]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPP005, ESS007, FLL002, LAL015, LAL032, LHY006, LMA015, LMC023, ODE011, SAS021, SCC002, SGD011, SMT003, SNV013, SNV024, SNV043, SSS023, SST007]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEM031, ACPP005, ERO008, LDG008, LRE009, LRE027, LTT003, LUN002, LVE023, OBI015, SAS012, SFN023, SFO002, SFR006, SOD020, SOD031, SST021, SWA007]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM023, ACOO012, ACOO018, ACWS012, EHH016, ERO033, EWW032, LCA010, OMA030, OMW015, PCA002, SCO001, SFO017, SGD008, SGM025, SIW001, SRR010, SSC001]"
