Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL035, ACAM001, ACCU031, ACFF004, ACMO003, ACMO005, EES013, EJP026, LBI009, LHY001, OFF003, PAN019, SCO025, SMA033, SNB018, SRR004, SRR015, SST008]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU023, ACGM029, ACNO035, ACOO018, ECF011, EEG002, HEV006, LMA047, LMC012, LPL015, LUN012, OCP008, PAN011, PCA038, SFO025, SNV007, SRR010, SSS001]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACOO010, EEG027, EWO005, EWW036, OSH007, SAS005, SBB001, SBB003, SFR005, SMW005, SMW008, SNB005, SNV010, SPP004, SRR011, SSS001, SSS003, SZO004]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU026, ACFE021, ACGM017, ACGM040, EDO003, EPP029, LCR008, LDG010, LVE016, OMA023, PFF008, SAS021, SCO001, SCO004, SFO008, SMA014, SNV021, SOD017]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEV005, ACSP024, ACTA008, ECF011, EWW032, LAL032, LBU027, LUN006, MYHI001, ORF002, OSH011, OWA005, PCA006, PHE004, SAA008, SGD012, SSS018, STR005]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACNO039, EBT005, EDO014, EJP004, ESS008, LBB004, LBI005, LCA016, LMA011, LUN002, PHE031, PMO015, SAS021, SEL011, SFO014, SOD009, SOD033, SPI010]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU030, ACHA013, ACMY002, EES008, EJP005, ERO010, HEV006, LBB010, LBI023, OEV005, OFF017, PHE021, SGM018, SGM024, SNV012, SRR007, SRR010, SZO009]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU030, ACMY002, EBT006, EES008, EJP005, ERO010, HEV006, LBB010, LBI023, OEV005, OFF017, PHE021, SGM018, SGM024, SNV012, SRR007, SRR010, SZO009]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL008, ACCU023, ACFE023, EHH004, EWO003, FHI006, FSC004, LBU039, LPR026, LRE026, LTT026, ORR008, OWA003, SME021, SMW011, SMW017, SSC007, SST012]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL031, ACCU030, ACHA013, ACMY002, EES008, ERO010, HEV006, LBB010, LVE030, OFF017, PAN014, PHE021, SGM024, SMO018, SNV012, SRR010, STE019, SZO009]"
