ACOO018,EHC002,ERO008,ESY007,LBI046,LMA055,MYHI002,MYSE003,OBI023,OFI016,OSH006,SFN001,SFN026,SIW012,SMA021,SPI008,SST016,SZO006
ACEV015,ACNO017,ACRR006,EDO017,EJP020,EMM002,EWW003,LPR015,MYSE002,OFI011,OSH011,PCA031,PHE017,SGD013,SIW017,SPL005,SSS002,SST033
ACGM004,ACGM033,ACTO003,ACWS022,EAF003,EAG028,EHH016,EWO020,LBI012,LPL012,LRE031,OCP010,ODE008,PAN009,PAN019,SSS028,STE010,STE012
ACCU022,ACOO003,EJP020,EMM002,LBB003,LCA032,LPR015,LVE017,LVE019,OFI011,ORR005,OSH011,PFF019,PHE007,PHE017,SAA003,SGD013,SIW017
ACGD001,ACNO017,EJP020,EMM002,FSC007,LPR015,OFI040,OSH011,PHE017,PHE024,SGD013,SIW017,SMO005,SNB008,SPL005,SSS002,SSS017,SST033
ACTA017,EBT001,ELT011,LAM027,LBI039,LCR003,LUN020,MYSC001,OCP014,OMW001,OWA020,PCA005,PFF012,POM020,SGM032,SIB006,SIB007,SMA025
ACTA017,EBT001,EDO022,LAM027,LBI039,LCR003,OBI027,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SGM032,SMA025,SZO011
ACTA017,EDO022,ELT011,LAM027,LBI039,LCR003,OMW001,OMW010,OWA010,OWA020,PAN003,PFF012,PHE026,POM020,SFN001,SGM032,SIB006,SMA025
ACTA017,EDO022,ELT011,LAM027,LBI039,LCR003,OMW001,OWA010,OWA020,PAN003,PFF012,PHE026,POM020,SFN001,SFO011,SGM032,SIB006,SMA025
ACTA017,EBT001,EDO006,EDO022,ELT011,LBI039,LCR003,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SGM032,SMA025,SZO011
ACCU022,ACEV008,ACOO003,ACPP035,EMM002,LCA032,LPR015,LVE017,LVE019,OFI011,ORR005,OSH011,PFF019,PHE007,PHE017,SAA003,SGD013,SIW017
ACEM006,ACGM004,ACTO003,ACWS022,EAF003,EAG028,EHH016,EWO020,LBI012,LBI040,LPL012,LRE031,OCP010,ODE008,PAN009,PAN019,SPI017,SSS028
ACOO018,EEE015,EHC002,EMM007,ERO008,LAL006,LBI046,MYHI002,MYSE003,OBI023,OFI016,OSH006,PMO020,SFN001,SFN026,SPI008,SST016,SZO006
ACTA017,EBT001,EDO022,ELT011,EPP015,LAM027,LBI039,LCR003,OMW001,OWA010,OWA020,PFF012,PHE026,POM020,SFN001,SGM032,SMA025,SZO011
ACTA017,EBT001,EDO022,ELT011,LAL011,LBI039,LCR003,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SGM032,SIB006,SMA025
ACTO002,ACTO003,EAF003,EAG028,EHH016,EWO020,LBI040,LPL012,LPL030,LRE031,OCP010,ODE008,PAN009,PAN019,SSS004,SSS028,STE010,STE012
ACTA017,EBT001,EDO022,ELT011,EPP003,FSP004,LBI039,LCR003,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SGM032,SMA025
ACNO017,ACWS021,EEG015,EJP020,EMM002,FSC007,LPR015,OFI040,OSH011,PHE017,PHE024,SIW017,SMO005,SNB008,SPL005,SSS002,SSS017,SST033
EBT001,EDO022,ELT009,ELT011,EPP003,LAM027,LBI039,LCR003,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SGM032,SMA025
ACNO017,ACNO039,ACSP005,ERO013,ERO023,LHY005,LPR008,LPR009,LPR015,OCE005,OCE019,OFI040,OSH011,SEN019,SIW007,SIW017,SME008,SME012
EDO022,ELT011,LAM027,LBI039,LCR003,OMW001,OWA010,OWA020,OWA022,PAN003,PCA005,PFF012,PHE026,POM020,SFN001,SGM032,SIB006,SMA025
EBT001,ELT011,LAM027,LBI039,LCR003,LUN020,MYSC001,OMW001,OWA015,OWA020,PCA005,PFF012,PHE026,POM020,SGM032,SIB006,SIB007,SMA025
ACFE017,ACTA017,EBT001,ELT011,LAM027,LBI039,LCR003,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SGM032,SIB006,SMA025
ACTA017,EBT001,ELT011,LAL008,LAM027,LBI039,LCR003,LUN020,MYSC001,ODE013,OMW001,OWA020,PCA005,PFF012,PHE026,POM020,SGM032,SMA025
ACTA017,EBT001,EDO022,ELT011,EPP003,FSP004,LAM027,LBI039,LCR003,OMW001,OWA010,OWA020,PCA005,PFF012,POM020,SFN001,SGM032,SMA025
ACGM027,ACTA017,ELT011,LAM027,LBI039,LCR003,LUN020,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SGM032,SIB006,SNB006
ACEV015,ACOO003,EJP020,EMM002,LBI012,LBU032,LHY002,LPR015,OBI016,OCE005,OFI011,OFI040,OSH011,PCA013,PHE017,SAA003,SMO023,STR013
ACGM004,ACTO002,ACTO003,ACWS022,EAG028,EHH016,EWO020,LBI012,LDG025,LPL012,LRE031,OCP010,ODE008,PAN009,PAN019,SSS028,STE010,STE012
ACMU010,ACNO017,ACSP005,EMM002,ERO013,LHY005,LPR009,LPR015,LTT011,OCE005,OCE019,OFI040,OSH011,SBB016,SEN019,SIW007,SIW017,SME012
ACTA017,EBT001,EDO022,LAM027,LBI039,LBU015,LCR003,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SGM032,SMA025,SZO011
ACTA017,EDO022,EHH006,ELT011,LAM027,LBI039,LCR003,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SGM032,SIB006,SMA025
ACTA017,EBT001,ECF012,ELT011,LAL008,LAM027,LBI039,LCR003,LUN020,MYSC001,OMW001,OWA020,PCA005,PFF012,PHE026,POM020,SGM032,SMA025
ACAL038,ACEV015,ACOO003,EJP020,EMM002,LBI012,LBU032,LPR015,LVE017,OCE005,OFI011,OFI040,OSH011,PCA013,PHE017,SAA003,SMO023,STR013
ACOO018,EHC002,EWO017,EWW014,LCC020,LUN005,MYSE003,OBI023,OFI016,OWA001,PMO020,SFN001,SGM013,SHN002,SIB001,SPL004,SZO006,SZO011
ACFU002,ACOO018,EEE015,EHC002,ERO008,LBI046,MYHI002,MYSE003,OFI016,OSH006,PMO020,SEL017,SFN001,SFN026,SMA021,SPI008,SST016,SZO006
ACPH003,ACTA017,EBT001,ELT011,LAM027,LBI039,LCR003,LUN020,OMW001,OWA020,PCA005,PFF012,POM020,SCO005,SFN001,SGM032,SIB006,SMA025
ACTA017,EBT001,ECF019,EDO022,ELT011,LAM027,LBI039,LCR003,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SGM032,SMA025,SZO011
