Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0019999999, 0.099999994, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0]", "[ACEV014, ACPH002, EAG018, EHC006, EJF014, EOW002, EWW036, LAM009, LBI035, LBI038, OMA009, PAN023, PCA010, POM019, SCO011, SFO007, SMA025, SNV036]"
1, 0.0, 0.0039999997, 0.099999994, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0]", "[ACEV014, ACPH002, EAG018, EHC006, EJF014, EOW002, EWW036, LAM009, LBI035, LBI038, PAN023, PCA010, POM019, SCO011, SFO007, SMA025, SNV036, SZO003]"
2, 0.0, 0.0059999996, 0.099999994, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0]", "[EPP027, LBU007, LBU035, LCR010, LVE014, LVE028, MYSE005, OBI007, OCE005, OMA013, PCA035, SBB012, SHN002, SMW011, SNB007, SRR004, SST005, STE019]"
3, 0.0, 0.01, 0.19999999, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, 0.0, 0.0]", "[ACPH002, EAG018, EHC006, EJF014, EOW002, EWW036, LAM009, LAM027, LBI035, LBI038, OMA009, PCA010, POM019, SCO011, SEN017, SFO007, SMA025, SNV036]"
4, 0.0, 0.030000001, 0.3, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0]", "[ACPH002, ACSP026, EAG018, EHC006, EJF014, EOW002, ESS012, EWW036, LAM009, LBI035, LBI038, ODE001, PCA010, POM019, SFO007, SMA025, SNV036, SZO003]"
5, 0.0, 0.08399999, 0.5, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.06, 0.0, 0.0]", "[ACGM042, ACPH002, EAG018, EHC006, EJF014, EOW002, EWW036, LAM027, LBI035, LBI038, LVE012, OMA009, PCA010, POM019, SCO011, SEN017, SMA025, SNV036]"
6, 0.0, 0.146, 1.0, "[0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.14, 0.0, 0.0]", "[ACGM042, ACPH002, EAG018, EHC006, EJF014, EOW002, EWW036, LAM027, LBI035, LBI038, LVE012, OCP003, OMA009, PCA010, SCO011, SEN017, SMA025, SNV036]"
7, 0.0, 0.24199998, 1.2, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.06, 0.14, 0.0, 0.0]", "[ACGM042, ACPH002, EAG018, EHC006, EJF014, EOW002, EWW015, EWW036, LAM027, LBI035, LBI038, LVE012, OCP003, OMA009, PCA010, SCO011, SMA025, SNV036]"
8, 0.0, 0.33400002, 1.3, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.02, 0.1, 0.1, 0.0, 0.0]", "[ACGM042, ACPH002, ACWS022, EAG018, EJF014, EOW002, EWW015, EWW036, LAM027, LBI035, LBI038, LVE012, OCP003, OMA009, PCA010, SCO011, SMA025, SNV036]"
9, 0.0, 0.5039999, 1.4000001, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.12, 0.1, 0.0, 0.0]", "[ACPH002, EAG018, EHC006, EHH001, EJF014, EOW002, EWW015, EWW036, LAM027, LBI035, LVE012, OCP003, OMA009, PCA010, SCO011, SMA004, SMA025, SNV036]"
