Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 50.799995, 95.91132, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACGD005, ACGD009, ECF010, ECF012, EMM022, EWW028, LPR012, LVE032, OCE009, OCP002, SBB012, SMA025, SMW010, SNV017, SOD016, SST033, STE019]"
1, 79.6, 96.41398, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACGD009, EMM022, EWW028, LDG011, LMA005, LPR012, LVE032, OCE009, OCP002, POM006, SBB012, SMA025, SNV017, SOD016, STE019, SUM001, SZO003]"
2, 77.4, 96.63731, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACPH012, ACWS003, EES008, EWW015, EWW028, LPR012, LVE032, MYHI002, OCE009, OCP002, SBB012, SGM023, SMA025, SNV017, SOD016, SST005, STE019]"
3, 82.0, 97.31332, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACMO002, ACWS003, EES008, EES009, EWW015, EWW028, FHI004, LPR012, LVE032, OCE009, OCP002, SBB012, SMA025, SNV017, SOD016, SST005, STE019]"
4, 78.4, 97.44537, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACIM014, ACWS003, EES005, EES008, EWW015, EWW028, LPR012, LVE032, MYHI002, OCE009, OCP002, PCA012, SBB012, SMA025, SOD016, SST005, STE019]"
5, 81.8, 97.74933, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, EAG003, EES008, EJP014, EWW015, EWW028, LPR012, LVE032, MYHI002, OCE009, OCP002, SBB012, SMA024, SMA025, SMA029, SNV001, SOD016, STE019]"
6, 84.4, 97.625336, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACIM014, EAG022, EES005, EES008, EHH010, EWW028, LPR012, LVE032, MYHI002, OCE009, OCP002, PCA012, SBB012, SMA025, SOD016, SST005, STE019]"
7, 83.600006, 98.04138, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, EAG003, EES008, EWW028, LCC014, LPR012, LVE032, OCE009, OCP002, OEV002, SBB012, SDD026, SEL017, SMA025, SMA029, SNV001, SOD016, STE019]"
8, 83.8, 98.10864, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAM001, ACFU001, EAG003, EES008, EWW028, LBI025, LPR012, LVE032, OCE009, OCP002, SBB012, SDD026, SEL017, SMA025, SMA029, SNV001, SOD016, STE019]"
9, 85.200005, 97.87937, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFE016, ACFU001, EES008, EWW015, EWW028, LPR012, LUN034, LVE032, MYHI002, OCE009, OCP002, ORR009, PCA012, SBB012, SMA025, SOD016, SOD031, STE019]"
10, 81.8, 98.076, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFE016, ACFU001, EES008, EWW015, EWW028, LPR012, LUN034, LVE032, MYHI002, OCE009, OCP002, ORR009, PCA012, SBB012, SDD025, SMA025, SOD016, STE019]"
11, 89.0, 98.33067, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACIM014, ACWS003, EES008, EJP014, EWW015, EWW028, LAM003, LPR012, LVE032, OCE009, OCP002, OFI027, SBB012, SEL006, SMA025, SOD016, STE019]"
12, 84.0, 97.98667, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACWS021, EES008, EWW015, EWW028, LBI010, LPR012, LUN007, LVE032, OCE009, OCP002, PAN025, SBB012, SMA025, SOD016, SOD022, SSS023, SST005, STE019]"
13, 89.600006, 98.2187, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, EES008, EJP014, EWW028, LPR012, LVE032, MYHI002, OCE009, OCP002, OMA020, ORF006, SBB012, SFO022, SMA025, SNB001, SNV001, SOD016, STE019]"
14, 84.0, 98.408714, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACWS003, EES008, EJP014, EWW015, EWW028, LAM003, LAM019, LPR012, LVE032, OBI005, OCE009, OCP002, OFI027, SBB012, SMA025, SOD016, STE019]"
15, 82.4, 98.268036, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACTA019, EES008, EWW028, LVE032, OCE009, OCP002, ODE002, SBB012, SDD026, SEL017, SMA012, SMA025, SMA029, SNV001, SOD016, SSS032, STE019]"
16, 85.600006, 98.082695, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL023, ACFU001, EES008, EMM034, EWW028, FPA005, LMC023, LPR012, LVE032, OCP002, ORR009, PCA012, PHE031, SBB012, SMA025, SNB021, SOD016, STE019]"
17, 83.4, 98.053345, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL023, EES008, EMM034, EPP017, EWW028, FPA005, LPR012, LVE032, MYHI003, OCP002, ODE024, OMA004, PCA012, SBB012, SMA025, SOD016, SSC003, STE019]"
18, 84.4, 98.123985, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, EAF001, EEE008, EES005, EES008, EWW028, LPR012, LVE032, OCE009, OCP002, ODE016, SBB012, SFO022, SMA025, SNB001, SNV001, SOD016, STE019]"
19, 87.799995, 98.46668, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, EES008, EWW028, EWW035, LPR012, OCE009, OCP002, ODE002, OFI023, OFI029, PAN018, SBB012, SEL017, SMA025, SMA029, SMO028, SOD016, STE019]"
20, 87.600006, 98.50271, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, EDO017, EES008, EMM034, ETT006, EWO018, EWW028, FPA005, LBI036, LCA014, LPR012, OCE009, OCP002, ORR009, SBB012, SMA025, SOD016, STE019]"
21, 82.19999, 98.65201, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACMO002, EDO017, EES008, EMM034, EWO018, EWW022, EWW028, LCA014, LPR012, LVE032, OCE009, OCP002, ORR009, SBB012, SMA025, SOD016, STE019]"
