Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 37.199997, 79.09532, 97.8, "[0.98, 0.98, 0.92, 1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 0.92]", "[ACFU001, EES008, EPP015, EWO015, LBU042, LDG008, LPR012, LVE032, OCE009, OCP002, ODE008, SBB012, SFN026, SMA025, SMA036, SOD016, STE019, SWA024]"
1, 50.6, 83.85597, 98.79999, "[1.0, 1.0, 0.94, 0.98, 1.0, 0.98, 1.0, 1.0, 1.0, 0.98]", "[ACAL002, ACFU001, EES008, LBU012, LBU042, LCA021, LDG008, LPR012, LVE032, OCP002, OFI021, SBB012, SCO008, SMA025, SMA036, SOD016, STE019, SWA024]"
2, 59.000004, 85.286, 98.79999, "[1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98]", "[ACAL002, ACFU001, EES008, LBU042, LCA021, LDG008, LPR012, LVE032, OCP002, OFI021, SBB012, SCO008, SMA025, SMA036, SOD016, SPL007, STE019, SWA024]"
3, 55.0, 87.15134, 99.6, "[0.98, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM004, ACFU001, ACSP008, EES008, EMM034, LMA021, LMC008, LPR012, LVE032, OCE009, OCP002, PCA031, SBB012, SMA025, SMO012, SOD016, STE019, SZO011]"
4, 51.4, 88.09938, 99.40001, "[1.0, 0.98, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, EES008, LBU042, LCA021, LDG008, LPR012, LVE032, OCP002, OFI021, SBB012, SCO008, SIW001, SMA025, SMA036, SOD016, SPL007, STE019, SWA024]"
5, 56.600006, 89.950676, 99.799995, "[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, EES008, LCA021, LDG008, LPR012, LPR024, LVE032, OCE009, OCP002, OMA005, SBB012, SFN011, SMA025, SMA036, SOD016, STE019, STE022, SWA024]"
6, 59.600002, 91.22264, 99.799995, "[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM004, ACFU001, ACSP008, EES008, EJF015, EMM034, LMA021, LPR012, LVE032, OCE009, OCP002, SBB012, SMA002, SMA025, SMO012, SOD016, STE019, SZO011]"
7, 57.4, 92.13536, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, EES008, LCA021, LDG008, LPR012, LPR024, LVE032, OCE009, OCP002, OMA005, SBB012, SFN011, SFO003, SMA025, SMA036, SOD016, SOD019, STE019]"
8, 39.399998, 93.009964, 99.799995, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98]", "[ACFU001, ACGM028, EES008, LCA021, LDG008, LPR012, LVE032, OCE009, OCP002, OMA005, SBB012, SFN011, SFO003, SMA025, SMA036, SOD016, SOD019, STE019]"
9, 65.8, 93.680016, 99.799995, "[1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, EES008, LCA021, LDG008, LPR012, LVE032, OCE009, OCP002, OMA005, SBB012, SFN011, SFO003, SGM018, SMA025, SMA036, SOD016, SOD019, STE019]"
