Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU024, ACTA007, EHH006, HEV007, LMC034, OBI007, OCE022, OFI040, OMA034, PCA019, PIC001, POM002, SAS012, SCO028, SFN021, SOD008, SST007, SWA001]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[EAG011, EES004, FSP008, LCA012, LMA013, LMA014, LPR019, LTT019, OMA033, ORE024, ORR020, POM003, SAS011, SIW002, SNV032, SOD033, SST039, SZO006]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAZ008, ACEM003, ACEM027, ECF009, LAL006, LAL017, LBU021, LCA002, LDG021, LMA057, PAN008, PFF001, PFF017, PHE011, SEN007, SME006, SME011, SPL010]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE004, ACMU001, EHC001, EOW026, EPP019, ETT001, EWW028, LBU040, LCA021, LCC020, LRE010, LRE024, PCA030, PHU002, PIC013, PIC014, SBB011, SMO015]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFF001, ACHA011, ACNO016, EDO003, EMM008, EOW004, FSC005, LMA012, LMC025, LMC029, LPL001, OWA010, PHE029, SAS009, SIW009, SMT005, SSS017, STE005]"
5, 0.0, 0.0013333332, 0.39999998, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0]", "[ACFU002, ACMU001, EHC001, EJF013, EOW026, EWW028, LAM024, LBU040, LCA021, LCC020, PCA030, PHU002, PIC001, PIC013, PIC014, PMO024, SBB011, SBB012]"
6, 0.0, 0.004666667, 0.39999998, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0]", "[ACFU002, ACMU001, EJF013, EOW026, EWW028, LAM024, LBU040, LCA021, LCC020, PCA030, PHU002, PIC001, PIC013, PIC014, PMO024, SBB011, SBB012, SFN015]"
7, 0.0, 0.03, 0.79999995, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08, 0.0]", "[ACFU002, ACMU001, EJF013, EOW026, ERO015, EWW028, LAM024, LBU040, LCC020, PCA030, PHU002, PIC001, PIC013, PIC014, PMO024, SBB011, SBB012, SFN015]"
8, 0.0, 0.057999995, 1.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, 0.06, 0.0]", "[ACFU002, ACOO009, EHC001, EJF013, EOW026, EWW028, EWW036, LAM024, LBU040, LCA021, PCA030, PHU002, PIC001, PIC014, PMO024, SBB011, SBB012, SMA001]"
9, 0.0, 0.16400005, 2.0, "[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.04, 0.04, 0.1, 0.0]", "[ACFU002, ACOO009, EHC001, EJF013, EOW026, EWW028, EWW036, LAM016, LAM024, LBU040, LCA021, PCA030, PIC001, PIC014, PMO024, SBB011, SBB012, SMA001]"
10, 0.0, 0.30199987, 2.0, "[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.06, 0.12, 0.0]", "[ACFU002, EHC001, EJF013, EJP014, EOW026, EWW028, EWW036, LAM016, LAM024, LBU040, LCA021, PCA030, PIC001, PIC014, PMO024, SBB011, SBB012, SMA001]"
11, 0.0, 0.5139995, 20.4, "[0.06, 0.06, 0.02, 0.12, 0.28, 0.02, 0.42, 0.46, 0.54, 0.06]", "[ACFU002, ACMU001, EJF013, EOW026, EWW028, LAM024, LCA021, LCC005, LCC020, PHU002, PIC010, PIC014, PMO024, SBB011, SBB012, SGM024, SMA025, SPL005]"
12, 0.0, 1.1413336, 24.199999, "[0.16, 0.08, 0.02, 0.1, 0.4, 0.02, 0.56, 0.38, 0.66, 0.04]", "[ACFU002, ACOO009, EHC001, EJF013, EWW028, EWW036, LAM024, LBU040, LMA029, PCA030, PHU002, PIC001, PIC014, SBB011, SBB012, SMA001, SMA025, SPI003]"
13, 0.0, 2.8886669, 29.199999, "[0.18, 0.14, 0.0, 0.2, 0.48, 0.02, 0.58, 0.54, 0.68, 0.1]", "[ACFU002, ACMU001, ECF018, EJF013, EOW026, EWW028, LCA021, LCC005, LCC020, PHU002, PIC010, PIC014, PMO024, SBB011, SBB012, SGM024, SMA025, SPL005]"
14, 0.0, 7.6126685, 33.399998, "[0.26, 0.16, 0.0, 0.22, 0.5, 0.14, 0.66, 0.64, 0.7, 0.06]", "[ACMU001, ACMY003, EJF013, EOW026, EWW028, LAM024, LCC020, LPL034, LPR021, PHU002, PIC010, PIC014, PMO024, SBB011, SBB012, SGM024, SMA025, SPL005]"
15, 0.0, 17.616667, 45.4, "[0.38, 0.36, 0.06, 0.36, 0.68, 0.14, 0.8, 0.66, 0.94, 0.16]", "[ACMU001, ACMY003, EJF013, EOW026, EWW028, LAM024, LCC020, LPR021, PHU002, PIC010, PIC014, PMO024, SBB011, SBB012, SDD026, SGM024, SMA025, SPL005]"
16, 0.0, 23.418657, 51.600002, "[0.44, 0.42, 0.06, 0.6, 0.72, 0.26, 0.88, 0.76, 0.92, 0.1]", "[ACMU001, ACMY003, EJF013, EOW026, EWW028, LBU027, LCC020, LPR021, PHU002, PIC010, PIC014, PMO024, SBB011, SBB012, SDD026, SGM024, SMA025, SPL005]"
17, 0.0, 28.118002, 55.000008, "[0.6, 0.56, 0.1, 0.58, 0.72, 0.16, 0.92, 0.8, 0.9, 0.16]", "[ACMU001, ACMY003, EJF013, EOW026, EWW028, LAM020, LAM024, LPR021, PIC010, PIC014, PMO024, SBB011, SBB012, SDD026, SGM024, SMA025, SPL005, STR023]"
18, 1.0, 33.482666, 55.6, "[0.62, 0.42, 0.26, 0.44, 0.7, 0.26, 0.9, 0.88, 0.96, 0.12]", "[ACMU001, ACMY003, EJF013, EWW028, LAM020, LAM024, LPR021, PIC010, PIC014, PMO024, SBB011, SBB012, SDD026, SGM024, SMA025, SPL005, STR023, SWA016]"
19, 0.79999995, 38.276653, 60.2, "[0.58, 0.6, 0.14, 0.58, 0.78, 0.38, 0.96, 0.86, 0.98, 0.16]", "[ACMY003, EBT004, EJF013, EOW026, EWW028, LAM024, LPR021, PHU002, PIC010, PIC014, SBB011, SBB012, SCD002, SDD005, SDD026, SGM024, SMA025, SMA035]"
20, 2.7999997, 42.123993, 70.00001, "[0.74, 0.64, 0.22, 0.78, 0.88, 0.44, 0.98, 0.98, 0.98, 0.36]", "[ACAL026, ACMU001, ACMY003, ACOO014, ACPP031, EJF013, EMM034, EWW028, LCC020, LPL034, LPR012, PHU002, PIC010, PIC014, PMO024, SBB012, SGM024, SMA025]"
21, 2.4, 43.760666, 73.8, "[0.74, 0.56, 0.3, 0.74, 0.98, 0.66, 0.98, 0.94, 1.0, 0.48]", "[ACAL026, ACMU001, ACMY003, ACOO014, ACPP031, EMM034, EWW028, FLL004, LCC020, LPL034, LPR012, PHU002, PIC010, PIC014, PMO024, SBB012, SGM024, SMA025]"
22, 3.1999998, 47.357323, 74.0, "[0.76, 0.88, 0.26, 0.9, 0.88, 0.42, 0.98, 0.98, 0.94, 0.4]", "[ACMY003, EBT004, EJF013, EOW026, EWW028, LAM015, LAM024, LPR021, OSH001, PHU002, PIC014, SBB011, SBB012, SCD002, SDD005, SDD026, SMA025, SMA035]"
23, 1.8, 52.15467, 75.8, "[0.7, 0.76, 0.28, 0.84, 0.98, 0.58, 0.96, 1.0, 1.0, 0.48]", "[ACAL026, ACMU001, ACMY003, ACOO014, ACPP031, EMM034, EWW028, FLL004, LPL034, LPR012, PHU002, PIC010, PIC014, PIC018, PMO024, SBB012, SGM024, SMA025]"
24, 7.0, 57.165337, 79.2, "[0.84, 0.68, 0.34, 0.92, 0.92, 0.66, 1.0, 0.98, 0.98, 0.6]", "[ACAL026, ACMU001, ACMY003, ACOO014, ACPP031, EMM034, EWW028, FLL004, LPL034, LPR012, PHU002, PIC010, PIC018, PMO024, SBB012, SGM024, SGM033, SMA025]"
25, 10.2, 60.05067, 84.2, "[0.86, 0.94, 0.38, 0.88, 0.98, 0.78, 0.96, 0.98, 1.0, 0.66]", "[EBT004, EJF013, EOW026, EWW028, LCC008, LPR012, LPR021, OSH001, PCA033, PHU002, PIC014, SBB011, SBB012, SCD002, SDD005, SDD026, SMA025, SMA035]"
