Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM031, ACOO018, ACPP010, EMM002, ERO024, ESS005, LAM007, LCA001, LTT017, LUN008, OFI018, ORE010, PAN032, PCA020, PHE025, SGM010, SMA023, SSS001]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL009, ACGD013, ACPP015, ECF016, EEG005, LMA018, LTT019, LUN023, OSH003, PFF006, PFF014, PHE005, PIC007, SIB004, SNB016, SOD028, SST039, SZO006]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM037, ACSP021, EMM021, LAL034, LAM021, LAM026, LCC003, LDG006, LRE023, OCE011, OCP019, OMW009, OSH024, PAN002, PCA037, PMO023, SAA004, SOD002]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE022, ACNO035, ACSP013, EEG004, EES002, EOW009, LBI007, LBU004, LMA002, LRE006, ORR019, PIC013, SFN014, SIB003, SMA023, SPL003, SSS021, SWA015]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE003, ACGM044, EAG006, EES020, EJP008, FSE006, LAL034, LMA036, LVE025, ORR003, PCA004, SAA024, SMA021, SME011, SNV040, SST011, SST012, SST035]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACHA014, ACNO021, ACPP015, EAG005, EPP014, LBU020, LCA001, LPR017, LUN029, ORE002, PAN003, PHE018, PLB001, SCC001, SCO010, SGM004, SPI012, SZO012]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEM025, ACFE005, ACGM052, EDO003, EEE008, EPP014, LAL006, LBU016, LEV006, PAN025, PHE010, SEL008, SEN018, SMA025, SME013, SNB018, SOD026, SST004]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU031, EBT006, ECF002, EEG003, EMM034, FSE001, LBI005, LUN001, OCP029, SGD015, SGM007, SMA005, SMA021, SMO001, SSC001, SST035, SST040, STE001]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE022, ACFU002, EAG021, EDO001, EEE021, EJF004, ERO035, EWO008, FLL003, LMA025, OCP007, OFF009, OSH008, PFF016, POM016, SME006, SME014, SOD014]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACFE022, ACFU002, EEE021, EJF004, ERO035, FLL003, LBB005, LDG013, LTT005, OCP007, PFF003, PFF016, POM016, SBB013, SFO021, SME006, SME014, SST030]"
10, 0.0, 6.666666E-4, 0.19999999, "[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAZ001, ACNO035, ACPP026, EES004, EWW014, LAL030, LBI037, OMW019, ORR009, PCA014, PMO011, SAS013, SBB012, SCO005, SDD010, SFO024, SMA025, SNV019]"
11, 0.0, 6.666666E-4, 0.19999999, "[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACNO035, ACPP026, EES004, EWW014, LAL030, LBI037, OMW019, ORR009, PCA014, PMO011, SAS013, SBB012, SCO005, SDD010, SFO024, SMA025, SNV019, SST015]"
12, 0.0, 0.0013333332, 0.19999999, "[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACNO035, ACPP026, EES004, EWW014, LAL030, LBI037, OMW019, ORR009, PMO011, SAS013, SBB012, SCO005, SDD010, SFO024, SMA025, SNV019, SPP003, SST015]"
13, 0.0, 0.0019999999, 0.19999999, "[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACNO035, ACPP026, EES004, EWW014, LAL030, LBI037, OMW019, ORR009, PMO011, SAS013, SBB012, SCO005, SFO024, SMA025, SNV019, SOD019, SPP003, SST015]"
14, 0.0, 0.008666666, 1.0, "[0.0, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.02]", "[ACGD002, ACPP026, EES004, EWW014, LAL030, LBI037, OMW019, ORR009, PMO011, SAS013, SBB012, SCO005, SFO024, SMA025, SNV019, SOD019, SPP003, SST015]"
15, 0.0, 0.02533333, 0.79999995, "[0.02, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.02, 0.0, 0.0]", "[ACGD002, ACPP026, EES004, EOW021, EWW014, LAL030, LBI037, OMW019, ORR009, PMO011, SAS013, SBB012, SCO005, SMA025, SNV019, SOD019, SPP003, SST015]"
