Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.37400007, 9.8, "[0.0, 0.12, 0.12, 0.16, 0.18, 0.12, 0.1, 0.0, 0.0, 0.0, 0.04, 0.3, 0.14, 0.0, 0.04, 0.06, 0.38, 0.08, 0.08, 0.04]", "[ACMU009, FSP006, LAM010, LCA031, LMC023, LPR004, OBI013, OCE009, OFF002, OMA004, ORF002, OWA014, PAN021, SEN016, SNB022, SOD031, SSS015, SST033]"
1, 0.0, 2.46, 32.199997, "[0.0, 0.24, 0.5, 0.58, 0.78, 0.26, 0.24, 0.02, 0.06, 0.02, 0.26, 0.7, 0.46, 0.06, 0.16, 0.26, 0.74, 0.46, 0.38, 0.26]", "[ACMU009, FSP006, LAM010, LCA031, LMC023, LPR004, OBI013, OCE009, OFF002, ORF002, OWA014, PAN021, SEN016, SNB022, SOD016, SOD031, SSS015, SST033]"
2, 0.0, 8.591999, 38.6, "[0.02, 0.5, 0.42, 0.56, 0.72, 0.56, 0.38, 0.0, 0.04, 0.04, 0.36, 0.74, 0.52, 0.12, 0.16, 0.42, 0.72, 0.44, 0.54, 0.46]", "[ACMU009, FSP006, LAM010, LCA031, LMC023, LPR004, OBI013, OCE009, OFF002, OWA014, PAN021, SEN016, SIW008, SNB022, SOD016, SOD031, SSS015, SST033]"
3, 0.39999998, 18.712, 46.199997, "[0.02, 0.56, 0.64, 0.66, 0.8, 0.58, 0.44, 0.0, 0.04, 0.04, 0.36, 0.76, 0.56, 0.18, 0.34, 0.66, 0.82, 0.52, 0.66, 0.6]", "[ACGM045, ACMU009, FSP006, LAM010, LCA031, LMC023, LPR004, OBI013, OCE009, OFF002, OWA014, PAN021, SIW008, SNB022, SOD016, SOD031, SSS015, SST033]"
4, 4.5, 32.056, 58.1, "[0.14, 0.76, 0.78, 0.82, 0.9, 0.7, 0.62, 0.12, 0.22, 0.16, 0.5, 0.94, 0.68, 0.2, 0.44, 0.64, 0.94, 0.5, 0.8, 0.76]", "[FSP006, LAM010, LCA031, LMC023, LPR004, OBI013, OCE009, ODE018, OFF002, ORF002, OWA014, PAN021, SEN016, SOD016, SOD031, SSS015, SST033, SST038]"
5, 11.3, 41.387997, 64.79999, "[0.24, 0.76, 0.8, 0.86, 0.9, 0.88, 0.68, 0.06, 0.2, 0.18, 0.64, 0.94, 0.8, 0.32, 0.52, 0.84, 0.98, 0.78, 0.84, 0.74]", "[FSP006, LAM010, LCA031, LMC023, LPR004, OBI013, OCE009, ODE018, OFF002, ORF002, ORR019, OWA014, PAN021, SEN016, SOD016, SOD031, SST033, SST038]"
6, 20.6, 47.036007, 66.99999, "[0.24, 0.92, 0.84, 0.94, 0.96, 0.84, 0.7, 0.12, 0.24, 0.16, 0.62, 0.94, 0.8, 0.32, 0.62, 0.88, 0.88, 0.7, 0.9, 0.78]", "[ECF025, FSP006, LAM010, LMC023, LPR004, LTT008, OCE009, ODE018, OFF002, ORF002, OWA014, PAN021, SEN016, SOD016, SOD031, SSS015, SST033, SST038]"
7, 17.600002, 52.604, 72.39999, "[0.18, 0.9, 0.88, 0.94, 0.98, 0.84, 0.7, 0.18, 0.24, 0.32, 0.76, 0.94, 0.96, 0.38, 0.7, 0.9, 1.0, 0.94, 0.82, 0.92]", "[FSE003, FSP006, LAM010, LCA031, LMC023, LPR004, OBI013, OCE009, ODE018, OFF002, ORF002, OWA014, PAN021, SEN016, SOD016, SOD031, SST033, SST038]"
8, 14.900001, 57.688004, 76.2, "[0.36, 0.92, 0.9, 0.98, 1.0, 0.9, 0.9, 0.22, 0.26, 0.36, 0.74, 1.0, 0.96, 0.5, 0.6, 0.86, 1.0, 0.86, 0.96, 0.96]", "[FSE003, FSP006, LAM010, LCA031, LMC023, LPR004, OBI013, OCE009, ODE018, OFF002, ORF002, OWA014, SEN016, SOD016, SOD031, SRR005, SST033, SST038]"
9, 33.0, 60.83801, 88.4, "[0.56, 1.0, 0.98, 1.0, 1.0, 1.0, 0.98, 0.36, 0.68, 0.7, 0.94, 1.0, 0.98, 0.66, 0.9, 0.96, 1.0, 1.0, 0.98, 1.0]", "[FSE003, FSP006, LAM010, LCA031, LMC023, LPR004, OBI013, OCE009, OCP002, ODE018, OFF002, ORF002, OWA014, PAN021, SOD016, SOD031, SST033, SST038]"
10, 36.5, 69.24001, 89.1, "[0.64, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.42, 0.62, 0.68, 0.98, 1.0, 1.0, 0.62, 0.94, 0.96, 1.0, 1.0, 1.0, 0.96]", "[FSE003, FSP006, LAM010, LCA031, LPR004, OBI013, OCE009, OCP002, ODE018, OFF002, ORF002, OWA014, PAN021, SGM015, SOD016, SOD031, SST033, SST038]"
11, 37.6, 73.701996, 89.799995, "[0.62, 0.98, 1.0, 1.0, 1.0, 0.98, 0.98, 0.58, 0.66, 0.62, 0.98, 1.0, 1.0, 0.74, 0.88, 1.0, 1.0, 0.98, 0.98, 0.98]", "[FSE003, FSP006, LAM010, LCA031, LMC023, LPR004, LTT020, OBI013, OCE009, OCP002, ODE018, OFF002, ORF002, OWA014, SOD016, SOD031, SST033, SST038]"
12, 53.599995, 78.196, 90.899994, "[0.78, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 0.36, 0.76, 0.78, 0.92, 1.0, 1.0, 0.66, 0.98, 0.98, 1.0, 1.0, 1.0, 0.98]", "[EAG019, FSE003, FSP006, LAM010, LCA031, LMC023, LPR004, OCE009, OCP002, OFF002, ORF002, OWA014, PAN021, SOD016, SOD019, SOD031, SST033, SST038]"
13, 58.7, 82.002, 93.600006, "[0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 0.58, 0.84, 0.74, 0.98, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM025, ACRR002, FSE003, FSP006, LCA031, LMC023, LPR004, OCE009, OCP002, ODE018, OFF002, OMW007, ORF002, OWA014, PAN021, SOD016, SOD031, SST038]"
14, 68.39999, 85.66402, 95.09999, "[0.82, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.7, 0.9, 1.0, 1.0, 1.0, 0.82, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEM025, ACRR002, FSE003, FSP006, LCA031, LMC023, LPR004, OCE009, OCP002, ODE018, OFF002, ORF002, ORR019, OWA014, PAN021, SOD016, SOD031, SST038]"
15, 72.899994, 87.13799, 96.6, "[0.92, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.74, 0.9, 0.84, 1.0, 1.0, 1.0, 0.92, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACCU009, FSE003, FSP006, LAM010, LCA031, LMC023, OBI013, OCE009, OCP002, ODE018, OFF002, OWA014, PAN021, SEL020, SOD016, SOD031, SST033, SST038]"
16, 74.8, 89.037994, 97.3, "[0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.86, 0.92, 1.0, 1.0, 1.0, 0.92, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACCU009, FSE003, FSP006, LAM010, LCA031, LMC023, OBI013, OCE009, OCP002, ODE018, OFF002, OWA014, PAN021, SEL020, SOD016, SOD031, SST033, SST038]"
17, 75.3, 90.31801, 97.99999, "[0.82, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.86, 0.98, 0.94, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACCU009, FSE003, FSP006, LAM010, LCA031, LMC023, OBI013, OCE009, OCP002, OCP013, ODE018, OFF002, PAN021, SEL020, SOD016, SOD031, SST033, SST038]"
