Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 2.8000002, 52.8, 99.2, "[1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 0.94, 1.0]", "[ACAL015, ACSP014, EOW007, EPP021, LBB007, LBI013, LBI023, LCA025, LPL001, LVE005, LVE035, OCP021, OFF015, OFI020, OFI036, ORF004, PMO012, SGM020]"
1, 25.0, 83.948006, 99.399994, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94, 1.0]", "[ACAL015, ACNO036, ACSP014, EOW007, EPP021, LBB007, LBI013, LBI023, LCA025, LPL001, LVE005, LVE035, OCP021, OFF015, OFI020, OFI036, ORF004, SGM020]"
2, 82.40001, 95.338, 99.799995, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0]", "[ACGM035, ACMU006, ACNO021, ACPH008, ERO003, ERO015, ERO032, LBI017, LBI038, OMA009, ORF004, PHE023, PLB001, SAA005, SDD023, SDD029, SIB010, STR025]"
3, 79.6, 97.66803, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACMU006, ACNO021, ACPH008, ERO003, ERO015, ERO032, LBI017, LBI038, LEV006, OMA009, ORF004, PHE023, PLB001, PMO015, SGD003, SIB010, SIW009, STR025]"
4, 85.200005, 98.632034, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL031, ACWS020, EDO001, EHH012, EPP007, LBB019, OBI012, OBI025, ODE004, PCA030, SDD028, SEN004, SFR007, SGM011, SIW009, SNB014, SPI020, SSS010]"
5, 96.4, 99.222, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACGM035, ACMU006, ACNO021, ERO015, ERO032, LBI017, LBI038, OMA009, ORF004, PHE008, PHE023, SAA005, SDD023, SDD029, SIB010, SST036, STR025, SZO007]"
6, 94.6, 99.15001, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACFU001, ACHA003, ACSP020, EDO019, EEG003, EOW004, EPP011, EPP019, ESY006, HEV004, LAL004, LMC033, LRE025, OBI024, SDD028, SSS018, STR005, STR010]"
7, 96.4, 99.33004, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACNO021, ACPH008, ACPY006, ERO015, ERO032, LBI038, LCR005, LUN031, OFF009, OMA009, ORE017, ORF004, PHE023, PLB001, SAA005, SDD023, SIB010, STR025]"
8, 90.0, 99.40403, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL015, ACEM005, ACEM025, ACPP008, ECF015, EOW007, EPP021, LBI013, LCA025, LPL001, LVE035, OFF015, OFI009, OFI020, OFI036, ORF004, SGM020, SMW018]"
9, 93.2, 99.61403, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACAL015, ACEM025, EAG023, ECF015, EOW007, EPP021, LBI013, LCA025, LCC009, LPL001, LVE035, OCP021, OFF015, OFI009, OFI036, ORF004, PAN032, SCV001]"
