Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.31200004, 11.599999, "[0.0, 0.0, 0.2, 0.06, 0.24, 0.14, 0.28, 0.0, 0.14, 0.1]", "[ACAL015, ACFF006, ACGM022, ERO010, LBB010, LCC012, LRE022, OMA034, PFF004, PFF019, PMO007, SAA015, SDD014, SEL009, SEV003, SOD030, SPI006, SST017]"
1, 0.0, 1.4599999, 19.000002, "[0.0, 0.12, 0.36, 0.2, 0.24, 0.28, 0.3, 0.08, 0.22, 0.1]", "[ACAL015, ACFF006, ACGM022, ERO010, LBB010, LCC012, LRE022, OMA034, PFF004, PMO007, SAA015, SDD014, SEL009, SEV003, SFN016, SOD030, SPI006, SST017]"
2, 0.0, 4.0220003, 25.0, "[0.0, 0.18, 0.4, 0.1, 0.48, 0.44, 0.3, 0.12, 0.28, 0.2]", "[ACAL015, ACFF006, ERO010, LBB010, LCC012, LRE022, LUN002, OMA034, PFF004, PMO007, SAA015, SDD014, SEL009, SEV003, SFN016, SOD030, SPI006, SST017]"
3, 0.0, 10.564, 30.199999, "[0.0, 0.18, 0.64, 0.24, 0.48, 0.5, 0.34, 0.1, 0.32, 0.22]", "[ACAL015, ACFF006, ACGM022, LAL017, LBB010, LBU033, LCC012, LRE022, OMA034, PFF004, PFF019, PMO007, SAA015, SDD014, SEL009, SEV003, SOD030, SPI006]"
4, 1.0, 18.722002, 45.6, "[0.0, 0.32, 0.66, 0.38, 0.64, 0.78, 0.66, 0.28, 0.48, 0.36]", "[ACAL015, ACFF006, ACSP017, LCC012, LMA054, LRE022, OMA034, PFF004, PFF019, PMO007, SDD014, SEL009, SEV003, SGD007, SOD030, SPI006, SRR012, SST017]"
5, 1.5999999, 24.541994, 53.599995, "[0.0, 0.34, 0.78, 0.4, 0.7, 0.8, 0.7, 0.38, 0.76, 0.5]", "[ACAL015, ACFF006, ACSP017, LCC012, LMA054, LRE022, OFF017, OMA034, PFF004, PMO007, SDD014, SEL009, SEV003, SGD007, SOD030, SPI006, SRR012, SST017]"
6, 2.7999997, 32.116, 76.40001, "[0.02, 0.74, 1.0, 0.82, 0.88, 0.96, 0.86, 0.74, 0.94, 0.68]", "[ACAL015, ACFF006, ACFU001, EEE020, ERO010, LBB010, LBU033, LCC012, LRE022, OMA023, OMA034, PFF004, SDD014, SEL009, SEV003, SFO002, SOD030, SPI006]"
7, 3.6, 41.836, 80.99999, "[0.06, 0.8, 0.96, 0.86, 0.8, 0.96, 0.94, 0.92, 0.92, 0.88]", "[ACAL015, ACFF006, ACFU001, EEE020, LBB010, LBU033, LCC012, LRE022, OMA023, OMA034, ORE003, PFF004, SDD014, SEL009, SEV003, SFO002, SOD030, SPI006]"
8, 12.599998, 53.442013, 83.600006, "[0.04, 0.86, 0.96, 0.86, 0.92, 1.0, 0.98, 0.94, 0.94, 0.86]", "[ACAL015, ACFF006, ACFU001, EEE020, EWW027, LBB010, LBU033, LCC012, LRE022, OMA023, OMA034, ORE003, SDD014, SEL009, SEV003, SFO002, SOD030, SPI006]"
9, 25.8, 71.49, 87.200005, "[0.04, 0.86, 1.0, 0.98, 0.94, 1.0, 0.98, 0.96, 0.98, 0.98]", "[ACAL015, ACFF006, ACFU001, EEE020, ERO010, LBB010, LBU033, LCC010, LRE022, OMA023, OMA034, SAA017, SEL009, SEV003, SFO002, SIB008, SOD030, SPI006]"
