Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL008, ACAL036, ACEV017, EDO007, EMM006, ERO012, LCA001, LPL024, LRE001, OWA001, PFF004, PFF005, POM009, SAA008, SAA012, SDD003, SDD006, SST039]"
1, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL026, ACAZ003, ACCU030, ACEV003, ACPP020, ACPY002, ACSP007, ACWS019, EPP009, LAM010, LCA007, LVE017, PCA012, PHE008, SBB022, SFN019, SMA025, SRR005]"
2, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL011, ACHA001, ACMO002, ACOO012, ACOO016, ACPP016, ECF023, EJP016, LBU033, LVE002, SAS012, SBB011, SDD003, SMW001, SNV018, SNV019, SRR008, STE009]"
3, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL025, ACFE025, ACGM037, ACSP029, ECF016, EES016, EPP019, LMA012, LMC034, LTT003, MYSC001, ODE018, PHE005, SCO005, SDD016, SMW003, SNV010, SST012]"
4, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL025, ACFE025, ACGM037, EAG010, ECF016, EPP018, EPP019, LMA012, LTT003, MYSC001, ODE018, PHE005, SCO005, SDD016, SMW003, SNV010, SOD028, SST012]"
5, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPH005, EES020, EMM013, LAL005, LCC009, LMA026, LRE009, LVE014, OEV005, OSH020, PIC014, SEN009, SEV003, SFO026, SME003, SME011, SNB019, SOD023]"
6, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAZ005, ACFF004, ACGD012, ACSP022, EMM019, EWO018, LMA026, LPL004, LRE004, ODE032, OSH007, OSH012, PFF024, PIC004, SEN010, SNV031, SRR014, STE011]"
7, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEV003, ACMY002, ACNO025, EWW009, EWW038, EWW041, LDG004, LHY006, LMA002, LMA010, LMA037, LMA041, LMA045, ORF004, PMO024, SAS025, SOD006, SOD027]"
8, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL034, EEG005, EWW018, LBI025, LCA015, LDG008, LRE022, LTT015, ODE018, OSH012, OWA001, PIC004, SDD021, SGD016, SMO003, SOD017, SSS005, SSS023]"
9, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAZ005, ACCU009, ACGD009, ACGD012, ACGM054, EMM019, FHI002, LBU004, LPL004, LRE004, OFF004, PFF024, POM013, SGM024, SNV031, SRR014, SST021, STE011]"
10, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEV003, ACMY002, ACTA001, EEE007, EWW038, EWW041, LCA011, LDG004, LHY006, LMA045, ORE019, PMO024, SAS025, SCO014, SFO017, SOD006, SOD027, SSS010]"
11, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM017, ACWS013, ERO007, ERO033, LAM015, LMA046, OCP010, ORR009, OWA008, PAN030, PCA007, POM007, SBB016, SFO025, SFO026, SNV037, SST001, SWA021]"
12, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACOO018, ACPY002, EJF021, LBU003, LBU005, LCC010, MYSE004, MYSE005, OCE003, OMW003, PCA002, PHE010, PHE029, SEN021, SFO013, SMW014, SSS013, SUM003]"
13, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL005, ACGM013, ACHA006, ACMO004, ACNO005, ACTA004, ACTA016, ECF009, FSC005, LAL003, LAM002, LBB007, LCC014, LUN021, SFN023, SMA015, SNV027, SST009]"
14, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACCU023, ACEM018, ACPP016, EJP016, EJP027, LAM004, LBU033, LMA047, LUN016, LVE002, OMA022, SBB011, SDD003, SFN009, SFN025, SNV018, SNV019, STE009]"
15, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACHA018, EES008, EPP005, EPP028, EWO006, LBB011, LBI009, LCC010, LPR020, OBI015, OCE016, PFF002, PHE010, SEL005, SEN021, SFN015, SSS019, SUM003]"
16, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACEM018, ACMO002, ACOO016, ACPP016, EEG009, EJP027, LUN016, OMA022, ORF002, SDD003, SEN012, SFN025, SNV018, SNV019, SPI012, SSC004, SSS019, STE009]"
17, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPH005, ACSP009, ACWS018, EES020, EMM029, FSP003, LAL005, LCC009, LVE014, OFI018, OMA002, ORR006, SFO023, SME003, SNB019, SOD023, SSS015, STR030]"
18, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM057, EHH009, EPP014, LAM015, LMA046, OCP010, ODE016, OFF016, ORR009, OWA008, PCA014, PHE003, SFO025, SFO026, SMO015, SNV037, SPL010, SST001]"
19, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACPH005, ACSP023, ACWS018, LAL005, LAL008, LBI047, LCC009, LVE014, OFI018, OMA002, PIC011, SFO023, SME003, SNB019, SOD016, SRR006, SSS015, STR030]"
20, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL031, ACPP032, FSC001, LAL003, LAM002, LBI037, LCA024, LCC002, LRE004, MYHI001, ODE023, OFF017, ORF002, SCO004, SNV003, SOD019, SRR014, SSS009]"
21, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL002, FHI004, FSC001, LAM002, LCC002, MYHI001, ODE023, OFF001, OFF017, ORF002, ORR006, PAN004, SCO004, SCO018, SFR009, SNV008, SOD006, SOD019]"
22, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACAL014, ACAL031, EMM001, ERO032, FSC001, LAM002, LBI042, LDG001, LMA018, MYHI001, ODE023, OFF001, OFF017, OWA001, PAN004, PAN017, SCO004, STR018]"
23, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACMU001, ACNO005, ACOO017, ACSP012, EJF021, EJP026, LBB004, LMC004, LPL015, LPL027, LRE005, OFF007, OFI018, OMW010, OSH002, OWA013, SAA004, SNV031]"
24, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGD012, ACGM054, EES007, EMM019, LEV003, LMA023, LPL004, LRE004, OFF004, OFF009, OSH020, PCA038, POM013, SGM030, SME010, SNV012, SNV029, SST021]"
25, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACMU001, ACNO005, ACOO017, ACSP012, EJF021, EJP026, LBB004, LMC004, LPL015, LPL027, LRE005, OFF007, OMW010, OSH002, OWA013, SAA004, SMA025, SNV031]"
26, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM054, ACGM055, ACGM057, EWW038, EWW041, LAM023, LBI012, LHY006, LMA006, LMA037, LRE026, LUN013, OFF007, ORF004, PMO024, SGD009, SMT008, SSS010]"
27, 0.0, 0.0, 0.0, "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[ACGM025, ACGM027, ACNO040, EPP005, ERO026, FHI004, LDG017, LPL032, LVE002, ODE010, OMA013, PAN011, PMO004, SAS010, SBB011, SMA035, SMT003, SOD004]"
