Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
0, 0.0, 0.84133327, 16.266663, "[0.5, 0.24, 0.42, 0.14, 0.48, 0.1, 0.04, 0.26, 0.04, 0.02, 0.0, 0.1, 0.0, 0.0, 0.1]", "[ACHA007, ACIM002, ACMU001, ACTO001, EEG027, EJP011, OBI020, OCE009, OCP002, OCP006, SGM025, SMA025, SMW014, SNB019, SOD016, SSS019, STE019, SWA022]"
1, 0.0, 1.8453336, 15.866666, "[0.56, 0.26, 0.42, 0.2, 0.38, 0.1, 0.08, 0.18, 0.02, 0.02, 0.0, 0.12, 0.02, 0.0, 0.02]", "[ACHA007, ACIM002, ACMU001, ACTO001, EEG027, EJP011, OBI020, OCE009, OCP002, OCP006, SGM025, SMA025, SMW014, SNB019, SOD016, SSS019, STE019, SWA022]"
2, 0.0, 3.028, 14.533332, "[0.5, 0.26, 0.42, 0.14, 0.36, 0.12, 0.04, 0.16, 0.02, 0.06, 0.0, 0.06, 0.02, 0.0, 0.02]", "[ACHA007, ACIM002, ACMU001, ACTO001, EEG027, EJP011, OBI020, OCE009, OCP002, OCP006, SGM025, SMA025, SMW014, SNB019, SOD016, SSS019, STE019, SWA022]"
3, 0.0, 5.6893325, 37.86666, "[0.88, 0.46, 0.9, 0.58, 0.74, 0.48, 0.06, 0.62, 0.36, 0.16, 0.0, 0.18, 0.1, 0.08, 0.08]", "[ACAL002, ACIM002, EAG006, EJP021, HEV008, OCE009, OCP002, OSH001, PLB004, SEL004, SGM025, SMA025, SMW014, SNB019, SOD016, SSS019, STE019, SWA022]"
4, 0.0, 9.5426655, 40.666664, "[0.94, 0.46, 0.94, 0.54, 0.82, 0.56, 0.16, 0.52, 0.34, 0.24, 0.0, 0.26, 0.12, 0.04, 0.16]", "[ACAL002, EAG006, EAG007, EJP021, HEV008, OCE009, OCP002, OSH001, PLB004, SEL004, SGM025, SMA025, SMW014, SNB019, SOD016, SSS019, STE019, SWA022]"
5, 0.26666665, 14.911999, 41.466667, "[0.92, 0.54, 0.9, 0.62, 0.86, 0.54, 0.28, 0.52, 0.38, 0.14, 0.0, 0.2, 0.16, 0.06, 0.1]", "[ACAL002, EAG006, EAG007, EJP021, HEV008, OCE009, OCP002, OSH001, PLB004, SEL004, SGM025, SMA025, SMW014, SNB019, SOD016, SSS019, STE019, SWA022]"
6, 0.26666665, 18.89733, 43.733337, "[0.92, 0.58, 0.92, 0.46, 0.94, 0.48, 0.3, 0.5, 0.46, 0.32, 0.0, 0.3, 0.1, 0.1, 0.18]", "[ACAL002, ACIM002, EAG006, EJP021, EMM022, HEV008, OCE009, OCP002, OSH001, SEL004, SGM025, SMA025, SMW014, SOD016, SSS009, SSS019, STE019, SWA022]"
7, 0.26666665, 20.029331, 53.73333, "[1.0, 0.78, 0.96, 0.74, 0.96, 0.7, 0.44, 0.58, 0.52, 0.4, 0.0, 0.38, 0.2, 0.1, 0.3]", "[ACAL002, ACIM002, EAG006, EJP021, EMM022, HEV008, OCE009, OCP002, OSH001, SAA019, SGM025, SMA025, SMW014, SOD016, SSS009, SSS019, STE019, SWA022]"
8, 1.1999999, 25.01467, 52.533333, "[0.98, 0.74, 0.94, 0.7, 0.92, 0.6, 0.46, 0.72, 0.44, 0.46, 0.0, 0.4, 0.16, 0.12, 0.24]", "[ACAL002, ACIM002, EAG006, EJP021, EMM022, HEV008, OCE009, OCP002, OSH001, SAA019, SGM025, SMA025, SMW014, SOD016, SSS009, SSS019, STE019, SWA022]"
9, 2.6666665, 30.310663, 57.733334, "[0.98, 0.84, 0.96, 0.66, 0.94, 0.66, 0.5, 0.74, 0.54, 0.46, 0.0, 0.6, 0.36, 0.14, 0.28]", "[ACAL002, ACIM002, EAG006, EJP021, EMM022, HEV008, OCE009, OCP002, OSH001, SAA019, SGM025, SMA025, SMW014, SOD016, SSS019, STE019, SWA001, SWA022]"
